Publication;Lang;Method_Measure;Cue;IntType;DistrPos;Effect;SE;TargetType;DepType;VerbType;Prominence1;Prominence2
BadeckerEtAl02E5;EN;SPR_RT;gend;pro;gen;2;13;Match;refl;NA;other;other
BadeckerEtAl02E6;EN;SPR_RT;gend;pro;prepobj;0;10;Match;refl;NA;other;other
FelserEtAl09noccom;EN;ET_FPRT;gend;pro;subj_topic;3;8;Match;refl;NA;subj_topic;subj_AND_topic
DillonEtAl13E1refl;EN;ET_FPRT;num;retro;obj;1;16;Match;refl;NA;other;other
DillonEtAl13E1refl;EN;ET_FPRT;num;retro;obj;-7;19;Mismatch;refl;NA;other;other
DillonEtAl13E2himself;EN;ET_FPRT;num;retro;obj;-14;14;Match;refl;NA;other;other
DillonEtAl13E2himself;EN;ET_FPRT;num;retro;obj;-10;14;Mismatch;refl;NA;other;other
DillonEtAl13E2themselves;EN;ET_FPRT;num;retro;obj;-14;16;Match;refl;NA;other;other
DillonEtAl13E2themselves;EN;ET_FPRT;num;retro;obj;30;15;Mismatch;refl;NA;other;other
Sturt03E2;EN;ET_FPRT;gend;retro;obj_topic;12;10;Match;refl;NA;topic;subj_OR_topic
Sturt03E2;EN;ET_FPRT;gend;retro;obj_topic;15;10;Mismatch;refl;NA;topic;subj_OR_topic
CunningsEtAl13E1LO;EN;ET_FPRT;gend;pro;subj_topic;-5;22;Match;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl13E1LO;EN;ET_FPRT;gend;pro;subj_topic;-2;16;Mismatch;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl13E1HI;EN;ET_FPRT;gend;pro;subj_topic;-2;14;Match;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl13E1HI;EN;ET_FPRT;gend;pro;subj_topic;-2;14;Mismatch;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl14E1;EN;ET_FPRT;gend;pro;subj_topic;-1;9;Match;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl14E1;EN;ET_FPRT;gend;pro;subj_topic;37;17;Mismatch;refl;NA;subj_topic;subj_AND_topic
JaegerEtAl15E1;CN;ET_FPRT;anim;retro;subj;-3;5;Match;refl;NA;subj;subj_OR_topic
JaegerEtAl15E1;CN;ET_FPRT;anim;retro;subj;22;7;Mismatch;refl;NA;subj;subj_OR_topic
CunningsEtAl13E2LO;EN;ET_FPRT;gend;retro;subj_topic;-47;15;Match;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl13E2LO;EN;ET_FPRT;gend;retro;subj_topic;26;15;Mismatch;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl13E2HI;EN;ET_FPRT;gend;retro;subj_topic;0;18;Match;refl;NA;subj_topic;subj_AND_topic
CunningsEtAl13E2HI;EN;ET_FPRT;gend;retro;subj_topic;4;17;Mismatch;refl;NA;subj_topic;subj_AND_topic
Sturt03E1;EN;ET_FPRT;gend;pro;subj_topic;-5;30;Match;refl;NA;subj_topic;subj_AND_topic
Sturt03E1;EN;ET_FPRT;gend;pro;subj_topic;-7;30;Mismatch;refl;NA;subj_topic;subj_AND_topic
BadeckerEtAl02E3;EN;SPR_RT;gend;pro;subj;42;28;Match;refl;NA;subj;subj_OR_topic
FelserEtAl09inaccMism;EN;ET_FPRT;ccom;pro;subj_topic;4;9;Match;refl;NA;subj_topic;subj_AND_topic
JaegerEtAl15E2local;CN;ET_FPRT;anim;pro;memory_3x;17;8;Match;refl;NA;other;other
PatilEtAl2016;EN;ET_FPRT;gend;retro;subj;-13;18;Match;refl;NA;subj;subj_OR_topic
PatilEtAl2016;EN;ET_FPRT;gend;retro;subj;10;12;Mismatch;refl;NA;subj;subj_OR_topic
ChenEtAl12local;CN;SPR_RT;anim;retro;subj;5;13;Match;refl;NA;subj;subj_OR_topic
BadeckerEtAl02E4;EN;SPR_RT;num;pro;subj;48;37;Match;reci;NA;subj;subj_OR_topic
KushEtAl14;HI;SPR_RT;num;retro;prepobj;3;54;Match;reci;NA;other;other
KushEtAl14;HI;SPR_RT;num;retro;prepobj;21;32;Mismatch;reci;NA;other;other
FranckEtAl15E1Compl;FR;SPR_RT;num;pro;obj;32;33;Match;agreement;sing;other;other
DillonEtAl13E1agrmt;EN;ET_FPRT;num;retro;obj;-14;16;Match;agreement;sing;other;other
DillonEtAl13E1agrmt;EN;ET_FPRT;num;retro;obj;-7;22;Mismatch;agreement;plural;other;other
LagoEtAl15E1;SP;SPR_RT;num;pro;subj;-4;14;Match;agreement;sing;subj;subj_OR_topic
LagoEtAl15E1;SP;SPR_RT;num;pro;subj;-40;14;Mismatch;agreement;plural;subj;subj_OR_topic
