utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel
s9gt01fw_marw111	s9gt01fw	f	23.8522885559186	24.9610600518114	tnka3	tang2.kuai4	t	a	24.0563830375523	24.138643816501	24.2302311180883	lip/inhale burst @ 24.0564	82.260778948708	173.848080536011	4.40989443210716	5.15818181747265
s9gt01fw_marw111	s9gt01fw	f	36.5499726272842	37.8375782354178	duzi4	du4.zi	d	u	36.8459597209113	36.8556823335395	37.0762989957888	NA	9.72261262815977	230.33927487748	2.27445437126041	5.43955333018284
s9gt01fw_marw111	s9gt01fw	f	58.1535954256381	59.3696673888754	dnzi3	ding1.zi	d	i	58.4250457241651	58.4357142857143	58.575377324263	NA	10.6685615492026	150.331600097957	2.36730124359231	5.01284352148622
s9gt01fw_marw111	s9gt01fw	f	60.9434075765943	62.1594795398316	tuzi5	tu4.zi	t	u	61.142674573973	61.2440905157949	61.3980417881438	microphone sound @ 61.1988	101.415941821919	255.367214170811	4.61923029597845	5.54270256484458
s9gt01fw_marw111	s9gt01fw	f	63.4470851479652	64.4843229989617	kuzi5	ku4.zi	k	u	63.6648305045719	63.7841746031746	63.9313873428159	microphone sounds @ 63.7075	119.344098602696	266.556838244007	4.78201090541819	5.58558749757863
s9gt01fw_marw111	s9gt01fw	f	65.8434622519917	66.9880005703327	guto3	gu3.tou	g	u	66.1602426469897	66.1924300831444	66.3299508692366	mb @ 66.1602	32.1874361546861	169.708222246896	3.47157619487826	5.13408062272758
s9gt01fw_marw111	s9gt01fw	f	93.849346331168	95.1011851168535	knbn4	kan4.bing4	k	a	93.9982008778949	94.100283446712	94.1934645286686	MB @ 93.9982	102.082568817096	195.263650773683	4.62578198402413	5.27435070060974
s9gt01fw_marw111	s9gt01fw	f	98.5348000718765	99.6793383902175	gnbi5	gang1.bi3	g	a	98.8753884894519	98.889318468128	98.9894541626174	mb @ 98.8758	13.9299786761171	114.065673165541	2.63404325700211	4.73677436292337
s9gt01fw_marw111	s9gt01fw	f	101.17377531355	102.282546808404	tnzi4	ting2.zi	t	i	101.342134382277	101.468401360544	101.555054421769	NA	126.26697826741	212.920039491905	4.83839854043968	5.36091669378221
s9gt01fw_marw111	s9gt01fw	f	106.753399610232	107.862171105086	dnga5	dan4.gao1	d	a	106.980440647449	106.986522762951	107.121328592043	lip/inhale burst @ 106.9522	6.08211550238025	140.887944593928	1.80535257992987	4.94796485522946
s9gt01fw_marw112	s9gt01fw	f	23.9838786535751	24.906996701038	ditu4	di4.tu2	d	i	24.0832608711204	24.100129266499	24.2535777521424	NA	16.8683953786086	170.316881022035	2.82544177517616	5.13766070795886
s9gt01fw_marw112	s9gt01fw	f	38.1578354061656	38.9463320717067	dnhe5	dun1.zhe	d	u	38.3048776165347	38.3236167800454	38.4346548248929	NA	18.7391635106167	129.777208358178	2.93061563924075	4.8658191983913
s9gt01fw_marw112	s9gt01fw	f	42.6582843164451	43.677560493852	tudo3	tu3.dou4	t	u	42.8456659127531	42.9535034013605	43.0089758125472	microphone noise @ 42.9064	107.837488607409	163.309899794108	4.68062535875678	5.09564962149534
s9gt01fw_marw112	s9gt01fw	f	49.8893756882375	50.8701886136668	kahe5	ka3.che1	k	a	50.0214394281427	50.1250317460317	50.2564875283447	NA	103.592317889053	235.048100201979	4.64046317542594	5.45979017491026
s9gt01fw_marw112	s9gt01fw	f	54.697530614338	55.6591119137785	tazi4	tao1.zi	t	a	54.8304075367141	54.9326889644747	55.1815464852608	NA	102.281427760566	351.138948546662	4.62772810965843	5.86118200993737
s9gt01fw_marw112	s9gt01fw	f	66.8711498652546	67.7942679127174	gaol3	gao1.lou2	g	a	67.0585703469004	67.0691519274376	67.2388983371126	NA	10.5815805372202	180.327990212191	2.35911480442396	5.19477736060185
s9gt01fw_marw112	s9gt01fw	f	82.5454219039306	83.5454664553487	daxn3	da4.xiang4	d	a	82.6890742814249	82.6954489795918	82.8870238095238	lip sound/burst @ 82.6682	6.37469816695102	197.949528098931	1.85233674356299	5.28801208960856
s9gt01fw_marw112	s9gt01fw	f	89.9688295356112	90.8342527051076	knle3	kun4.le	k	u	90.1386564949036	90.251650553825	90.3139380196523	microphone noise @ 90.1917	112.994058921387	175.281524748726	4.72733524141325	5.16639339418095
s9gt01fw_marw112	s9gt01fw	f	94.8154477136893	95.7770290131298	gnzi4	gun4.zi	g	u	94.9558272471519	94.9758201058201	95.0745279323851	NA	19.9928586682034	118.700685233179	2.99537514320071	4.77660507441429
s9gt01fw_marw112	s9gt01fw	f	115.239682880754	116.220495806183	tizi5	ti1.zi	t	i	115.424571264984	115.524942713928	115.706044973545	NA	100.371448944003	281.473708561322	4.60887779374824	5.64003904556719
s9gt02fw_marw111	s9gt02fw	f	19.701959849142	20.7753768797097	tnka3	tang2.kuai4	t	a	19.8943044820484	19.9663438357799	20.0732324263039	NA	72.0393537315189	178.927944255452	4.27721254930026	5.18698317873841
s9gt02fw_marw111	s9gt02fw	f	32.9012068898532	34.0604972828663	duzi4	du4.zi	d	u	33.2682918828282	33.2822602850664	33.5247214123745	NA	13.9684022381701	256.429529546239	2.63679779580247	5.5468538882521
s9gt02fw_marw111	s9gt02fw	f	53.3658909519015	54.5394935719888	dnzi3	ding1.zi	d	i	53.711184870641	53.7266312358277	53.8468282312925	NA	15.4463651866479	135.6433606515	2.73737371266494	4.91002909320751
s9gt02fw_marw111	s9gt02fw	f	56.0995263230805	57.0870699912028	tuzi5	tu4.zi	t	u	56.4050769596398	56.4667120181406	56.689820861678	NA	61.6350585007552	284.743902038173	4.12123084015133	5.65159018695548
s9gt02fw_marw111	s9gt02fw	f	58.5960113064704	59.5692427475184	kuzi5	ku4.zi	k	u	58.8448602389432	58.9357800453515	59.1246768707483	mb @ 58.8449	90.9198064082872	279.816631805119	4.50997786972875	5.63413450222719
s9gt02fw_marw111	s9gt02fw	f	61.1578999527586	62.274253664549	guto3	gu3.tou	g	u	61.4837937082755	61.5080482669258	61.6583106575964	MB @ 61.4838	24.2545586503624	174.516949320918	3.18860458529837	5.16202186770449
s9gt02fw_marw111	s9gt02fw	f	89.8783484375425	91.1521366471495	knbn4	kan4.bing4	k	a	90.2095160088336	90.3141893424036	90.4317660910518	NA	104.673333570062	222.250082218252	4.65084439174086	5.40380324432984
s9gt02fw_marw111	s9gt02fw	f	95.0740800605987	96.0902481828694	gnbi5	gang1.bi3	g	a	95.3985477305103	95.4141993720565	95.5334228428213	MB @ 95.3985	15.6516415461994	134.875112311022	2.75057580261642	4.90434925628247
s9gt02fw_marw111	s9gt02fw	f	97.6073442527385	98.8095713269743	tnzi4	ting2.zi	t	i	98.0028046976993	98.0873667800454	98.2241548134405	microphone noise @ 98.0588	84.5620823460678	221.350115741245	4.43748596692183	5.39974568206595
s9gt02fw_marw111	s9gt02fw	f	103.504375063363	104.606416548079	dnga5	dan4.gao1	d	a	103.753109543131	103.765111317254	103.910511578369	NA	12.0017741234761	157.402035238036	2.48505448248322	5.05880326625572
s9gt02fw_marw112	s9gt02fw	f	13.2590645873177	14.3038571637369	ditu4	di4.tu2	d	i	13.4544867715286	13.4692209264658	13.6187256235828	NA	14.7341549372619	164.238852054204	2.69016826383326	5.10132178324522
s9gt02fw_marw112	s9gt02fw	f	27.8869471473222	29.0176130861869	dnhe5	dun1.zhe	d	u	28.1751633505895	28.180940287226	28.3190472951085	NA	5.77693663654344	143.883944519061	1.75387354851039	4.96900703379122
s9gt02fw_marw112	s9gt02fw	f	32.5527331735231	33.697711339462	tudo3	tu3.dou4	t	u	32.8436763342737	32.9287142857143	33.0864739229025	NA	85.0379514405901	242.797588628797	4.44309764438077	5.49222812762366
s9gt02fw_marw112	s9gt02fw	f	40.219418378657	41.3071476362989	kahe5	ka3.che1	k	a	40.3860178114158	40.4914761904762	40.6278299319728	NA	105.458379060359	241.812120556958	4.65831636379985	5.48816106329727
s9gt02fw_marw112	s9gt02fw	f	45.074440398292	46.2480430183793	tazi4	tao1.zi	t	a	45.3484274130546	45.4342892776158	45.6653854875283	NA	85.8618645612026	316.958074473739	4.45273977885695	5.75876950794989
s9gt02fw_marw112	s9gt02fw	f	56.9339056725648	57.8928248865386	gaol3	gao1.lou2	g	a	57.1510324469463	57.1715386154462	57.3930512204882	MB @ 57.1510	20.5061684999066	242.018773541922	3.02072574331677	5.48901529976729
s9gt02fw_marw112	s9gt02fw	f	71.9848913896788	73.1155573285434	daxn3	da4.xiang4	d	a	72.3327138479258	72.3445283446712	72.5372651407601	NA	11.814496745373	204.551292834239	2.46932731518011	5.32081876473793
s9gt02fw_marw112	s9gt02fw	f	79.8741055490518	80.8831175577855	knle3	kun4.le	k	u	80.2033383377564	80.2875753158406	80.3940217039197	MB @ 80.2033	84.2369780842489	190.683366163299	4.43363399448818	5.25061428364891
s9gt02fw_marw112	s9gt02fw	f	84.7591438644286	85.8325608949963	gnzi4	gun4.zi	g	u	85.101939602322	85.121675170068	85.2592655580751	MB @ 85.1019	19.7355677460678	157.325955753137	2.98242247718683	5.05831980441846
