subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
001	5	21	182	1	0	21	0	0	ff	8	NA	NA
001	5	21	1694	1	0	21	0	0	fp	8	NA	NA
001	5	21	1694	1	0	21	0	0	rp	8	NA	NA
001	5	21	0	1	0	21	0	0	pr	8	NA	NA
001	5	21	1694	1	0	21	0	0	rb	8	NA	NA
001	5	21	329	1	0	21	0	0	rr	8	NA	NA
001	5	21	2023	1	0	21	0	0	tt	8	NA	NA
001	5	21	214	2	21	41	0	0	ff	8	NA	NA
001	5	21	706	2	21	41	0	0	fp	8	NA	NA
001	5	21	706	2	21	41	0	0	rp	8	NA	NA
001	5	21	0	2	21	41	0	0	pr	8	NA	NA
001	5	21	706	2	21	41	0	0	rb	8	NA	NA
001	5	21	NA	2	21	41	0	0	rr	8	NA	NA
001	5	21	706	2	21	41	0	0	tt	8	NA	NA
001	5	21	285	3	41	61	0	0	ff	8	NA	NA
001	5	21	1306	3	41	61	0	0	fp	8	NA	NA
001	5	21	1306	3	41	61	0	0	rp	8	NA	NA
001	5	21	0	3	41	61	0	0	pr	8	NA	NA
001	5	21	1306	3	41	61	0	0	rb	8	NA	NA
001	5	21	NA	3	41	61	0	0	rr	8	NA	NA
001	5	21	1306	3	41	61	0	0	tt	8	NA	NA
001	5	21	163	4	61	77	0	0	ff	8	NA	NA
001	5	21	1320	4	61	77	0	0	fp	8	NA	NA
001	5	21	1320	4	61	77	0	0	rp	8	NA	NA
001	5	21	0	4	61	77	0	0	pr	8	NA	NA
001	5	21	1320	4	61	77	0	0	rb	8	NA	NA
001	5	21	172	4	61	77	0	0	rr	8	NA	NA
001	5	21	1492	4	61	77	0	0	tt	8	NA	NA
001	5	21	233	5	77	92	0	0	ff	8	NA	NA
001	5	21	233	5	77	92	0	0	fp	8	NA	NA
001	5	21	757	5	77	92	0	0	rp	8	NA	NA
001	5	21	1	5	77	92	0	0	pr	8	NA	NA
001	5	21	585	5	77	92	0	0	rb	8	NA	NA
001	5	21	352	5	77	92	0	0	rr	8	NA	NA
001	5	21	585	5	77	92	0	0	tt	8	NA	NA
001	5	21	165	6	92	115	0	0	ff	8	NA	NA
001	5	21	2312	6	92	115	0	0	fp	8	NA	NA
001	5	21	2897	6	92	115	0	0	rp	8	NA	NA
001	5	21	1	6	92	115	0	0	pr	8	NA	NA
001	5	21	2312	6	92	115	0	0	rb	8	NA	NA
001	5	21	NA	6	92	115	0	0	rr	8	NA	NA
001	5	21	2312	6	92	115	0	0	tt	8	NA	NA
001	3	19	187	1	0	20	0	0	ff	37	NA	NA
001	3	19	1062	1	0	20	0	0	fp	37	NA	NA
001	3	19	1062	1	0	20	0	0	rp	37	NA	NA
001	3	19	0	1	0	20	0	0	pr	37	NA	NA
001	3	19	1062	1	0	20	0	0	rb	37	NA	NA
001	3	19	1856	1	0	20	0	0	rr	37	NA	NA
001	3	19	2918	1	0	20	0	0	tt	37	NA	NA
001	3	19	252	2	20	32	0	0	ff	37	NA	NA
001	3	19	699	2	20	32	0	0	fp	37	NA	NA
001	3	19	2822	2	20	32	0	0	rp	37	NA	NA
001	3	19	1	2	20	32	0	0	pr	37	NA	NA
001	3	19	1157	2	20	32	0	0	rb	37	NA	NA
001	3	19	639	2	20	32	0	0	rr	37	NA	NA
001	3	19	1338	2	20	32	0	0	tt	37	NA	NA
001	3	19	277	3	32	49	0	0	ff	37	NA	NA
001	3	19	277	3	32	49	0	0	fp	37	NA	NA
001	3	19	796	3	32	49	0	0	rp	37	NA	NA
001	3	19	1	3	32	49	0	0	pr	37	NA	NA
001	3	19	424	3	32	49	0	0	rb	37	NA	NA
001	3	19	147	3	32	49	0	0	rr	37	NA	NA
001	3	19	424	3	32	49	0	0	tt	37	NA	NA
001	3	19	186	4	49	59	0	0	ff	37	NA	NA
001	3	19	186	4	49	59	0	0	fp	37	NA	NA
001	3	19	186	4	49	59	0	0	rp	37	NA	NA
001	3	19	0	4	49	59	0	0	pr	37	NA	NA
001	3	19	186	4	49	59	0	0	rb	37	NA	NA
001	3	19	NA	4	49	59	0	0	rr	37	NA	NA
001	3	19	186	4	49	59	0	0	tt	37	NA	NA
001	3	19	195	5	59	70	0	0	ff	37	NA	NA
001	3	19	195	5	59	70	0	0	fp	37	NA	NA
001	3	19	195	5	59	70	0	0	rp	37	NA	NA
001	3	19	0	5	59	70	0	0	pr	37	NA	NA
001	3	19	195	5	59	70	0	0	rb	37	NA	NA
001	3	19	NA	5	59	70	0	0	rr	37	NA	NA
001	3	19	195	5	59	70	0	0	tt	37	NA	NA
001	3	19	173	6	70	95	0	0	ff	37	NA	NA
001	3	19	1218	6	70	95	0	0	fp	37	NA	NA
001	3	19	1218	6	70	95	0	0	rp	37	NA	NA
001	3	19	0	6	70	95	0	0	pr	37	NA	NA
001	3	19	1218	6	70	95	0	0	rb	37	NA	NA
001	3	19	NA	6	70	95	0	0	rr	37	NA	NA
001	3	19	1218	6	70	95	0	0	tt	37	NA	NA
001	2	10	348	1	0	19	0	0	ff	23	NA	NA
001	2	10	872	1	0	19	0	0	fp	23	NA	NA
001	2	10	NA	1	0	19	0	0	rp	23	NA	NA
001	2	10	NA	1	0	19	0	0	pr	23	NA	NA
001	2	10	NA	1	0	19	0	0	rb	23	NA	NA
001	2	10	NA	1	0	19	0	0	rr	23	NA	NA
001	2	10	872	1	0	19	0	0	tt	23	NA	NA
001	2	10	153	2	19	33	0	0	ff	23	NA	NA
001	2	10	153	2	19	33	0	0	fp	23	NA	NA
001	2	10	1287	2	19	33	0	0	rp	23	NA	NA
001	2	10	1	2	19	33	0	0	pr	23	NA	NA
001	2	10	415	2	19	33	0	0	rb	23	NA	NA
001	2	10	262	2	19	33	0	0	rr	23	NA	NA
001	2	10	415	2	19	33	0	0	tt	23	NA	NA
001	2	10	248	3	33	50	0	0	ff	23	NA	NA
001	2	10	411	3	33	50	0	0	fp	23	NA	NA
001	2	10	411	3	33	50	0	0	rp	23	NA	NA
001	2	10	0	3	33	50	0	0	pr	23	NA	NA
001	2	10	411	3	33	50	0	0	rb	23	NA	NA
001	2	10	154	3	33	50	0	0	rr	23	NA	NA
001	2	10	565	3	33	50	0	0	tt	23	NA	NA
001	2	10	198	4	50	59	0	0	ff	23	NA	NA
001	2	10	397	4	50	59	0	0	fp	23	NA	NA
001	2	10	551	4	50	59	0	0	rp	23	NA	NA
001	2	10	1	4	50	59	0	0	pr	23	NA	NA
001	2	10	397	4	50	59	0	0	rb	23	NA	NA
001	2	10	NA	4	50	59	0	0	rr	23	NA	NA
001	2	10	397	4	50	59	0	0	tt	23	NA	NA
001	2	10	223	5	59	73	0	0	ff	23	NA	NA
001	2	10	452	5	59	73	0	0	fp	23	NA	NA
001	2	10	452	5	59	73	0	0	rp	23	NA	NA
001	2	10	0	5	59	73	0	0	pr	23	NA	NA
001	2	10	452	5	59	73	0	0	rb	23	NA	NA
001	2	10	782	5	59	73	0	0	rr	23	NA	NA
001	2	10	1234	5	59	73	0	0	tt	23	NA	NA
001	2	10	216	6	73	100	0	0	ff	23	NA	NA
001	2	10	407	6	73	100	0	0	fp	23	NA	NA
001	2	10	1414	6	73	100	0	0	rp	23	NA	NA
001	2	10	1	6	73	100	0	0	pr	23	NA	NA
001	2	10	632	6	73	100	0	0	rb	23	NA	NA
001	2	10	225	6	73	100	0	0	rr	23	NA	NA
001	2	10	632	6	73	100	0	0	tt	23	NA	NA
001	7	47	214	1	0	18	0	0	ff	43	NA	NA
001	7	47	1206	1	0	18	0	0	fp	43	NA	NA
001	7	47	1206	1	0	18	0	0	rp	43	NA	NA
001	7	47	0	1	0	18	0	0	pr	43	NA	NA
001	7	47	1206	1	0	18	0	0	rb	43	NA	NA
001	7	47	NA	1	0	18	0	0	rr	43	NA	NA
001	7	47	1206	1	0	18	0	0	tt	43	NA	NA
001	7	47	327	2	18	29	0	0	ff	43	NA	NA
001	7	47	327	2	18	29	0	0	fp	43	NA	NA
001	7	47	327	2	18	29	0	0	rp	43	NA	NA
001	7	47	0	2	18	29	0	0	pr	43	NA	NA
001	7	47	327	2	18	29	0	0	rb	43	NA	NA
001	7	47	NA	2	18	29	0	0	rr	43	NA	NA
001	7	47	327	2	18	29	0	0	tt	43	NA	NA
001	7	47	191	3	29	45	0	0	ff	43	NA	NA
001	7	47	851	3	29	45	0	0	fp	43	NA	NA
001	7	47	851	3	29	45	0	0	rp	43	NA	NA
001	7	47	0	3	29	45	0	0	pr	43	NA	NA
001	7	47	851	3	29	45	0	0	rb	43	NA	NA
001	7	47	NA	3	29	45	0	0	rr	43	NA	NA
001	7	47	851	3	29	45	0	0	tt	43	NA	NA
001	7	47	465	4	45	64	0	0	ff	43	NA	NA
001	7	47	811	4	45	64	0	0	fp	43	NA	NA
001	7	47	811	4	45	64	0	0	rp	43	NA	NA
001	7	47	0	4	45	64	0	0	pr	43	NA	NA
001	7	47	811	4	45	64	0	0	rb	43	NA	NA
001	7	47	NA	4	45	64	0	0	rr	43	NA	NA
001	7	47	811	4	45	64	0	0	tt	43	NA	NA
001	7	47	254	5	64	80	0	0	ff	43	NA	NA
001	7	47	254	5	64	80	0	0	fp	43	NA	NA
001	7	47	254	5	64	80	0	0	rp	43	NA	NA
001	7	47	0	5	64	80	0	0	pr	43	NA	NA
001	7	47	254	5	64	80	0	0	rb	43	NA	NA
001	7	47	NA	5	64	80	0	0	rr	43	NA	NA
001	7	47	254	5	64	80	0	0	tt	43	NA	NA
001	7	47	208	6	80	99	0	0	ff	43	NA	NA
001	7	47	483	6	80	99	0	0	fp	43	NA	NA
001	7	47	483	6	80	99	0	0	rp	43	NA	NA
001	7	47	0	6	80	99	0	0	pr	43	NA	NA
001	7	47	483	6	80	99	0	0	rb	43	NA	NA
001	7	47	NA	6	80	99	0	0	rr	43	NA	NA
001	7	47	483	6	80	99	0	0	tt	43	NA	NA
001	3	35	217	1	0	15	0	0	ff	31	NA	NA
001	3	35	1598	1	0	15	0	0	fp	31	NA	NA
001	3	35	1598	1	0	15	0	0	rp	31	NA	NA
001	3	35	0	1	0	15	0	0	pr	31	NA	NA
001	3	35	1598	1	0	15	0	0	rb	31	NA	NA
001	3	35	122	1	0	15	0	0	rr	31	NA	NA
001	3	35	1720	1	0	15	0	0	tt	31	NA	NA
001	3	35	216	2	15	28	0	0	ff	31	NA	NA
001	3	35	391	2	15	28	0	0	fp	31	NA	NA
001	3	35	391	2	15	28	0	0	rp	31	NA	NA
001	3	35	0	2	15	28	0	0	pr	31	NA	NA
001	3	35	391	2	15	28	0	0	rb	31	NA	NA
001	3	35	NA	2	15	28	0	0	rr	31	NA	NA
001	3	35	391	2	15	28	0	0	tt	31	NA	NA
001	3	35	198	3	28	51	0	0	ff	31	NA	NA
001	3	35	695	3	28	51	0	0	fp	31	NA	NA
001	3	35	695	3	28	51	0	0	rp	31	NA	NA
001	3	35	0	3	28	51	0	0	pr	31	NA	NA
001	3	35	695	3	28	51	0	0	rb	31	NA	NA
001	3	35	325	3	28	51	0	0	rr	31	NA	NA
001	3	35	1020	3	28	51	0	0	tt	31	NA	NA
001	3	35	293	4	51	62	0	0	ff	31	NA	NA
001	3	35	293	4	51	62	0	0	fp	31	NA	NA
001	3	35	891	4	51	62	0	0	rp	31	NA	NA
001	3	35	1	4	51	62	0	0	pr	31	NA	NA
001	3	35	566	4	51	62	0	0	rb	31	NA	NA
001	3	35	273	4	51	62	0	0	rr	31	NA	NA
001	3	35	566	4	51	62	0	0	tt	31	NA	NA
001	3	35	211	5	62	75	0	0	ff	31	NA	NA
001	3	35	479	5	62	75	0	0	fp	31	NA	NA
001	3	35	479	5	62	75	0	0	rp	31	NA	NA
001	3	35	0	5	62	75	0	0	pr	31	NA	NA
001	3	35	479	5	62	75	0	0	rb	31	NA	NA
001	3	35	NA	5	62	75	0	0	rr	31	NA	NA
001	3	35	479	5	62	75	0	0	tt	31	NA	NA
001	3	35	127	6	75	100	0	0	ff	31	NA	NA
001	3	35	1050	6	75	100	0	0	fp	31	NA	NA
001	3	35	1172	6	75	100	0	0	rp	31	NA	NA
001	3	35	1	6	75	100	0	0	pr	31	NA	NA
001	3	35	1050	6	75	100	0	0	rb	31	NA	NA
001	3	35	NA	6	75	100	0	0	rr	31	NA	NA
001	3	35	1050	6	75	100	0	0	tt	31	NA	NA
001	3	11	260	1	0	13	0	0	ff	70	NA	NA
001	3	11	923	1	0	13	0	0	fp	70	NA	NA
