"subj"	"expt"	"item"	"cond"	"roi"	"word"	"region"	"rt"
"1"	1	"practice"	1	"-"	"0"	"Dies"	"-"	1032
"2"	1	"practice"	1	"-"	"1"	"ist"	"-"	590
"3"	1	"practice"	1	"-"	"2"	"ein"	"-"	698
"4"	1	"practice"	1	"-"	"3"	"sehr"	"-"	484
"5"	1	"practice"	1	"-"	"4"	"einfacher"	"-"	431
"6"	1	"practice"	1	"-"	"5"	"Übungssatz,"	"-"	540
"7"	1	"practice"	1	"-"	"6"	"damit"	"-"	640
"8"	1	"practice"	1	"-"	"7"	"du"	"-"	453
"9"	1	"practice"	1	"-"	"8"	"das"	"-"	451
"10"	1	"practice"	1	"-"	"9"	"wortweise"	"-"	520
"11"	1	"practice"	1	"-"	"10"	"Lesen"	"-"	437
"12"	1	"practice"	1	"-"	"11"	"üben"	"-"	428
"13"	1	"practice"	1	"-"	"12"	"kannst."	"-"	392
"14"	1	"practice"	2	"-"	"0"	"Das"	"-"	437
"15"	1	"practice"	2	"-"	"1"	"Stadtfest,"	"-"	470
"16"	1	"practice"	2	"-"	"2"	"welches"	"-"	504
"17"	1	"practice"	2	"-"	"3"	"im"	"-"	409
"18"	1	"practice"	2	"-"	"4"	"Mai"	"-"	362
"19"	1	"practice"	2	"-"	"5"	"stattfindet,"	"-"	406
"20"	1	"practice"	2	"-"	"6"	"ist"	"-"	381
"21"	1	"practice"	2	"-"	"7"	"sehr"	"-"	401
"22"	1	"practice"	2	"-"	"8"	"beliebt."	"-"	425
"23"	1	"practice"	2	"-"	"?"	"Y"	"1"	2100
"24"	1	"practice"	3	"-"	"0"	"Der"	"-"	480
"25"	1	"practice"	3	"-"	"1"	"Milchbauer"	"-"	525
"26"	1	"practice"	3	"-"	"2"	"bedauerte"	"-"	633
"27"	1	"practice"	3	"-"	"3"	"es"	"-"	402
"28"	1	"practice"	3	"-"	"4"	"sehr,"	"-"	408
"29"	1	"practice"	3	"-"	"5"	"dass"	"-"	413
"30"	1	"practice"	3	"-"	"6"	"die"	"-"	386
"31"	1	"practice"	3	"-"	"7"	"Hälfte"	"-"	393
"32"	1	"practice"	3	"-"	"8"	"seiner"	"-"	424
