CURRENT_FIX_INTEREST_AREA_INDEX	CURRENT_FIX_INTEREST_AREA_LABEL	itemid
184	1	Der	31
185	4	Chemielabor	31
186	3	im	31
187	2	Unfall	31
190	5	des	31
191	6	Gymnasiums	31
192	8	für	31
194	9	viel	31
195	10	Aufsehen	31
196	11	gesorgt	31
197	13	er	31
198	14	einen	31
199	15	Einsatz	31
202	16	der	31
203	17	Feuerwehr	31
204	19	sich	31
205	20	zog	31
206	22	großer	31
207	23	Sachschaden	31
209	24	entstand	31
211	26	von	31
212	27	den	31
213	28	betroffenen	31
214	29	Schülern	31
215	30	selbst	31
216	31	getragen	31
217	32	werden	31
219	33	musste	31
222	1	Der	46
223	2	Diplomat	46
225	3	überarbeitet	46
227	4	den	46
228	5	Vorschlag	46
229	6	hat	46
230	8	verärgerte	46
231	7	der	46
237	9	Minister	46
238	10	angekündigt	46
240	11	nachdem	46
241	12	die	46
242	13	Verhandlungen	46
243	14	gescheitert	46
244	15	waren	46
260	1	Der	52
261	2	Vortrupp	52
262	3	ist	52
267	5	das	52
268	7	vorgerückt	52
270	8	weil	52
271	10	Feind	52
272	9	der	52
273	11	geschwächt	52
275	12	war	52
277	2	Waldbesitzer	71
280	3	verkraftet	71
281	4	den	71
282	5	Verlust	71
283	7	der	71
284	8	alte	71
286	10	erläutert	71
287	12	er	71
288	14	Platzhirsch	71
289	13	den	71
295	15	abschoss	71
303	2	die	30
304	1	Weil	30
305	3	Umstrukturierung	30
308	4	des	30
309	5	Großkonzerns	30
311	7	weitreichenden	30
312	6	zu	30
315	8	personellen	30
316	9	Konsequenzen	30
317	10	führen	30
318	11	würde	30
319	14	besorgte	30
320	12	hat	30
322	15	Betriebsrat	30
324	17	Vorschläge	30
326	19	Geschäftsleitung	30
328	21	langer	30
329	20	nach	30
330	22	Diskussion	30
331	23	schließlich	30
332	24	abgelehnt	30
381	2	ihm	38
382	1	Weil	38
383	4	Strand	38
384	5	überhaupt	38
387	6	nicht	38
388	7	gefiel	38
389	8	das	38
390	10	und	38
391	12	Essen	38
392	13	äußerst	38
393	14	miserabel	38
395	15	waren	38
396	17	der	38
397	18	Reiseveranstalter	38
399	19	jegliche	38
400	20	Serviceleistungen	38
403	21	ablehnte	38
404	22	beschloss	38
405	23	Franz	38
406	24	Neubauer	38
407	25	den	38
408	26	billigen	38
409	27	Reiseveranstalter	38
412	29	verklagen	38
420	1	Weil	59
422	3	Mitarbeiter	59
423	2	der	59
424	4	der	59
426	5	Zentralbank	59
427	6	seinem	59
428	7	Vorgesetzten	59
429	8	Misswirtschaft	59
433	9	anlastete	59
435	10	wurde	59
437	12	von	59
438	13	seinen	59
439	15	aus	59
440	18	gejagt	59
441	19	obwohl	59
442	21	das	59
443	23	verdient	59
445	24	hatte	59
448	1	Der	32
449	2	Nachrichtensprecher	32
