"word_position"	"item"	"word"	"type_freq"
1	29	"Nachdem"	49.8271064806
2	29	"der"	26530.3631386
3	29	"Afrikaner"	2.83675241161
4	29	"seinen"	631.36952594
5	29	"Asylantrag"	0.16350157992
6	29	"gestellt"	102.147612055
7	29	"hatte"	1622.81040626
8	29	"war"	3092.73866021
9	29	"der"	26530.3631386
10	29	"Richter"	59.0567706671
11	29	"nach"	2502.6941586
12	29	"langer"	24.1737085912
13	29	"Untersuchung"	59.2693227209
14	29	"der"	26530.3631386
15	29	"komplizierten"	7.36574617539
16	29	"Sachlage"	5.84518148213
17	29	"zu"	8897.95218113
18	29	"dem"	5616.24656993
19	29	"Schluss"	2.15822085494
20	29	"gelangt"	30.1905667322
21	29	"dass"	147.780903011
22	29	"der"	26530.3631386
23	29	"Antrag"	63.4386130089
24	29	"unbegründet"	4.10388965599
25	29	"war"	3092.73866021
26	29	"und"	22313.7473183
27	29	"abgelehnt"	36.3709264532
28	29	"werden"	2700.75179743
29	29	"sollte"	343.524994491
1	30	"Weil"	49.4755780837
2	30	"die"	24520.1275636
3	30	"Umstrukturierung"	1.32436279735
4	30	"des"	7101.07799289
5	30	"Großkonzerns"	0.032700315984
6	30	"zu"	8897.95218113
7	30	"weitreichenden"	1.8393927741
8	30	"personellen"	1.23443692839
9	30	"Konsequenzen"	20.0207684612
10	30	"führen"	133.499040005
11	30	"würde"	444.299193274
12	30	"hat"	2369.4648962
13	30	"der"	26530.3631386
14	30	"besorgte"	4.99497326655
15	30	"Betriebsrat"	1.70041643117
16	30	"die"	24520.1275636
17	30	"Vorschläge"	42.6412120431
18	30	"der"	26530.3631386
19	30	"Geschäftsleitung"	1.0218848745
20	30	"nach"	2502.6941586
21	30	"langer"	24.1737085912
22	30	"Diskussion"	35.2918160257
23	30	"schließlich"	167.760796077
24	30	"abgelehnt"	36.3709264532
1	31	"Der"	2185.87714719
2	31	"Unfall"	7.40662157037
3	31	"im"	4320.93800333
4	31	"Chemielabor"	0.00817507899599
5	31	"des"	7101.07799289
6	31	"Gymnasiums"	2.36259782984
7	31	"hat"	2369.4648962
8	31	"für"	4142.64770551
9	31	"viel"	408.475997114
10	31	"Aufsehen"	8.02792757406
11	31	"gesorgt"	9.00893705358
12	31	"da"	1008.79657303
13	31	"er"	4943.65829569
14	31	"einen"	2019.39166343
15	31	"Einsatz"	35.6433444225
16	31	"der"	26530.3631386
17	31	"Feuerwehr"	5.26475087342
18	31	"nach"	2502.6941586
19	31	"sich"	6557.46793998
20	31	"zog"	103.357523746
21	31	"und"	22313.7473183
22	31	"großer"	106.120700447
23	31	"Sachschaden"	1.18538645442
24	31	"entstand"	29.9044389673
25	31	"der"	26530.3631386
26	31	"von"	7955.34104766
27	31	"den"	9841.63424996
28	31	"betroffenen"	8.58383294579
29	31	"Schülern"	11.8375143862
30	31	"selbst"	767.26386409
31	31	"getragen"	38.782574757
32	31	"werden"	2700.75179743
33	31	"musste"	7.47202220234
1	32	"Der"	2185.87714719
2	32	"Nachrichtensprecher"	0.155326500924
3	32	"der"	26530.3631386
4	32	"Spätausgabe"	0.032700315984
5	32	"der"	26530.3631386
6	32	"Tagesschau"	0.523205055744
7	32	"las"	41.7583035115
8	32	"mit"	6389.55999248
9	32	"zittriger"	0.147151421928
10	32	"Stimme"	136.343967495
11	32	"die"	24520.1275636
12	32	"Vermisstenmeldung"	NA
13	32	"vor"	1691.52194522
14	32	"nachdem"	104.837213045
15	32	"er"	4943.65829569
16	32	"bemerkt"	35.9621725034
17	32	"hatte"	1622.81040626
18	32	"dass"	147.780903011
19	32	"der"	26530.3631386
20	32	"Vermisste"	NA
21	32	"ein"	4999.44503476
22	32	"entfernter"	1.34888803434
23	32	"Verwandter"	2.22362148691
24	32	"von"	7955.34104766
25	32	"ihm"	1297.73656506
26	32	"war"	3092.73866021
1	33	"Der"	2185.87714719
2	33	"Bergsteiger"	0.891083610563
3	33	"beschloss"	0.956484242531
4	33	"auf"	5591.37797963
5	33	"Grund"	126.149643987
6	33	"des"	7101.07799289
7	33	"schönen"	56.2281933344
8	33	"Wetters"	1.61049056221
9	33	"nicht"	6717.74853877
10	33	"zum"	1651.97908812
11	33	"Basislager"	0.0654006319679
12	33	"zurückzukehren"	7.67639917724
13	33	"sondern"	760.576649471
14	33	"stattdessen"	2.043769749
