"subject" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"1" "aa" 1 "d" 1 184 1 0 419 419 419 419 419 0 0 0 0 0 419
"2" "aa" 1 "d" 2 183 1 183 183 183 183 183 602 0 0 0 0 0 183
"3" "aa" 1 "d" 3 213 1 0 759 759 759 759 1361 0 0 0 0 0 759
"4" "aa" 1 "d" 4 208 1 208 208 208 208 208 1569 0 0 0 0 0 208
"5" "aa" 1 "d" 5 278 1 278 278 278 278 278 1847 0 0 0 0 0 278
"6" "aa" 1 "d" 6 0 0 0 0 0 0 0 1847 0 0 0 0 0 0
"7" "aa" 1 "d" 7 243 1 0 1008 1008 1008 1008 2855 0 0 0 0 0 1008
"8" "aa" 1 "d" 8 0 0 0 0 0 0 0 2855 0 0 0 0 0 0
"9" "aa" 2 "c" 1 196 1 0 333 333 333 333 333 0 0 0 0 0 333
"10" "aa" 2 "c" 2 240 1 240 240 240 240 240 573 0 0 0 0 0 240
"11" "aa" 2 "c" 3 170 1 170 170 170 170 170 743 0 0 0 0 0 170
"12" "aa" 2 "c" 4 165 1 0 365 365 365 365 1108 0 0 0 0 0 365
"13" "aa" 2 "c" 5 0 0 0 0 0 0 0 1108 0 0 0 0 0 0
"14" "aa" 2 "c" 6 263 1 0 985 985 985 985 2093 0 0 0 0 0 985
"15" "aa" 2 "c" 7 0 0 0 0 0 0 0 2093 0 0 0 0 0 0
"16" "aa" 2 "c" 8 0 0 0 0 0 0 0 2093 0 0 0 0 0 0
"17" "aa" 3 "b" 1 195 1 0 384 384 384 384 384 0 0 0 0 0 384
"18" "aa" 3 "b" 2 261 1 261 261 261 261 261 645 0 0 0 0 0 261
"19" "aa" 3 "b" 3 217 1 0 744 744 744 744 1389 0 0 0 0 0 744
"20" "aa" 3 "b" 4 158 1 0 271 271 271 271 1660 0 0 0 0 0 271
"21" "aa" 3 "b" 5 231 1 0 406 406 406 406 2066 0 0 0 0 0 406
"22" "aa" 3 "b" 6 0 0 0 0 0 0 0 2066 0 0 0 0 0 0
"23" "aa" 3 "b" 7 277 1 0 1138 1138 1138 1138 3204 0 0 0 0 0 1138
"24" "aa" 3 "b" 8 0 0 0 0 0 0 0 3204 0 0 0 0 0 0
"25" "aa" 4 "a" 1 184 1 0 770 770 770 770 770 0 0 0 0 0 770
"26" "aa" 4 "a" 2 201 1 0 730 730 730 730 1500 0 0 0 0 0 730
"27" "aa" 4 "a" 3 249 1 249 249 249 249 249 1749 0 0 0 0 0 249
"28" "aa" 4 "a" 4 196 1 196 196 196 196 196 1945 0 0 0 0 0 196
"29" "aa" 4 "a" 5 0 0 0 0 0 0 0 1945 0 0 0 0 0 0
"30" "aa" 4 "a" 6 308 1 0 1238 1238 1238 1238 3183 0 0 0 0 0 1238
"31" "aa" 4 "a" 7 0 0 0 0 0 0 0 3183 0 0 0 0 0 0
"32" "aa" 4 "a" 8 0 0 0 0 0 0 0 3183 0 0 0 0 0 0
"33" "aa" 6 "d" 1 169 1 0 858 858 858 858 858 0 0 0 0 0 858
"34" "aa" 6 "d" 2 184 1 184 184 184 184 184 1042 0 0 0 0 0 184
"35" "aa" 6 "d" 3 260 1 0 932 932 932 932 1974 0 0 0 0 0 932
"36" "aa" 6 "d" 4 190 1 0 615 615 615 615 2589 0 0 0 0 0 615
"37" "aa" 6 "d" 5 147 1 147 147 147 147 147 2736 0 0 0 0 0 147
"38" "aa" 6 "d" 6 0 0 0 0 0 0 0 2736 0 0 0 0 0 0
"39" "aa" 6 "d" 7 272 1 0 1110 1110 1110 1110 3846 0 0 0 0 0 1110
"40" "aa" 6 "d" 8 0 0 0 0 0 0 0 3846 0 0 0 0 0 0
"41" "aa" 7 "c" 1 184 1 0 544 544 544 544 544 0 0 0 0 0 544
"42" "aa" 7 "c" 2 407 1 0 481 481 481 481 1025 0 0 0 0 0 481
"43" "aa" 7 "c" 3 230 1 230 230 230 230 230 1255 0 0 0 0 0 230
"44" "aa" 7 "c" 4 238 1 0 358 358 358 358 1613 0 0 0 0 0 358
