"subject" "participant" "id" "cond" "resp" "roi" "dist" "pred" "pred.dist" "nopred.dist"
"1" "1" "az" 11 "c" 1 1 -1 1 0 -1
"9" "1" "az" 5 "a" 1 1 -1 -1 -1 0
"17" "1" "az" 28 "d" 0 1 1 1 0 1
"25" "1" "az" 22 "a" 1 1 -1 -1 -1 0
"33" "1" "az" 4 "b" 1 1 1 -1 1 0
"41" "1" "az" 2 "d" 1 1 1 1 0 1
"49" "1" "az" 29 "d" 1 1 1 1 0 1
"57" "1" "az" 21 "b" 1 1 1 -1 1 0
"65" "1" "az" 15 "d" 1 1 1 1 0 1
"73" "1" "az" 30 "c" 1 1 -1 1 0 -1
"81" "1" "az" 25 "c" 1 1 -1 1 0 -1
"89" "1" "az" 27 "a" 1 1 -1 -1 -1 0
"97" "1" "az" 18 "a" 1 1 -1 -1 -1 0
"105" "1" "az" 13 "b" 1 1 1 -1 1 0
"113" "1" "az" 12 "b" 1 1 1 -1 1 0
"121" "1" "az" 23 "a" 1 1 -1 -1 -1 0
"129" "1" "az" 19 "d" 1 1 1 1 0 1
"137" "1" "az" 17 "b" 1 1 1 -1 1 0
"145" "1" "az" 16 "c" 1 1 -1 1 0 -1
"153" "1" "az" 26 "b" 1 1 1 -1 1 0
"161" "1" "az" 6 "d" 0 1 1 1 0 1
"169" "1" "az" 14 "a" 1 1 -1 -1 -1 0
"177" "1" "az" 3 "c" 1 1 -1 1 0 -1
"185" "1" "az" 7 "c" 1 1 -1 1 0 -1
"193" "1" "az" 8 "b" 1 1 1 -1 1 0
"201" "1" "az" 31 "b" 1 1 1 -1 1 0
"209" "1" "az" 20 "c" 1 1 -1 1 0 -1
"217" "1" "az" 24 "d" 1 1 1 1 0 1
"225" "1" "az" 1 "c" 1 1 -1 1 0 -1
"233" "2" "hh" 11 "c" 1 1 -1 1 0 -1
"241" "2" "hh" 5 "a" 1 1 -1 -1 -1 0
"249" "2" "hh" 28 "d" 1 1 1 1 0 1
"257" "2" "hh" 22 "a" 1 1 -1 -1 -1 0
"265" "2" "hh" 4 "b" 1 1 1 -1 1 0
"273" "2" "hh" 2 "d" 1 1 1 1 0 1
"281" "2" "hh" 29 "d" 1 1 1 1 0 1
"289" "2" "hh" 21 "b" 1 1 1 -1 1 0
"297" "2" "hh" 15 "d" 1 1 1 1 0 1
"305" "2" "hh" 30 "c" 1 1 -1 1 0 -1
"313" "2" "hh" 25 "c" 1 1 -1 1 0 -1
"321" "2" "hh" 27 "a" 1 1 -1 -1 -1 0
"329" "2" "hh" 18 "a" 1 1 -1 -1 -1 0
"337" "2" "hh" 13 "b" 1 1 1 -1 1 0
"345" "2" "hh" 12 "b" 1 1 1 -1 1 0
"353" "2" "hh" 23 "a" 0 1 -1 -1 -1 0
"361" "2" "hh" 19 "d" 1 1 1 1 0 1
"369" "2" "hh" 17 "b" 1 1 1 -1 1 0
"377" "2" "hh" 16 "c" 1 1 -1 1 0 -1
"385" "2" "hh" 26 "b" 1 1 1 -1 1 0
"393" "2" "hh" 6 "d" 1 1 1 1 0 1
"401" "2" "hh" 14 "a" 0 1 -1 -1 -1 0
"409" "2" "hh" 3 "c" 1 1 -1 1 0 -1
"417" "2" "hh" 7 "c" 1 1 -1 1 0 -1
"425" "2" "hh" 8 "b" 1 1 1 -1 1 0
"433" "2" "hh" 31 "b" 0 1 1 -1 1 0
"441" "2" "hh" 20 "c" 1 1 -1 1 0 -1
"449" "2" "hh" 24 "d" 1 1 1 1 0 1
"457" "2" "hh" 1 "c" 1 1 -1 1 0 -1
"465" "2" "hh" 10 "d" 1 1 1 1 0 1
"473" "2" "hh" 9 "a" 1 1 -1 -1 -1 0
"481" "2" "hh" 32 "a" 0 1 -1 -1 -1 0
"489" "3" "hr" 11 "d" 1 1 1 1 0 1
"497" "3" "hr" 5 "b" 1 1 1 -1 1 0
"505" "3" "hr" 28 "a" 1 1 -1 -1 -1 0
"513" "3" "hr" 22 "b" 1 1 1 -1 1 0
"521" "3" "hr" 4 "c" 1 1 -1 1 0 -1
"529" "3" "hr" 2 "a" 1 1 -1 -1 -1 0
"537" "3" "hr" 29 "a" 1 1 -1 -1 -1 0
"545" "3" "hr" 21 "c" 1 1 -1 1 0 -1
"553" "3" "hr" 15 "a" 1 1 -1 -1 -1 0
"561" "3" "hr" 30 "d" 1 1 1 1 0 1
"569" "3" "hr" 25 "d" 0 1 1 1 0 1
