"subject" "participant" "id" "cond" "trial" "response" "GIVEN_ANSWER" "resp" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "dist" "pred" "pred.dist" "nopred.dist"
"1" "1" "aa2" 18 "b" 2 7 7 1 1 187 1 0 319 319 319 319 319 0 0 0 0 0 319 1 -1 0 0
"8" "1" "aa2" 33 "a" 4 6 6 1 1 48 1 48 48 48 48 48 48 0 0 0 0 0 48 -1 -1 -1 0
"15" "1" "aa2" 22 "b" 10 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"22" "1" "aa2" 11 "a" 14 6 6 1 1 187 1 187 187 187 187 187 187 0 0 0 0 0 187 -1 -1 -1 0
"29" "1" "aa2" 24 "d" 18 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"36" "1" "aa2" 3 "c" 20 6 6 1 1 173 1 173 173 173 173 173 173 0 0 0 0 0 173 -1 1 1 -1
"43" "1" "aa2" 4 "b" 23 7 7 1 1 189 1 189 189 189 189 189 189 0 0 0 0 0 189 1 -1 0 0
"50" "1" "aa2" 10 "b" 28 7 6 0 1 184 1 184 184 184 184 184 184 0 0 0 0 0 184 1 -1 0 0
"57" "1" "aa2" 30 "c" 31 7 7 1 1 191 1 191 191 191 191 191 191 0 0 0 0 0 191 -1 1 1 -1
"64" "1" "aa2" 36 "b" 33 7 7 1 1 188 1 188 188 188 188 188 188 0 0 0 0 0 188 1 -1 1 0
"71" "1" "aa2" 28 "a" 36 7 7 1 1 196 1 196 196 196 196 196 196 0 0 0 0 0 196 -1 -1 -1 0
"78" "1" "aa2" 27 "b" 39 6 6 1 1 186 1 186 186 186 186 186 186 0 0 0 0 0 186 1 -1 0 0
"85" "1" "aa2" 21 "c" 41 6 6 1 1 19 1 0 19 19 353 19 19 334 0 334 0 0 334 -1 1 0 -1
"92" "1" "aa2" 6 "a" 44 7 7 1 1 42 1 0 42 42 228 42 42 186 0 186 0 0 186 -1 -1 -1 0
"99" "1" "aa2" 14 "b" 46 7 7 1 1 77 1 0 391 391 391 391 391 0 0 0 0 0 391 1 -1 0 0
"106" "1" "aa2" 7 "d" 48 6 7 0 1 67 1 0 430 430 430 430 430 0 0 0 0 0 430 1 1 1 1
"113" "1" "aa2" 15 "a" 53 6 6 1 1 93 1 0 242 242 466 242 242 224 0 224 0 0 224 -1 -1 -1 0
"120" "1" "aa2" 2 "d" 55 6 7 0 1 58 1 58 58 58 58 58 58 0 0 0 0 0 58 1 1 1 1
"127" "1" "aa2" 25 "c" 57 6 7 0 1 186 1 0 376 376 376 376 376 0 0 0 0 0 376 -1 1 0 -1
"134" "1" "aa2" 17 "c" 59 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 -1
"141" "1" "aa2" 16 "d" 61 7 7 1 1 201 1 0 382 382 382 382 382 0 0 0 0 0 382 1 1 1 1
"148" "1" "aa2" 34 "d" 63 7 7 1 1 33 1 0 465 465 465 465 465 0 0 0 0 0 465 1 1 0 1
"155" "1" "aa2" 8 "c" 67 7 7 1 1 191 1 191 191 191 191 191 191 0 0 0 0 0 191 -1 1 1 -1
"162" "1" "aa2" 23 "a" 70 6 6 1 1 502 1 502 502 502 502 502 502 0 0 0 0 0 502 -1 -1 -1 0
"169" "1" "aa2" 31 "b" 72 6 6 1 1 203 1 203 203 203 203 203 203 0 0 0 0 0 203 1 -1 0 0
"176" "1" "aa2" 12 "d" 75 7 7 1 1 18 1 18 18 18 18 18 18 0 0 0 0 0 18 1 1 0 1
"183" "1" "aa2" 1 "a" 79 6 6 1 1 200 1 200 200 200 200 200 200 0 0 0 0 0 200 -1 -1 -1 0
"190" "1" "aa2" 35 "c" 82 6 6 1 1 201 1 201 201 201 201 201 201 0 0 0 0 0 201 -1 1 0 -1
"197" "1" "aa2" 29 "d" 87 6 6 1 1 30 1 30 30 30 30 30 30 0 0 0 0 0 30 1 1 1 1
"204" "1" "aa2" 20 "d" 89 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
"211" "1" "aa2" 13 "c" 92 6 6 1 1 191 1 191 191 191 191 191 191 0 0 0 0 0 191 -1 1 0 -1
"218" "1" "aa2" 19 "a" 96 6 6 1 1 178 1 0 633 633 633 633 633 0 0 0 0 0 633 -1 -1 -1 0
"225" "2" "ab" 18 "a" 2 7 7 1 1 598 1 598 598 598 598 598 598 0 0 0 0 0 598 -1 -1 -1 0
"232" "2" "ab" 33 "d" 4 7 6 0 1 160 1 160 160 160 160 160 160 0 0 0 0 0 160 1 1 0 1
"239" "2" "ab" 22 "a" 10 7 7 1 1 245 1 0 245 245 470 245 245 225 0 225 0 0 225 -1 -1 -1 0
"246" "2" "ab" 11 "d" 14 6 6 1 1 470 1 470 470 470 470 470 470 0 0 0 0 0 470 1 1 0 1
"253" "2" "ab" 24 "c" 18 7 7 1 1 1137 1 1137 1137 1137 1137 1137 1137 0 0 0 0 0 1137 -1 1 0 -1
"260" "2" "ab" 3 "b" 20 6 6 1 1 182 1 0 812 812 1008 812 812 196 0 196 0 0 196 1 -1 0 0
"267" "2" "ab" 4 "a" 23 7 7 1 1 30 1 30 30 30 30 30 30 0 0 0 0 0 30 -1 -1 -1 0
"274" "2" "ab" 10 "a" 28 7 7 1 1 174 1 174 174 174 174 174 174 0 0 0 0 0 174 -1 -1 -1 0
"281" "2" "ab" 30 "b" 31 7 7 1 1 162 1 162 162 162 162 162 162 0 0 0 0 0 162 1 -1 0 0
"288" "2" "ab" 36 "a" 33 7 7 1 1 170 1 0 329 329 329 329 329 0 0 0 0 0 329 -1 -1 -1 0
"295" "2" "ab" 28 "d" 36 7 7 1 1 276 1 276 276 276 276 276 276 0 0 0 0 0 276 1 1 1 1
"302" "2" "ab" 27 "a" 39 6 6 1 1 188 1 0 353 353 828 353 353 475 0 475 0 0 195 -1 -1 -1 0
"309" "2" "ab" 21 "b" 41 6 7 0 1 184 1 0 1318 1318 1318 1318 1318 0 0 0 0 0 1318 1 -1 0 0
"316" "2" "ab" 6 "d" 44 7 7 1 1 527 1 0 726 726 726 726 726 0 0 0 0 0 726 1 1 0 1
