"item.ID" "cond" "verb" "V1" "count" "prob" "entropy"
"1" "10" "a" "dashtan" "6" "8" "0.75" 0.811278124459133
"2" "10" "a" "kardan" "2" "8" "0.25" 0.811278124459133
"3" "10" "b" "dashtan" "3" "8" "0.375" 1.40563906222957
"4" "10" "b" "gereftan" "1" "8" "0.125" 1.40563906222957
"5" "10" "b" "kardan" "4" "8" "0.5" 1.40563906222957
"14" "11" "a" "zadan" "8" "8" "1" 0
"15" "11" "b" "zadan" "8" "8" "1" 0
"25" "12" "a" "kardan" "3" "8" "0.375" 1.40563906222957
"26" "12" "a" "rava-kardan" "1" "8" "0.125" 1.40563906222957
"27" "12" "a" "zadan" "4" "8" "0.5" 1.40563906222957
"28" "12" "b" "zadan" "8" "8" "1" 0
"31" "13" "a" "hedie-kardan" "1" "8" "0.125" 1.06127812445913
"32" "13" "a" "tahvil-dadan" "1" "8" "0.125" 1.06127812445913
"33" "13" "a" "zadan" "6" "8" "0.75" 1.06127812445913
"34" "13" "b" "ehda-kardan" "1" "8" "0.125" 1.2987949406954
"35" "13" "b" "hedie-dadan" "2" "8" "0.25" 1.2987949406954
"36" "13" "b" "zadan" "5" "8" "0.625" 1.2987949406954
"49" "14" "a" "zadan" "8" "8" "1" 0
"50" "14" "b" "avardan" "2" "7" "0.285714285714286" 1.37878349348618
"51" "14" "b" "dadan" "4" "7" "0.571428571428571" 1.37878349348618
"52" "14" "b" "kardan" "1" "7" "0.142857142857143" 1.37878349348618
"57" "15" "a" "zadan" "8" "8" "1" 0
"58" "15" "b" "vared-kardan" "1" "8" "0.125" 0.543564443199596
"59" "15" "b" "zadan" "7" "8" "0.875" 0.543564443199596
"67" "16" "a" "goftan" "1" "8" "0.125" 1.06127812445913
"68" "16" "a" "gushzad-kardan" "1" "8" "0.125" 1.06127812445913
"69" "16" "a" "zadan" "6" "8" "0.75" 1.06127812445913
"70" "16" "b" "goftan" "5" "8" "0.625" 0.954434002924965
"71" "16" "b" "zadan" "3" "8" "0.375" 0.954434002924965
"78" "17" "a" "dadan" "2" "8" "0.25" 1.2987949406954
"79" "17" "a" "dashtan" "1" "8" "0.125" 1.2987949406954
"80" "17" "a" "kardan" "5" "8" "0.625" 1.2987949406954
"81" "17" "b" "gushzad-kardan" "1" "8" "0.125" 0.543564443199596
"82" "17" "b" "kardan" "7" "8" "0.875" 0.543564443199596
"89" "18" "a" "kardan" "8" "8" "1" 0
"90" "18" "b" "dadan" "1" "8" "0.125" 0.543564443199596
"91" "18" "b" "kardan" "7" "8" "0.875" 0.543564443199596
"102" "19" "a" "dadan" "7" "8" "0.875" 0.543564443199596
"103" "19" "a" "kardan" "1" "8" "0.125" 0.543564443199596
"104" "19" "b" "dadan" "7" "8" "0.875" 0.543564443199596
"105" "19" "b" "goftan" "1" "8" "0.125" 0.543564443199596
"111" "1" "a" "dashtan" "7" "8" "0.875" 0.543564443199596
"112" "1" "a" "kardan" "1" "8" "0.125" 0.543564443199596
"113" "1" "b" "baravarde-kardan" "2" "7" "0.285714285714286" 0.863120568566631
"114" "1" "b" "kardan" "5" "7" "0.714285714285714" 0.863120568566631
"122" "20" "a" "dadan" "1" "8" "0.125" 0.543564443199596
"123" "20" "a" "kardan" "7" "8" "0.875" 0.543564443199596
"124" "20" "b" "dadan" "2" "8" "0.25" 2.15563906222957
"125" "20" "b" "goftan" "1" "8" "0.125" 2.15563906222957
"126" "20" "b" "hedie-dadan" "1" "8" "0.125" 2.15563906222957
"127" "20" "b" "kardan" "3" "8" "0.375" 2.15563906222957
"128" "20" "b" "moarefi-kardan" "1" "8" "0.125" 2.15563906222957
"137" "21" "a" "dadan" "8" "8" "1" 0
"138" "21" "b" "dadan" "6" "8" "0.75" 1.06127812445913
"139" "21" "b" "gushzad-kardan" "1" "8" "0.125" 1.06127812445913
"140" "21" "b" "motezaker-shodan" "1" "8" "0.125" 1.06127812445913
"146" "22" "a" "dadan" "2" "8" "0.25" 0.811278124459133
