Pre-test LatSq-list subj-ID item-ID cond verb
1 1 A 1 a dashtan
1 1 H 1 a dashtan
1 1 H-CH 1 a dashtan
1 1 K-V 1 a dashtan
1 1 M 1 a dashtan
1 1 R- 1 a dashtan
1 1 R-G 1 a dashtan
1 1 M-V 1 a kardan
1 4 SM-M 1 b baravarde-kardan
1 4 V 1 b baravarde-kardan
1 4 A-GH 1 b kardan
1 4 H 1 b kardan
1 4 M 1 b kardan
1 4 M2 1 b kardan
1 4 R 1 b kardan
1 3 M-A 1 c amade-kardan
1 3 S-R 1 c dadan
1 3 M-Z 1 c dorost-kardan
1 3 B-N 1 c pokhtan
1 3 N-KH 1 c pokhtan
1 3 S-GH- 1 c pokhtan
1 3 S-GH2 1 c pokhtan
1 3 ZH-Z 1 c pokhtan
1 2 D-KH 1 d amade-kardan
1 2 M-CH 1 d dorost-kardan
1 2 N 1 d pokhtan
1 2 S 1 d pokhtan
1 2 S-A- 1 d pokhtan
1 2 S-A-E 1 d pokhtan
1 2 SH-H 1 d pokhtan
1 2 T-D 1 d pokhtan
1 2 S-A-E 2 a sakhtan
1 2 T-D 2 a sakhtan
1 2 D-KH 2 a zadan
1 2 M-CH 2 a zadan
1 2 N 2 a zadan
1 2 S 2 a zadan
1 2 S-A- 2 a zadan
1 2 SH-H 2 a zadan
1 1 R- 2 b download-kardan
1 1 H-CH 2 b kardan
1 1 K-V 2 b kardan
1 1 M 2 b kardan
1 1 A 2 b zadan
1 1 H 2 b zadan
1 1 M-V 2 b zadan
1 1 R-G 2 b zadan
1 4 M2 2 c avardan
1 4 A-GH 2 c kharidan
1 4 H 2 c kharidan
1 4 M 2 c kharidan
1 4 N 2 c kharidan
1 4 R 2 c kharidan
1 4 SM-M 2 c kharidan
1 4 V 2 c kharidan
1 3 M-A 2 d avardan
1 3 S-GH2 2 d ferestadan
1 3 B-N 2 d kharidan
1 3 M-Z 2 d kharidan
1 3 N-KH 2 d kharidan
1 3 S-GH- 2 d kharidan
1 3 S-R 2 d kharidan
1 3 ZH-Z 2 d kharidan
1 3 M-A 3 a kardan
1 3 M-Z 3 a kardan
1 3 N-KH 3 a kardan
1 3 S-GH- 3 a kardan
1 3 S-GH2 3 a kardan
1 3 S-R 3 a kardan
1 3 ZH-Z 3 a kardan
1 2 M-CH 3 b kardan
1 2 N 3 b kardan
1 2 S-A- 3 b kardan
1 2 S-A-E 3 b kardan
1 2 SH-H 3 b kardan
1 2 D-KH 3 b khandan
1 2 S 3 b khandan
1 2 T-D 3 b khandan
1 1 H 3 c dukhtan
1 1 M-V 3 c dukhtan
1 1 R-G 3 c dukhtan
1 1 A 3 c kharidan
1 1 H-CH 3 c kharidan
1 1 K-V 3 c kharidan
1 1 M 3 c kharidan
1 1 R- 3 c kharidan
1 4 M 3 d dukhtan
1 4 M2 3 d dukhtan
1 4 R 3 d dukhtan
1 4 V 3 d dukhtan
1 4 A-GH 3 d kharidan
1 4 H 3 d kharidan
1 4 N 3 d kharidan
1 4 SM-M 3 d otuu-kardan
1 4 A-GH 4 a dashtan
1 4 H 4 a dashtan
1 4 N 4 a dashtan
1 4 M 4 a kardan
1 4 M2 4 a kardan
1 4 R 4 a kardan
1 4 V 4 a kardan
1 4 SM-M 4 a nemudan
1 3 N-KH 4 b dashtan
1 3 S-GH- 4 b dashtan
1 3 M-A 4 b kardan
1 3 M-Z 4 b kardan
1 3 S-GH2 4 b kardan
1 3 S-R 4 b kardan
1 3 ZH-Z 4 b kardan
1 3 B-N 4 b zadan
1 2 T-D 4 c dariaft-kardan
1 2 S 4 c gereftan
1 2 S-A-E 4 c gereftan
1 2 SH-H 4 c gereftan
1 2 D-KH 4 c shenidan
1 2 M-CH 4 c shenidan
1 2 N 4 c shenidan
1 2 S-A- 4 c shenidan
1 1 M-V 4 d dariaft-kardan
1 1 A 4 d gereftan
1 1 H 4 d gereftan
1 1 H-CH 4 d gereftan
1 1 K-V 4 d gereftan
1 1 M 4 d gereftan
1 1 R- 4 d shenidan
1 1 R-G 4 d shenidan
1 1 M-V 5 a dariaft-kardan
1 1 A 5 a dashtan
1 1 H 5 a dashtan
1 1 H-CH 5 a dashtan
1 1 K-V 5 a dashtan
1 1 M 5 a dashtan
1 1 R- 5 a dashtan
1 1 R-G 5 a dashtan
1 4 A-GH 5 b kardan
1 4 M 5 b kardan
1 4 M2 5 b kardan
1 4 N 5 b kardan
1 4 R 5 b kardan
1 4 SM-M 5 b kardan
1 4 V 5 b khastan
1 4 H 5 b talab-kardan
1 3 N-KH 5 c danestan
1 3 M-Z 5 c goftan
1 3 ZH-Z 5 c goftan
1 3 S-R 5 c naghl-kardan
1 3 B-N 5 c tarif-kardan
1 3 M-A 5 c tarif-kardan
1 3 S-GH- 5 c tarif-kardan
1 3 S-GH2 5 c tarif-kardan
1 2 N 5 d dashtan
1 2 S 5 d dashtan
1 2 T-D 5 d kardan
1 2 D-KH 5 d nemudan
1 2 S-A- 5 d nemudan
1 2 S-A-E 5 d nemudan
1 2 M-CH 5 d neveshtan
1 2 SH-H 5 d neveshtan
1 2 D-KH 6 a dashtan
1 2 M-CH 6 a kardan
1 2 N 6 a kardan
1 2 S 6 a kardan
1 2 S-A- 6 a kardan
1 2 S-A-E 6 a kardan
1 2 SH-H 6 a kardan
1 2 T-D 6 a kardan
1 1 M 6 b dashtan
1 1 R- 6 b dashtan
1 1 A 6 b kardan
1 1 K-V 6 b kardan
1 1 M-V 6 b kardan
1 1 R-G 6 b kardan
1 1 H 6 b neveshtan
1 1 H-CH 6 b neveshtan
1 4 H 6 c dadan
1 4 M 6 c dadan
1 4 M2 6 c dadan
1 4 R 6 c dadan
1 4 V 6 c dadan
1 4 A-GH 6 c pakhsh-kardan
1 4 N 6 c pakhsh-kardan
1 4 SM-M 6 c tahie-kardan
1 3 S-GH- 6 d bazgu-kardan
1 3 B-N 6 d erae-kardan
1 3 M-A 6 d neveshtan
1 3 M-Z 6 d neveshtan
1 3 N-KH 6 d neveshtan
1 3 S-R 6 d neveshtan
1 3 ZH-Z 6 d pakhsh-kardan
1 3 S-GH2 6 d tahie-kardan
1 3 B-N 7 a dadan
1 3 M-A 7 a dadan
1 3 M-Z 7 a dashtan
1 3 N-KH 7 a dashtan
1 3 S-GH2 7 a dashtan
1 3 S-GH- 7 a erae-kardan
1 3 S-R 7 a erae-kardan
1 3 ZH-Z 7 a kardan
1 2 D-KH 7 b kardan
1 2 M-CH 7 b kardan
1 2 N 7 b kardan
1 2 S-A-E 7 b kardan
1 2 SH-H 7 b kardan
1 2 T-D 7 b kardan
1 2 S 7 b nemudan
1 2 S-A- 7 b nemudan
1 1 H 7 c bardasht-kardan
1 1 K-V 7 c dashtan
1 1 M 7 c dashtan
1 1 R- 7 c dashtan
1 1 H-CH 7 c erae-kardan
1 1 A 7 c kardan
1 1 M-V 7 c khandan
1 1 R-G 7 c khandan
1 4 SM-M 7 d anjam-dadan
1 4 H 7 d erae-kardan
1 4 A-GH 7 d estekhraj-kardan
1 4 M 7 d kardan
1 4 M2 7 d kardan
1 4 R 7 d kardan
1 4 V 7 d kardan
1 4 N 7 d nemudan
1 4 A-GH 8 a dashtan
1 4 H 8 a dashtan
1 4 M 8 a dashtan
1 4 M2 8 a dashtan
1 4 N 8 a dashtan
1 4 R 8 a dashtan
1 4 SM-M 8 a dashtan
1 4 V 8 a dashtan
1 3 B-N 8 b darkhast-kardan
1 3 S-R 8 b darkhast-kardan
1 3 M-A 8 b dashtan
1 3 M-Z 8 b dashtan
1 3 N-KH 8 b dashtan
1 3 S-GH- 8 b dashtan
1 3 S-GH2 8 b dashtan
1 3 ZH-Z 8 b dashtan
1 2 T-D 8 c baian-kardan
1 2 S-A-E 8 c dashtan
1 2 SH-H 8 c dashtan
1 2 S 8 c khandan
1 2 D-KH 8 c neveshtan
1 2 M-CH 8 c sakhtan
1 2 N 8 c sakhtan
1 2 S-A- 8 c tarif-kardan
1 1 M 8 d dashtan
1 1 R-G 8 d dashtan
1 1 A 8 d kardan
1 1 H-CH 8 d kardan
1 1 K-V 8 d kardan
1 1 M-V 8 d kardan
1 1 R- 8 d khastan
1 1 H 8 d pas-gereftan
1 1 H 9 a bardasht-kardan
1 1 A 9 a bardashtan
1 1 H-CH 9 a bardashtan
1 1 M-V 9 a darkhast-kardan
1 1 K-V 9 a dashtan
1 1 M 9 a dashtan
1 1 R- 9 a dashtan
1 1 R-G 9 a dashtan
1 4 H 9 b dariaft-kardan
1 4 M 9 b gereftan
1 4 M2 9 b gereftan
1 4 R 9 b gereftan
1 4 SM-M 9 b gereftan
1 4 V 9 b gereftan
1 4 A-GH 9 b kharidan
1 4 N 9 b taghaza-kardan
1 3 B-N 9 c dashtan
1 3 M-A 9 c dashtan
1 3 M-Z 9 c dashtan
1 3 N-KH 9 c dashtan
1 3 S-GH- 9 c dashtan
1 3 S-GH2 9 c kardan
1 3 S-R 9 c kardan
1 3 ZH-Z 9 c kardan
1 2 T-D 9 d ghabul-kardan
1 2 SH-H 9 d irad-gereftan
1 2 D-KH 9 d kardan
1 2 M-CH 9 d kardan
1 2 N 9 d kardan
1 2 S 9 d kardan
1 2 S-A-E 9 d kardan
1 2 S-A- 9 d paziroftan
1 2 D-KH 10 a dashtan
1 2 M-CH 10 a dashtan
1 2 S 10 a dashtan
1 2 S-A- 10 a dashtan
1 2 SH-H 10 a dashtan
1 2 T-D 10 a dashtan
1 2 N 10 a kardan
1 2 S-A-E 10 a kardan
1 1 M 10 b dashtan
1 1 R- 10 b dashtan
1 1 R-G 10 b dashtan
1 1 H 10 b gereftan
1 1 A 10 b kardan
1 1 H-CH 10 b kardan
1 1 K-V 10 b kardan
1 1 M-V 10 b kardan
1 4 A-GH 10 c gereftan
1 4 H 10 c gereftan
1 4 M 10 c gereftan
1 4 M2 10 c gereftan
1 4 R 10 c gereftan
1 4 V 10 c gereftan
