"subj" "item" "cond" "pos" "resp" "rt" "roi"
"69" 3 14 "d" "0" "-" 375 "predep"
"70" 3 14 "d" "1" "-" 386 "dep"
"71" 3 14 "d" "2" "-" 414 "precrit"
"72" 3 14 "d" "3" "-" 407 "precrit"
"73" 3 14 "d" "4" "-" 451 "precrit"
"74" 3 14 "d" "5" "-" 398 "precrit"
"75" 3 14 "d" "6" "-" 446 "crit"
"76" 3 14 "d" "7" "-" 424 "postcrit"
"77" 3 14 "d" "8" "-" 416 "post"
"78" 3 14 "d" "9" "-" 400 "post"
"79" 3 14 "d" "10" "-" 375 "post"
"80" 3 14 "d" "?" "0" 3536 NA
"117" 3 13 "c" "0" "-" 330 "predep"
"118" 3 13 "c" "1" "-" 465 "dep"
"119" 3 13 "c" "2" "-" 576 "precrit"
"120" 3 13 "c" "3" "-" 579 "precrit"
"121" 3 13 "c" "4" "-" 955 "crit"
"122" 3 13 "c" "5" "-" 527 "postcrit"
"123" 3 13 "c" "6" "-" 576 "post"
"124" 3 13 "c" "7" "-" 444 "post"
"125" 3 13 "c" "8" "-" 513 "post"
"126" 3 13 "c" "9" "-" 504 "post"
"127" 3 13 "c" "10" "-" 662 "post"
"128" 3 13 "c" "?" "1" 2811 NA
"157" 3 21 "c" "0" "-" 85 "predep"
"158" 3 21 "c" "1" "-" 1244 "dep"
"159" 3 21 "c" "2" "-" 445 "precrit"
"160" 3 21 "c" "3" "-" 387 "precrit"
"161" 3 21 "c" "4" "-" 469 "crit"
"162" 3 21 "c" "5" "-" 446 "postcrit"
"163" 3 21 "c" "6" "-" 369 "post"
"164" 3 21 "c" "7" "-" 448 "post"
"165" 3 21 "c" "8" "-" 511 "post"
"166" 3 21 "c" "?" "1" 3382 NA
"219" 3 32 "b" "0" "-" 391 "predep"
"220" 3 32 "b" "1" "-" 367 "dep"
"221" 3 32 "b" "2" "-" 421 "precrit"
"222" 3 32 "b" "3" "-" 589 "precrit"
"223" 3 32 "b" "4" "-" 415 "precrit"
"224" 3 32 "b" "5" "-" 362 "precrit"
"225" 3 32 "b" "6" "-" 400 "crit"
"226" 3 32 "b" "7" "-" 497 "postcrit"
"227" 3 32 "b" "8" "-" 417 "post"
"228" 3 32 "b" "9" "-" 392 "post"
"229" 3 32 "b" "10" "-" 513 "post"
"230" 3 32 "b" "?" "1" 2831 NA
"277" 3 18 "d" "0" "-" 51 "predep"
"278" 3 18 "d" "1" "-" 1030 "dep"
"279" 3 18 "d" "2" "-" 385 "precrit"
"280" 3 18 "d" "3" "-" 354 "precrit"
"281" 3 18 "d" "4" "-" 367 "precrit"
"282" 3 18 "d" "5" "-" 378 "precrit"
"283" 3 18 "d" "6" "-" 394 "crit"
"284" 3 18 "d" "7" "-" 414 "postcrit"
"285" 3 18 "d" "8" "-" 409 "post"
"286" 3 18 "d" "9" "-" 416 "post"
"287" 3 18 "d" "10" "-" 367 "post"
"288" 3 18 "d" "?" "1" 3015 NA
"298" 3 25 "c" "0" "-" 111 "predep"
"299" 3 25 "c" "1" "-" 692 "dep"
"300" 3 25 "c" "2" "-" 377 "precrit"
"301" 3 25 "c" "3" "-" 338 "precrit"
"302" 3 25 "c" "4" "-" 360 "crit"
"303" 3 25 "c" "5" "-" 344 "postcrit"
"304" 3 25 "c" "6" "-" 361 "post"
"305" 3 25 "c" "7" "-" 380 "post"
"306" 3 25 "c" "8" "-" 573 "post"
"307" 3 25 "c" "9" "-" 499 "post"
"308" 3 25 "c" "?" "1" 3758 NA
"334" 3 7 "a" "0" "-" 113 "predep"
"335" 3 7 "a" "1" "-" 765 "dep"
"336" 3 7 "a" "2" "-" 416 "precrit"
"337" 3 7 "a" "3" "-" 303 "precrit"
"338" 3 7 "a" "4" "-" 327 "crit"
"339" 3 7 "a" "5" "-" 347 "postcrit"
"340" 3 7 "a" "6" "-" 324 "post"
"341" 3 7 "a" "7" "-" 267 "post"
"342" 3 7 "a" "8" "-" 784 "post"
"343" 3 7 "a" "?" "1" 1739 NA
"362" 3 15 "a" "0" "-" 57 "predep"
"363" 3 15 "a" "1" "-" 830 "dep"
"364" 3 15 "a" "2" "-" 502 "precrit"
"365" 3 15 "a" "3" "-" 357 "precrit"
"366" 3 15 "a" "4" "-" 383 "crit"
"367" 3 15 "a" "5" "-" 412 "postcrit"
"368" 3 15 "a" "6" "-" 540 "post"
"369" 3 15 "a" "7" "-" 494 "post"
"370" 3 15 "a" "?" "1" 2290 NA
"425" 3 22 "d" "0" "-" 404 "predep"
"426" 3 22 "d" "1" "-" 449 "dep"
"427" 3 22 "d" "2" "-" 437 "precrit"
