"subj" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"1" 1 1 "a" 1 200 1 200 200 200 200 200 200 0 0 0 0 0 200
"2" 1 1 "a" 2 177 1 0 177 177 378 177 377 201 0 201 0 0 201
"3" 1 1 "a" 3 177 1 177 177 177 177 378 755 0 0 0 1 1 177
"4" 1 1 "a" 4 252 1 252 252 252 252 252 1007 0 0 0 0 0 252
"5" 1 1 "a" 5 233 1 233 233 233 233 233 1240 0 0 0 0 0 233
"6" 1 1 "a" 6 227 1 0 2075 2075 2075 2075 3315 0 0 0 0 0 2075
"7" 1 1 "a" 7 0 0 0 0 0 0 0 3315 0 0 0 0 0 0
"8" 1 2 "d" 1 58 1 58 58 58 58 58 58 0 0 0 0 0 58
"9" 1 2 "d" 2 139 1 0 378 378 378 378 436 0 0 0 0 0 378
"10" 1 2 "d" 3 202 1 0 527 527 527 527 963 0 0 0 0 0 527
"11" 1 2 "d" 4 241 1 241 241 241 241 241 1204 0 0 0 0 0 241
"12" 1 2 "d" 5 0 0 0 0 0 0 0 1204 0 0 0 0 0 0
"13" 1 2 "d" 6 308 1 0 925 925 925 925 2129 0 0 0 0 0 925
"14" 1 2 "d" 7 0 0 0 0 0 0 0 2129 0 0 0 0 0 0
"15" 1 3 "c" 1 173 1 173 173 173 173 173 173 0 0 0 0 0 173
"16" 1 3 "c" 2 151 1 0 534 534 534 534 707 0 0 0 0 0 534
"17" 1 3 "c" 3 0 0 0 0 0 0 0 707 0 0 0 0 0 0
"18" 1 3 "c" 4 224 1 224 224 224 224 224 931 0 0 0 0 0 224
"19" 1 3 "c" 5 0 0 0 0 0 0 0 931 0 0 0 0 0 0
"20" 1 3 "c" 6 298 1 0 999 999 999 999 1930 0 0 0 0 0 999
"21" 1 3 "c" 7 0 0 0 0 0 0 0 1930 0 0 0 0 0 0
"22" 1 4 "b" 1 189 1 189 189 189 189 189 189 0 0 0 0 0 189
"23" 1 4 "b" 2 181 1 0 467 467 826 467 656 359 0 359 0 0 359
"24" 1 4 "b" 3 215 1 0 1178 1178 2491 1178 1834 1313 0 1313 0 1 920
"25" 1 4 "b" 4 185 1 185 185 185 185 185 2019 0 0 0 0 0 185
"26" 1 4 "b" 5 0 0 0 0 0 0 0 2019 0 0 0 0 0 0
"27" 1 4 "b" 6 327 1 0 1196 1463 1463 3135 5154 267 267 0 1 1 267
"28" 1 4 "b" 7 0 0 0 0 0 0 0 5154 0 0 0 0 0 0
"29" 1 6 "a" 1 42 1 0 42 42 228 42 42 186 0 186 0 0 186
"30" 1 6 "a" 2 167 1 0 167 397 397 583 625 230 230 0 1 1 230
"31" 1 6 "a" 3 0 0 0 0 0 0 0 625 0 0 0 0 0 0
"32" 1 6 "a" 4 231 1 231 231 231 231 231 856 0 0 0 0 0 231
"33" 1 6 "a" 5 0 0 0 0 0 0 0 856 0 0 0 0 0 0
"34" 1 6 "a" 6 237 1 237 237 237 237 237 1093 0 0 0 0 0 237
"35" 1 6 "a" 7 640 1 0 1373 1373 1373 1373 2466 0 0 0 0 0 1373
"36" 1 7 "d" 1 67 1 0 430 430 430 430 430 0 0 0 0 0 430
"37" 1 7 "d" 2 185 1 185 185 185 185 185 615 0 0 0 0 0 185
"38" 1 7 "d" 3 147 1 0 1301 1301 1301 1301 1916 0 0 0 0 0 1301
"39" 1 7 "d" 4 343 1 343 343 343 343 343 2259 0 0 0 0 0 343
"40" 1 7 "d" 5 0 0 0 0 0 0 0 2259 0 0 0 0 0 0
"41" 1 7 "d" 6 208 1 0 902 902 902 902 3161 0 0 0 0 0 902
"42" 1 7 "d" 7 0 0 0 0 0 0 0 3161 0 0 0 0 0 0
