row	Pre.test	LatSq.list	subj.ID	item.ID	cond	nominal	verb	target	synonym	gram	condition	subject
1	1	1	A	1	a	arezu	dashtan	0	0	1	-1	A1
2	1	1	H	1	a	arezu	dashtan	0	0	1	-1	H1
3	1	1	H-CH	1	a	arezu	dashtan	0	0	1	-1	H-CH1
4	1	1	K-V	1	a	arezu	dashtan	0	0	1	-1	K-V1
5	1	1	M	1	a	arezu	dashtan	0	0	1	-1	M1
6	1	1	R-	1	a	arezu	dashtan	0	0	1	-1	R-1
7	1	1	R-G	1	a	arezu	dashtan	0	0	1	-1	R-G1
8	1	1	M-V	1	a	arezu	kardan	1	1	1	-1	M-V1
9	1	4	SM-M	1	b	arezu	baravarde-kardan	0	0	1	1	SM-M4
10	1	4	V	1	b	arezu	baravarde-kardan	0	0	1	1	V4
11	1	4	A-GH	1	b	arezu	kardan	1	1	1	1	A-GH4
12	1	4	H	1	b	arezu	kardan	1	1	1	1	H4
13	1	4	M	1	b	arezu	kardan	1	1	1	1	M4
14	1	4	M2	1	b	arezu	kardan	1	1	1	1	M24
15	1	4	R	1	b	arezu	kardan	1	1	1	1	R4
32	1	2	S-A-E	2	a	ahang	sakhtan	0	0	1	-1	S-A-E2
33	1	2	T-D	2	a	ahang	sakhtan	0	0	1	-1	T-D2
34	1	2	D-KH	2	a	ahang	zadan	1	1	1	-1	D-KH2
35	1	2	M-CH	2	a	ahang	zadan	1	1	1	-1	M-CH2
36	1	2	N	2	a	ahang	zadan	1	1	1	-1	N2
37	1	2	S	2	a	ahang	zadan	1	1	1	-1	S2
38	1	2	S-A-	2	a	ahang	zadan	1	1	1	-1	S-A-2
39	1	2	SH-H	2	a	ahang	zadan	1	1	1	-1	SH-H2
40	1	1	R-	2	b	ahang	download-kardan	0	0	1	1	R-1
41	1	1	H-CH	2	b	ahang	pakhsh-kardan	0	0	1	1	H-CH1
42	1	1	K-V	2	b	ahang	pakhsh-kardan	0	0	1	1	K-V1
43	1	1	M	2	b	ahang	pakhsh-kardan	0	0	1	1	M1
44	1	1	A	2	b	ahang	zadan	1	1	1	1	A1
45	1	1	H	2	b	ahang	zadan	1	1	1	1	H1
46	1	1	M-V	2	b	ahang	zadan	1	1	1	1	M-V1
47	1	1	R-G	2	b	ahang	zadan	1	1	1	1	R-G1
64	1	3	M-A	3	a	doa	kardan	1	1	1	-1	M-A3
65	1	3	M-Z	3	a	doa	kardan	1	1	1	-1	M-Z3
66	1	3	N-KH	3	a	doa	kardan	1	1	1	-1	N-KH3
67	1	3	S-GH-	3	a	doa	kardan	1	1	1	-1	S-GH-3
68	1	3	S-GH2	3	a	doa	kardan	1	1	1	-1	S-GH23
69	1	3	S-R	3	a	doa	kardan	1	1	1	-1	S-R3
70	1	3	ZH-Z	3	a	doa	kardan	1	1	1	-1	ZH-Z3
71	1	2	M-CH	3	b	doa	kardan	1	1	1	1	M-CH2
72	1	2	N	3	b	doa	kardan	1	1	1	1	N2
73	1	2	S-A-	3	b	doa	kardan	1	1	1	1	S-A-2
74	1	2	S-A-E	3	b	doa	kardan	1	1	1	1	S-A-E2
75	1	2	SH-H	3	b	doa	kardan	1	1	1	1	SH-H2
76	1	2	D-KH	3	b	doa	khandan	0	0	1	1	D-KH2
77	1	2	S	3	b	doa	khandan	0	0	1	1	S2
78	1	2	T-D	3	b	doa	khandan	0	0	1	1	T-D2
95	1	4	A-GH	4	a	taghaza	dashtan	0	0	1	-1	A-GH4
96	1	4	H	4	a	taghaza	dashtan	0	0	1	-1	H4
97	1	4	N	4	a	taghaza	dashtan	0	0	1	-1	N4
98	1	4	M	4	a	taghaza	kardan	1	1	1	-1	M4
99	1	4	M2	4	a	taghaza	kardan	1	1	1	-1	M24
100	1	4	R	4	a	taghaza	kardan	1	1	1	-1	R4
101	1	4	V	4	a	taghaza	kardan	1	1	1	-1	V4
102	1	4	SM-M	4	a	taghaza	nemudan	0	1	1	-1	SM-M4
103	1	3	N-KH	4	b	taghaza	dashtan	0	0	1	1	N-KH3
104	1	3	S-GH-	4	b	taghaza	dashtan	0	0	1	1	S-GH-3
105	1	3	M-A	4	b	taghaza	kardan	1	1	1	1	M-A3
106	1	3	M-Z	4	b	taghaza	kardan	1	1	1	1	M-Z3
107	1	3	S-GH2	4	b	taghaza	kardan	1	1	1	1	S-GH23
108	1	3	S-R	4	b	taghaza	kardan	1	1	1	1	S-R3
109	1	3	ZH-Z	4	b	taghaza	kardan	1	1	1	1	ZH-Z3
110	1	3	B-N	4	b	taghaza	zadan	0	0	1	1	B-N3
127	1	1	M-V	5	a	shekayat	dariaft-kardan	0	0	1	-1	M-V1
128	1	1	A	5	a	shekayat	dashtan	0	0	1	-1	A1
129	1	1	H	5	a	shekayat	dashtan	0	0	1	-1	H1
130	1	1	H-CH	5	a	shekayat	dashtan	0	0	1	-1	H-CH1
131	1	1	K-V	5	a	shekayat	dashtan	0	0	1	-1	K-V1
132	1	1	M	5	a	shekayat	dashtan	0	0	1	-1	M1
133	1	1	R-	5	a	shekayat	dashtan	0	0	1	-1	R-1
134	1	1	R-G	5	a	shekayat	dashtan	0	0	1	-1	R-G1
135	1	4	A-GH	5	b	shekayat	kardan	1	1	1	1	A-GH4
136	1	4	M	5	b	shekayat	kardan	1	1	1	1	M4
137	1	4	M2	5	b	shekayat	kardan	1	1	1	1	M24
