-Pre-test	LatSq-list	subj-ID	item-ID	cond	nominal	verb	target	synonym	gram	condition
2	1	A-A	1	a	arezu	dashtan	0	0	1	-1
2	1	E-K	1	a	arezu	dashtan	0	0	1	-1
2	1	F-A	1	a	arezu	dashtan	0	0	1	-1
2	1	M-A	1	a	arezu	dashtan	0	0	1	-1
2	1	M-KH	1	a	arezu	dashtan	0	0	1	-1
2	1	R	1	a	arezu	dashtan	0	0	1	-1
2	1	Z-A	1	a	arezu	dashtan	0	0	1	-1
2	4	D-S	1	b	arezu	dashtan	0	0	1	1
2	4	H-S	1	b	arezu	dashtan	0	0	1	1
2	4	M-H	1	b	arezu	dashtan	0	0	1	1
2	4	O-M	1	b	arezu	dashtan	0	0	1	1
2	1	D-M	1	a	arezu	kardan	1	1	1	-1
2	4	M-S	1	b	arezu	kardan	1	1	1	1
2	4	M-T	1	b	arezu	kardan	1	1	1	1
2	4	M-V	1	b	arezu	kardan	1	1	1	1
2	4	S-M	1	b	arezu	kardan	1	1	1	1
2	2	J	2	a	ahang	ferestadan	0	0	1	-1
2	1	E-K	2	b	ahang	kardan	0	0	0	1
2	2	A-R	2	a	ahang	khandan	0	0	1	-1
2	2	R-R	2	a	ahang	khandan	0	0	1	-1
2	1	Z-A	2	b	ahang	peida-kardan	0	0	1	1
2	1	R	2	b	ahang	sakhtan	0	0	1	1
2	2	A-H	2	a	ahang	zadan	1	1	1	-1
2	2	F-E	2	a	ahang	zadan	1	1	1	-1
2	2	M-B	2	a	ahang	zadan	1	1	1	-1
2	2	M-M	2	a	ahang	zadan	1	1	1	-1
2	2	N-B	2	a	ahang	zadan	1	1	1	-1
2	1	A-A	2	b	ahang	zadan	1	1	1	1
2	1	D-M	2	b	ahang	zadan	1	1	1	1
2	1	F-A	2	b	ahang	zadan	1	1	1	1
2	1	M-A	2	b	ahang	zadan	1	1	1	1
2	1	M-KH	2	b	ahang	zadan	1	1	1	1
2	3	A-J	3	a	doa	kardan	1	1	1	-1
2	3	D-J	3	a	doa	kardan	1	1	1	-1
2	3	M-M-S	3	a	doa	kardan	1	1	1	-1
2	3	M-M-2	3	a	doa	kardan	1	1	1	-1
2	3	Z-M	3	a	doa	kardan	1	1	1	-1
2	2	A-R	3	b	doa	kardan	1	1	1	1
2	2	F-E	3	b	doa	kardan	1	1	1	1
2	2	J	3	b	doa	kardan	1	1	1	1
2	2	M-B	3	b	doa	kardan	1	1	1	1
2	2	N-B	3	b	doa	kardan	1	1	1	1
2	2	R-R	3	b	doa	kardan	1	1	1	1
2	3	M-A-S	3	a	doa	khandan	0	0	1	-1
2	3	M-P	3	a	doa	khandan	0	0	1	-1
2	3	P-A	3	a	doa	khandan	0	0	1	-1
2	2	A-H	3	b	doa	khandan	0	0	1	1
2	2	M-M	3	b	doa	khandan	0	0	1	1
2	4	M-S	4	a	taghaza	dashtan	0	0	1	-1
2	4	M-V	4	a	taghaza	dashtan	0	0	1	-1
2	4	S-M	4	a	taghaza	dashtan	0	0	1	-1
2	3	A-J	4	b	taghaza	dashtan	0	0	1	1
2	3	M-A-S	4	b	taghaza	dashtan	0	0	1	1
2	3	M-M-S	4	b	taghaza	dashtan	0	0	1	1
2	3	M-M-2	4	b	taghaza	dashtan	0	0	1	1
2	3	M-P	4	b	taghaza	dashtan	0	0	1	1
2	3	Z-M	4	b	taghaza	dashtan	0	0	1	1
2	4	D-S	4	a	taghaza	kardan	1	1	1	-1
2	4	H-S	4	a	taghaza	kardan	1	1	1	-1
2	4	M-H	4	a	taghaza	kardan	1	1	1	-1
2	4	M-T	4	a	taghaza	kardan	1	1	1	-1
2	4	O-M	4	a	taghaza	kardan	1	1	1	-1
2	3	D-J	4	b	taghaza	kardan	1	1	1	1
2	3	P-A	4	b	taghaza	kardan	1	1	1	1
2	1	A-A	5	a	shekayat	dashtan	0	0	1	-1
2	1	D-M	5	a	shekayat	dashtan	0	0	1	-1
2	1	E-K	5	a	shekayat	dashtan	0	0	1	-1
2	1	F-A	5	a	shekayat	dashtan	0	0	1	-1
2	1	M-A	5	a	shekayat	dashtan	0	0	1	-1
2	1	R	5	a	shekayat	dashtan	0	0	1	-1
2	4	H-S	5	b	shekayat	dashtan	0	0	1	1
2	4	M-H	5	b	shekayat	dashtan	0	0	1	1
2	4	M-S	5	b	shekayat	dashtan	0	0	1	1
2	4	M-T	5	b	shekayat	dashtan	0	0	1	1
2	4	M-V	5	b	shekayat	dashtan	0	0	1	1
2	4	O-M	5	b	shekayat	dashtan	0	0	1	1
2	4	S-M	5	b	shekayat	dashtan	0	0	1	1
2	1	M-KH	5	a	shekayat	kardan	1	1	1	-1
2	1	Z-A	5	a	shekayat	kardan	1	1	1	-1
2	4	D-S	5	b	shekayat	kardan	1	1	1	1
2	2	A-H	6	a	bardasht	dashtan	0	0	1	-1
2	2	M-B	6	a	bardasht	dashtan	0	0	1	-1
2	2	M-M	6	a	bardasht	dashtan	0	0	1	-1
2	2	R-R	6	a	bardasht	dashtan	0	0	1	-1
2	1	A-A	6	b	bardasht	dashtan	0	0	1	1
2	1	D-M	6	b	bardasht	dashtan	0	0	1	1
2	1	F-A	6	b	bardasht	dashtan	0	0	1	1
2	1	M-A	6	b	bardasht	dashtan	0	0	1	1
2	1	M-KH	6	b	bardasht	dashtan	0	0	1	1
2	1	R	6	b	bardasht	dashtan	0	0	1	1
2	2	A-R	6	a	bardasht	kardan	1	1	1	-1
2	2	F-E	6	a	bardasht	kardan	1	1	1	-1
2	2	J	6	a	bardasht	kardan	1	1	1	-1
2	2	N-B	6	a	bardasht	kardan	1	1	1	-1
2	1	E-K	6	b	bardasht	kardan	1	1	1	1
2	1	Z-A	6	b	bardasht	kardan	1	1	1	1
2	2	M-M	7	b	tahlil	be-dast-avardan	0	0	1	1
2	3	M-M-S	7	a	tahlil	dadan	0	0	0	-1
2	3	A-J	7	a	tahlil	dashtan	0	0	1	-1
2	3	D-J	7	a	tahlil	dashtan	0	0	1	-1
2	3	P-A	7	a	tahlil	erae-dadan	0	1	1	-1
2	2	R-R	7	b	tahlil	erae-dadan	0	1	1	1
2	3	M-A-S	7	a	tahlil	kardan	1	1	1	-1
2	3	M-P	7	a	tahlil	kardan	1	1	1	-1
2	2	A-H	7	b	tahlil	kardan	1	1	1	1
2	2	A-R	7	b	tahlil	kardan	1	1	1	1
2	2	F-E	7	b	tahlil	kardan	1	1	1	1
2	2	J	7	b	tahlil	kardan	1	1	1	1
2	2	N-B	7	b	tahlil	kardan	1	1	1	1
2	2	M-B	7	b	tahlil	nemudan	0	1	1	1
2	3	M-M-2	7	a	tahlil	neveshtan	0	0	1	-1
2	3	Z-M	7	a	tahlil	neveshtan	0	0	1	-1
2	4	D-S	8	a	entezar	dashtan	1	1	1	-1
2	4	H-S	8	a	entezar	dashtan	1	1	1	-1
2	4	M-H	8	a	entezar	dashtan	1	1	1	-1
