Type	distance
obj	5
obj	2
obj	2
obj	3
cp	0
cp	0
cp	0
cp	0
obj	11
obj	2
cp	0
cp	0
cp	0
cp	0
obj	5
cp	0
cp	0
obj	8
obj	7
cp	0
cp	0
cp	0
cp	0
obj	4
cp	0
cp	0
obj	13
obj	2
cp	0
obj	3
cp	0
cp	0
cp	0
cp	0
cp	0
obj	5
cp	0
obj	5
cp	0
obj	3
cp	0
obj	1
obj	6
cp	0
obj	6
cp	0
obj	2
obj	5
cp	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
obj	0
cp	0
cp	0
obj	3
obj	1
obj	4
cp	0
obj	1
cp	0
cp	0
obj	2
obj	0
obj	2
cp	0
obj	0
cp	0
cp	0
obj	3
obj	1
obj	1
cp	0
cp	0
obj	10
obj	0
obj	1
cp	0
obj	0
cp	1
obj	1
cp	0
cp	0
cp	0
obj	1
cp	0
obj	4
cp	0
obj	3
obj	4
cp	0
obj	5
cp	0
cp	0
obj	3
cp	0
cp	0
obj	1
obj	0
cp	0
obj	4
cp	0
cp	0
cp	0
obj	3
cp	0
obj	2
cp	0
obj	1
cp	0
cp	0
obj	2
obj	2
obj	4
obj	2
obj	3
obj	2
cp	0
cp	0
cp	0
cp	0
obj	1
obj	3
obj	0
obj	5
cp	0
obj	3
obj	3
obj	3
obj	1
obj	0
cp	0
obj	3
obj	1
obj	5
obj	4
obj	2
obj	0
obj	2
obj	3
cp	0
cp	0
obj	2
obj	3
obj	1
obj	4
cp	0
obj	0
cp	0
cp	0
cp	0
cp	0
obj	7
cp	0
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
obj	2
obj	2
cp	0
cp	0
cp	0
obj	3
cp	0
cp	0
obj	0
obj	2
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
cp	0
obj	0
cp	0
obj	2
cp	0
cp	0
obj	0
obj	7
cp	0
cp	0
obj	4
obj	1
obj	2
obj	2
cp	0
cp	1
cp	0
cp	0
cp	0
cp	0
obj	2
cp	0
obj	4
obj	1
obj	1
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	4
obj	1
cp	0
obj	2
obj	7
obj	6
cp	0
obj	0
obj	0
obj	3
obj	2
obj	3
obj	5
obj	3
cp	0
obj	2
cp	0
obj	2
cp	0
obj	2
obj	2
cp	0
obj	2
obj	1
obj	1
cp	0
cp	0
obj	0
obj	2
obj	0
obj	8
obj	10
obj	1
cp	0
cp	0
obj	3
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	2
obj	1
obj	0
cp	0
cp	0
obj	1
cp	0
cp	0
obj	1
obj	0
obj	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
obj	3
cp	0
cp	0
obj	5
obj	9
obj	1
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
obj	2
obj	5
cp	0
obj	3
obj	1
obj	9
obj	2
cp	0
obj	5
obj	2
obj	2
cp	0
cp	0
obj	0
obj	4
cp	0
obj	5
obj	8
obj	2
obj	3
obj	1
cp	0
cp	2
obj	2
cp	0
obj	0
obj	2
cp	0
cp	0
cp	0
cp	0
obj	2
obj	2
obj	0
cp	0
obj	10
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	2
obj	5
cp	0
obj	0
cp	0
cp	0
obj	3
obj	6
cp	0
obj	2
cp	0
cp	0
obj	4
cp	0
obj	1
obj	5
cp	0
obj	0
cp	0
obj	1
obj	3
cp	0
obj	3
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	4
cp	0
obj	3
obj	1
cp	0
cp	0
obj	4
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
obj	0
obj	3
cp	0
obj	4
obj	3
cp	0
cp	0
cp	0
obj	4
cp	0
obj	4
cp	0
cp	0
obj	5
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
obj	7
obj	2
cp	0
cp	0
cp	0
obj	4
cp	0
obj	4
obj	1
obj	2
cp	0
cp	0
cp	0
obj	0
obj	2
obj	0
cp	0
obj	0
obj	0
cp	0
cp	0
obj	2
obj	2
obj	1
obj	2
obj	3
obj	4
obj	9
cp	0
cp	0
cp	0
obj	1
cp	0
cp	0
cp	0
obj	6
obj	1
obj	1
obj	0
cp	0
obj	1
obj	1
cp	0
cp	0
obj	3
cp	0
obj	1
obj	3
cp	0
obj	1
obj	5
obj	1
cp	0
cp	0
obj	5
obj	3
obj	2
obj	2
obj	3
obj	0
cp	0
obj	2
cp	0
obj	1
cp	0
obj	1
cp	0
obj	2
cp	0
cp	0
cp	0
obj	1
cp	0
obj	1
obj	2
cp	0
obj	1
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
obj	1
obj	1
obj	3
cp	0
cp	0
obj	4
cp	0
obj	3
obj	1
obj	1
cp	0
cp	0
cp	0
cp	0
obj	4
obj	3
cp	0
obj	9
cp	0
cp	0
cp	0
obj	0
obj	0
cp	0
cp	0
obj	4
cp	0
obj	9
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	6
obj	3
obj	5
cp	0
obj	3
cp	0
obj	1
obj	6
cp	0
cp	0
obj	3
cp	0
obj	1
cp	0
obj	2
obj	8
cp	0
obj	1
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
obj	1
cp	0
obj	4
cp	0
cp	0
cp	0
obj	1
cp	0
cp	4
cp	0
cp	0
cp	0
obj	5
obj	3
obj	1
cp	0
obj	0
obj	3
cp	0
cp	0
cp	0
obj	2
cp	0
obj	1
obj	2
obj	6
obj	0
obj	0
obj	1
cp	0
cp	0
cp	0
obj	3
cp	0
obj	1
cp	0
cp	0
obj	2
obj	6
obj	0
cp	0
obj	1
cp	0
cp	0
obj	2
cp	0
obj	1
cp	0
obj	2
obj	6
obj	1
obj	1
obj	4
obj	2
cp	0
obj	7
cp	0
cp	0
obj	2
obj	3
obj	1
obj	1
obj	2
cp	0
obj	3
obj	0
obj	3
cp	0
cp	0
obj	2
obj	3
cp	0
cp	0
obj	1
cp	0
obj	5
obj	0
cp	0
obj	6
obj	3
obj	6
obj	6
obj	1
obj	1
obj	0
cp	0
obj	0
cp	0
obj	2
cp	0
obj	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
obj	16
cp	0
cp	0
obj	2
obj	1
cp	0
obj	3
obj	2
obj	2
obj	7
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	3
obj	1
cp	0
obj	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
obj	2
cp	0
obj	5
cp	0
cp	0
cp	0
cp	0
cp	0
obj	5
cp	0
obj	1
obj	1
obj	1
obj	2
cp	0
obj	10
cp	0
obj	14
cp	0
obj	20
cp	0
cp	0
cp	0
cp	0
cp	0
obj	7
cp	0
cp	0
obj	7
cp	0
obj	11
obj	2
cp	0
cp	0
cp	0
obj	16
cp	0
cp	0
obj	1
cp	0
obj	1
cp	0
obj	1
cp	0
obj	13
obj	6
obj	8
cp	0
cp	0
obj	1
cp	0
obj	6
cp	0
cp	0
obj	1
cp	0
obj	1
cp	0
obj	5
cp	0
obj	27
cp	0
cp	0
cp	0
obj	0
obj	2
cp	0
cp	0
cp	0
cp	0
obj	2
cp	0
obj	9
cp	0
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
obj	7
cp	0
cp	0
obj	5
cp	0
cp	0
cp	0
obj	9
cp	0
obj	1
obj	1
cp	0
obj	4
cp	0
cp	0
obj	6
obj	4
cp	0
obj	5
cp	0
cp	0
cp	0
obj	2
cp	0
obj	1
cp	0
cp	0
obj	16
cp	0
cp	0
obj	6
cp	0
obj	1
obj	4
obj	5
cp	0
cp	0
cp	0
obj	13
cp	0
cp	0
obj	4
cp	0
obj	6
obj	1
cp	0
cp	0
cp	0
cp	0
cp	0
obj	7
cp	0
