Type	distance
obj	2
obj	2
obj	2
obj	3
cp	0
cp	0
cp	0
cp	0
obj	4
obj	1
cp	0
cp	0
cp	0
cp	0
obj	4
cp	0
cp	0
obj	3
obj	4
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
cp	0
obj	6
obj	2
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	4
cp	0
obj	2
cp	0
obj	2
cp	0
obj	1
obj	1
cp	0
obj	4
cp	0
obj	2
obj	3
cp	1
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
obj	0
cp	0
cp	0
obj	2
obj	1
obj	3
cp	0
obj	1
cp	0
cp	0
obj	2
obj	0
obj	2
cp	0
obj	0
cp	0
cp	0
obj	2
obj	1
obj	1
cp	0
cp	0
obj	2
obj	0
obj	1
cp	0
obj	0
cp	1
obj	1
cp	0
cp	0
cp	0
obj	1
cp	0
obj	3
cp	0
obj	3
obj	3
cp	0
obj	3
cp	0
cp	0
obj	2
cp	0
cp	0
obj	1
obj	0
cp	0
obj	3
cp	0
cp	0
cp	0
obj	2
cp	0
obj	2
cp	0
obj	1
cp	0
cp	0
obj	1
obj	2
obj	2
obj	2
obj	3
obj	2
cp	0
cp	0
cp	0
cp	0
obj	1
obj	3
obj	0
obj	3
cp	0
obj	2
obj	2
obj	2
obj	1
obj	0
cp	0
obj	2
obj	1
obj	4
obj	2
obj	1
obj	0
obj	1
obj	3
cp	0
cp	0
obj	2
obj	2
obj	1
obj	3
cp	0
obj	0
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
cp	0
cp	0
cp	0
cp	0
obj	3
cp	0
obj	1
obj	2
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
obj	0
obj	1
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
obj	0
cp	0
obj	2
cp	0
cp	0
obj	0
obj	3
cp	0
cp	0
obj	2
obj	1
obj	1
obj	2
cp	0
cp	1
cp	0
cp	0
cp	0
cp	0
obj	1
cp	0
obj	3
obj	1
obj	1
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
obj	2
cp	0
cp	0
cp	0
cp	0
cp	0
obj	3
obj	1
cp	0
obj	2
obj	3
obj	3
cp	0
obj	0
obj	0
obj	2
obj	1
obj	2
obj	3
obj	2
cp	0
obj	2
cp	0
obj	2
cp	0
obj	1
obj	2
cp	0
obj	1
obj	1
obj	1
cp	0
cp	0
obj	0
obj	2
obj	0
obj	1
obj	6
obj	1
cp	0
cp	0
obj	2
cp	0
cp	0
obj	1
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
cp	0
