"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"1" "s1" "gp1" "sent3" "pos7" "J" 537 4 1529 68.0031445
"2" "s1" "gp1" "sent20" "pos7" "J" 350 12 1096 -120.1363888
"3" "s1" "gp1" "sent30" "pos7" "J" 527 4 1207 57.1557317
"4" "s1" "gp1" "sent44" "pos7" "J" 438 4 1595 -30.8231621
"5" "s1" "gp1" "sent59" "pos7" "J" 466 5 1009 -4.3653482
"6" "s1" "gp1" "sent76" "pos7" "J" 270 4 840 -200.8101083
"7" "s2" "gp1" "sent3" "pos7" "J" 601 4 1894 148.7479204
"8" "s2" "gp1" "sent20" "pos7" "J" 1106 12 1355 -32.5994662
"9" "s2" "gp1" "sent30" "pos7" "J" 670 4 1377 131.0269348
"10" "s2" "gp1" "sent44" "pos7" "J" 469 4 1601 -165.2440273
"11" "s2" "gp1" "sent59" "pos7" "J" 725 5 1525 62.1583635
"12" "s2" "gp1" "sent76" "pos7" "J" 385 4 1323 -197.3469262
"13" "s3" "gp1" "sent3" "pos7" "J" 653 4 1956 -56.1680742
"14" "s3" "gp1" "sent20" "pos7" "J" 664 12 2134 55.9214566
"15" "s3" "gp1" "sent30" "pos7" "J" 962 4 2652 -150.4338252
"16" "s3" "gp1" "sent44" "pos7" "J" 965 4 2456 615.9293517
"17" "s3" "gp1" "sent59" "pos7" "J" 751 5 3892 -60.7022603
"18" "s3" "gp1" "sent76" "pos7" "J" 992 4 2070 -6.7996338
"19" "s4" "gp1" "sent3" "pos7" "J" 1111 4 1671 -115.5443573
"20" "s4" "gp1" "sent20" "pos7" "J" 747 12 1878 -62.0996496
"21" "s4" "gp1" "sent30" "pos7" "J" 409 4 1618 -17.0259615
"22" "s4" "gp1" "sent44" "pos7" "J" 398 4 1516 134.5924396
"23" "s4" "gp1" "sent59" "pos7" "J" 1036 5 1719 9.8371892
"24" "s4" "gp1" "sent76" "pos7" "J" 398 4 1087 -63.2733429
"25" "s5" "gp1" "sent3" "pos7" "J" 500 4 1497 -222.9256527
"26" "s5" "gp1" "sent20" "pos7" "J" 615 12 1410 377.4815278
"27" "s5" "gp1" "sent30" "pos7" "J" 912 4 2061 -62.4126428
"28" "s5" "gp1" "sent44" "pos7" "J" 748 4 1726 -303.0623802
"29" "s5" "gp1" "sent59" "pos7" "J" 692 5 1488 -33.6097907
"30" "s5" "gp1" "sent76" "pos7" "J" 622 4 1616 -337.854224
"31" "s6" "gp1" "sent3" "pos7" "J" 780 4 2201 -366.4840715
"32" "s6" "gp1" "sent20" "pos7" "J" 747 12 1567 -311.1005337
"33" "s6" "gp1" "sent30" "pos7" "J" 479 4 1326 -436.8507214
"34" "s6" "gp1" "sent44" "pos7" "J" 384 4 1222 -325.1628305
"35" "s6" "gp1" "sent59" "pos7" "J" 393 5 1509 -234.3250772
"36" "s6" "gp1" "sent76" "pos7" "J" 510 4 1583 -191.3597282
"37" "s7" "gp1" "sent3" "pos7" "J" 801 4 3191 47.4307398
"38" "s7" "gp1" "sent20" "pos7" "J" 654 12 1591 -78.7680343
"39" "s7" "gp1" "sent30" "pos7" "J" 493 4 1609 97.8067718
"40" "s7" "gp1" "sent44" "pos7" "J" 508 4 1591 -194.1897256
"41" "s7" "gp1" "sent59" "pos7" "J" 495 5 1394 -319.4784422
"42" "s7" "gp1" "sent76" "pos7" "J" 476 4 1500 -121.7589024
"43" "s8" "gp1" "sent3" "pos7" "J" 546 4 1379 -155.1021599
"44" "s8" "gp1" "sent20" "pos7" "J" 562 12 1879 -116.9670586
"45" "s8" "gp1" "sent30" "pos7" "J" 443 4 1332 2448.8355433
"46" "s8" "gp1" "sent44" "pos7" "J" 734 4 1513 1003.3171545
"47" "s8" "gp1" "sent59" "pos7" "J" 515 5 1488 33.1825536
"48" "s8" "gp1" "sent76" "pos7" "J" 511 4 1610 -196.642315
"49" "s9" "gp1" "sent3" "pos7" "J" 613 4 2017 -346.8795381
"50" "s9" "gp1" "sent20" "pos7" "J" 538 12 2228 -309.5668044
"51" "s9" "gp1" "sent30" "pos7" "J" 485 4 1489 65.0062073
"52" "s9" "gp1" "sent44" "pos7" "J" 505 4 2099 39.0326353
"53" "s9" "gp1" "sent59" "pos7" "J" 463 5 1049 37.3083973
"54" "s9" "gp1" "sent76" "pos7" "J" 451 4 1420 8.9724374
"55" "s10" "gp1" "sent3" "pos7" "J" 1002 4 3973 -324.5666042
"56" "s10" "gp1" "sent20" "pos7" "J" 829 12 3305 -83.4201807
"57" "s10" "gp1" "sent30" "pos7" "J" 794 4 2316 162.0054068
"58" "s10" "gp1" "sent44" "pos7" "J" 1103 4 2223 -41.1241318
"59" "s10" "gp1" "sent59" "pos7" "J" 706 5 1889 95.0818892
"60" "s10" "gp1" "sent76" "pos7" "J" 303 4 1343 118.4155102
"61" "s11" "gp1" "sent3" "pos7" "J" 1085 4 3230 -522.7994535
"62" "s11" "gp1" "sent20" "pos7" "J" 949 12 3540 -600.4596914
"63" "s11" "gp1" "sent30" "pos7" "J" 806 4 3591 2127.9223831
"64" "s11" "gp1" "sent44" "pos7" "J" 920 4 2255 -341.6081161
"65" "s11" "gp1" "sent59" "pos7" "J" 824 5 2534 967.1570334
"66" "s11" "gp1" "sent76" "pos7" "J" 506 4 2666 368.9484109
"67" "s12" "gp1" "sent3" "pos7" "J" 679 4 3952 -702.3033245
"68" "s12" "gp1" "sent20" "pos7" "J" 764 12 5292 -84.5940329
"69" "s12" "gp1" "sent30" "pos7" "J" 488 4 2132 -6.5044052
"70" "s12" "gp1" "sent44" "pos7" "J" 393 4 4271 -407.6166586
"71" "s12" "gp1" "sent59" "pos7" "J" 655 5 3668 -247.1819282
"72" "s12" "gp1" "sent76" "pos7" "J" 318 4 1106 28.7745587
"73" "s13" "gp1" "sent3" "pos7" "J" 647 4 2450 352.7020914
"74" "s13" "gp1" "sent20" "pos7" "J" 884 12 2212 -27.0780211
"75" "s13" "gp1" "sent30" "pos7" "J" 561 4 2365 -345.2575899
"76" "s13" "gp1" "sent44" "pos7" "J" 650 4 2175 -348.4818823
"77" "s13" "gp1" "sent59" "pos7" "J" 553 5 2038 274.0429349
"78" "s13" "gp1" "sent76" "pos7" "J" 673 4 3093 -315.7781709
"79" "s14" "gp1" "sent3" "pos7" "J" 1353 4 3236 1254.2806106
"80" "s14" "gp1" "sent20" "pos7" "J" 2328 12 3370 -273.8225571
"81" "s14" "gp1" "sent30" "pos7" "J" 890 4 3585 -328.7869807
"82" "s14" "gp1" "sent44" "pos7" "J" 869 4 3165 -325.7017698
"83" "s14" "gp1" "sent59" "pos7" "J" 817 5 6078 -289.4551156
"84" "s14" "gp1" "sent76" "pos7" "J" 628 4 3983 -346.495603
"85" "s15" "gp1" "sent3" "pos7" "J" 433 4 1305 90.6610981
"86" "s15" "gp1" "sent20" "pos7" "J" 761 12 1071 -223.1776272
"87" "s15" "gp1" "sent30" "pos7" "J" 297 4 1152 -105.361601
"88" "s15" "gp1" "sent44" "pos7" "J" 400 4 1520 -482.0565026
"89" "s15" "gp1" "sent59" "pos7" "J" 300 5 1354 488.2574056
"90" "s15" "gp1" "sent76" "pos7" "J" 257 4 1169 -99.2987519
