"subj" "group" "sent" "pos" "condfill" "raw" "wl" "res"
"1" "s1" "sent3" "g1" "pos7" "J" 9062 4 7262.24
"2" "s1" "sent9" "g1" "pos7" "L" 1185 4 -614.7596
"3" "s1" "sent20" "g1" "pos7" "J" 8893 13 5478.967
"4" "s1" "sent23" "g1" "pos7" "L" 1363 9 -1333.578
"5" "s1" "sent30" "g1" "pos7" "J" 2304 4 504.2404
"6" "s1" "sent33" "g1" "pos7" "L" 3282 9 585.4216
"7" "s1" "sent56" "g1" "pos7" "L" 1722 4 -77.75959
"8" "s1" "sent59" "g1" "pos7" "J" 512 5 -1467.123
"9" "s1" "sent76" "g1" "pos7" "J" 357 5 -1622.123
"10" "s2" "sent3" "g1" "pos7" "J" 583 4 -363.1786
"11" "s2" "sent9" "g1" "pos7" "L" 2509 4 1562.821
"12" "s2" "sent20" "g1" "pos7" "J" 1998 13 667.0124
"13" "s2" "sent23" "g1" "pos7" "L" 833 9 -326.9614
"14" "s2" "sent30" "g1" "pos7" "J" 1247 4 300.8214
"15" "s2" "sent33" "g1" "pos7" "L" 2328 9 1168.039
"16" "s2" "sent56" "g1" "pos7" "L" 1521 4 574.8214
"17" "s2" "sent59" "g1" "pos7" "J" 655 5 -333.9352
"18" "s2" "sent76" "g1" "pos7" "J" 818 5 -170.9352
"19" "s3" "sent3" "g1" "pos7" "J" 931 4 -48.6769
"20" "s3" "sent9" "g1" "pos7" "L" 1211 4 231.3231
"21" "s3" "sent20" "g1" "pos7" "J" 1129 13 -173.1749
"22" "s3" "sent23" "g1" "pos7" "L" 1517 9 358.1575
"23" "s3" "sent30" "g1" "pos7" "J" 507 4 -472.6769
"24" "s3" "sent33" "g1" "pos7" "L" 734 9 -424.8425
"25" "s3" "sent56" "g1" "pos7" "L" 411 4 -568.6769
"26" "s3" "sent59" "g1" "pos7" "J" 419 5 -596.51
"27" "s3" "sent76" "g1" "pos7" "J" 490 5 -525.51
"28" "s4" "sent3" "g1" "pos7" "J" 1027 4 -28599.74
"29" "s4" "sent9" "g1" "pos7" "L" 784 4 -28842.74
"30" "s4" "sent20" "g1" "pos7" "J" 880 13 5378.095
"31" "s4" "sent23" "g1" "pos7" "L" 600 9 -10068.5
"32" "s4" "sent30" "g1" "pos7" "J" 442 4 -29184.74
"33" "s4" "sent33" "g1" "pos7" "L" 442 9 -10226.5
"34" "s4" "sent56" "g1" "pos7" "L" 433 4 -29193.74
"35" "s4" "sent59" "g1" "pos7" "J" 557 5 -25278.09
"36" "s4" "sent76" "g1" "pos7" "J" 1817 5 -24018.09
"37" "s5" "sent3" "g1" "pos7" "J" 360 4 -180.3454
"38" "s5" "sent9" "g1" "pos7" "L" 1584 4 1043.655
"39" "s5" "sent20" "g1" "pos7" "J" 1702 13 625.1842
"40" "s5" "sent23" "g1" "pos7" "L" 262 9 -576.3845
"41" "s5" "sent30" "g1" "pos7" "J" 321 4 -219.3454
"42" "s5" "sent33" "g1" "pos7" "L" 3132 9 2293.616
"43" "s5" "sent56" "g1" "pos7" "L" 460 4 -80.34538
"44" "s5" "sent59" "g1" "pos7" "J" 633 5 33.04679
"45" "s5" "sent76" "g1" "pos7" "J" 372 5 -227.9532
"46" "s6" "sent3" "g1" "pos7" "J" 738 4 189.5746
"47" "s6" "sent9" "g1" "pos7" "L" 882 4 333.5746
"48" "s6" "sent20" "g1" "pos7" "J" 904 13 169.3513
"49" "s6" "sent23" "g1" "pos7" "L" 873 9 221.1172
"50" "s6" "sent30" "g1" "pos7" "J" 669 4 120.5746
"51" "s6" "sent33" "g1" "pos7" "L" 562 9 -89.88276
"52" "s6" "sent56" "g1" "pos7" "L" 494 4 -54.42538
"53" "s6" "sent59" "g1" "pos7" "J" 389 5 -180.1169
"54" "s6" "sent76" "g1" "pos7" "J" 403 5 -166.1169
"55" "s7" "sent3" "g1" "pos7" "J" 634 4 314.8351
"56" "s7" "sent9" "g1" "pos7" "L" 374 4 54.8351
"57" "s7" "sent20" "g1" "pos7" "J" 165 13 -310.0949
"58" "s7" "sent23" "g1" "pos7" "L" 505 9 99.2073
"59" "s7" "sent30" "g1" "pos7" "J" 190 4 -129.1649
"60" "s7" "sent33" "g1" "pos7" "L" 233 9 -172.7927
"61" "s7" "sent56" "g1" "pos7" "L" 586 4 266.8351
"62" "s7" "sent59" "g1" "pos7" "J" 369 5 32.50954
"63" "s7" "sent76" "g1" "pos7" "J" 209 5 -127.4905
"64" "s8" "sent3" "g1" "pos7" "J" 671 4 -473.8147
"65" "s8" "sent9" "g1" "pos7" "L" 3043 4 1898.185
"66" "s8" "sent20" "g1" "pos7" "J" 1609 13 -410.2983
"67" "s8" "sent23" "g1" "pos7" "L" 1988 9 357.3611
"68" "s8" "sent30" "g1" "pos7" "J" 1276 4 131.1853
"69" "s8" "sent33" "g1" "pos7" "L" 988 9 -642.6389
"70" "s8" "sent56" "g1" "pos7" "L" 2143 4 998.1853
"71" "s8" "sent59" "g1" "pos7" "J" 426 5 -815.9796
"72" "s8" "sent76" "g1" "pos7" "J" 367 5 -874.9796
"73" "s9" "sent3" "g1" "pos7" "J" 760 4 -429.6966
"74" "s9" "sent9" "g1" "pos7" "L" 1996 4 806.3034
"75" "s9" "sent20" "g1" "pos7" "J" 1775 13 -497.5075
"76" "s9" "sent23" "g1" "pos7" "L" 935 9 -856.2582
"77" "s9" "sent30" "g1" "pos7" "J" 2849 4 1659.303
"78" "s9" "sent33" "g1" "pos7" "L" 3036 9 1244.742
"79" "s9" "sent56" "g1" "pos7" "L" 762 4 -427.6966
"80" "s9" "sent59" "g1" "pos7" "J" 508 5 -802.0089
"81" "s9" "sent76" "g1" "pos7" "J" 677 5 -633.0089
"82" "s10" "sent3" "g1" "pos7" "J" 1336 4 365.6602
