ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
1	e5	1	a	noCL	noBEI	2	0	-	307
1	e5	1	a	noCL	noBEI	3	1	-	291
1	e5	1	a	noCL	noBEI	4	2	-	283
1	e5	1	a	noCL	noBEI	5	3	-	259
1	e5	1	a	noCL	noBEI	6	4	-	307
1	e5	1	a	noCL	noBEI	7	5	-	944
1	e5	1	a	noCL	noBEI	8	6	-	681
1	e5	1	a	noCL	noBEI	?	?	1	1195
1	e5	5	a	noCL	noBEI	0	0	-	299
1	e5	5	a	noCL	noBEI	1	1	-	291
1	e5	5	a	noCL	noBEI	2	2	-	275
1	e5	5	a	noCL	noBEI	3	3	-	283
1	e5	5	a	noCL	noBEI	4	4	-	625
1	e5	5	a	noCL	noBEI	5	5	-	665
1	e5	5	a	noCL	noBEI	6	6	-	569
1	e5	5	a	noCL	noBEI	?	?	1	952
1	e5	9	a	noCL	noBEI	0	0	-	299
1	e5	9	a	noCL	noBEI	1	1	-	236
1	e5	9	a	noCL	noBEI	2	2	-	275
1	e5	9	a	noCL	noBEI	3	3	-	283
1	e5	9	a	noCL	noBEI	4	4	-	291
1	e5	9	a	noCL	noBEI	5	5	-	434
1	e5	9	a	noCL	noBEI	6	6	-	3451
1	e5	9	a	noCL	noBEI	?	?	1	1910
1	e5	13	a	noCL	noBEI	0	0	-	291
1	e5	13	a	noCL	noBEI	1	1	-	427
1	e5	13	a	noCL	noBEI	2	2	-	586
1	e5	13	a	noCL	noBEI	3	3	-	403
1	e5	13	a	noCL	noBEI	4	4	-	793
1	e5	13	a	noCL	noBEI	5	5	-	363
1	e5	13	a	noCL	noBEI	6	6	-	554
1	e5	13	a	noCL	noBEI	?	?	1	1982
1	e5	17	a	noCL	noBEI	0	0	-	331
1	e5	17	a	noCL	noBEI	1	1	-	307
1	e5	17	a	noCL	noBEI	2	2	-	315
1	e5	17	a	noCL	noBEI	3	3	-	323
1	e5	17	a	noCL	noBEI	4	4	-	641
1	e5	17	a	noCL	noBEI	5	5	-	880
1	e5	17	a	noCL	noBEI	6	6	-	1079
1	e5	17	a	noCL	noBEI	?	?	1	10656
1	e5	21	a	noCL	noBEI	0	0	-	236
1	e5	21	a	noCL	noBEI	1	1	-	387
1	e5	21	a	noCL	noBEI	2	2	-	315
1	e5	21	a	noCL	noBEI	3	3	-	418
1	e5	21	a	noCL	noBEI	4	4	-	2226
1	e5	21	a	noCL	noBEI	5	5	-	378
1	e5	21	a	noCL	noBEI	6	6	-	2313
1	e5	21	a	noCL	noBEI	?	?	0	7514
2	e5	4	a	noCL	noBEI	0	0	-	411
2	e5	4	a	noCL	noBEI	1	1	-	283
2	e5	4	a	noCL	noBEI	2	2	-	291
2	e5	4	a	noCL	noBEI	3	3	-	323
2	e5	4	a	noCL	noBEI	4	4	-	235
2	e5	4	a	noCL	noBEI	5	5	-	450
2	e5	4	a	noCL	noBEI	6	6	-	442
2	e5	4	a	noCL	noBEI	?	?	1	2341
2	e5	8	a	noCL	noBEI	0	0	-	395
2	e5	8	a	noCL	noBEI	1	1	-	378
2	e5	8	a	noCL	noBEI	2	2	-	410
2	e5	8	a	noCL	noBEI	3	3	-	410
2	e5	8	a	noCL	noBEI	4	4	-	1413
2	e5	8	a	noCL	noBEI	5	5	-	505
2	e5	8	a	noCL	noBEI	6	6	-	3665
2	e5	8	a	noCL	noBEI	?	?	1	12247
2	e5	12	a	noCL	noBEI	0	0	-	371
2	e5	12	a	noCL	noBEI	1	1	-	299
2	e5	12	a	noCL	noBEI	2	2	-	236
2	e5	12	a	noCL	noBEI	3	3	-	219
2	e5	12	a	noCL	noBEI	4	4	-	307
2	e5	12	a	noCL	noBEI	5	5	-	331
2	e5	12	a	noCL	noBEI	6	6	-	419
2	e5	12	a	noCL	noBEI	?	?	1	2650
2	e5	16	a	noCL	noBEI	0	0	-	244
2	e5	16	a	noCL	noBEI	1	1	-	275
2	e5	16	a	noCL	noBEI	2	2	-	259
2	e5	16	a	noCL	noBEI	3	3	-	196
2	e5	16	a	noCL	noBEI	4	4	-	411
2	e5	16	a	noCL	noBEI	5	5	-	307
2	e5	16	a	noCL	noBEI	6	6	-	2186
2	e5	16	a	noCL	noBEI	?	?	1	1680
2	e5	20	a	noCL	noBEI	0	0	-	546
2	e5	20	a	noCL	noBEI	1	1	-	474
2	e5	20	a	noCL	noBEI	2	2	-	474
2	e5	20	a	noCL	noBEI	3	3	-	569
2	e5	20	a	noCL	noBEI	4	4	-	744
2	e5	20	a	noCL	noBEI	5	5	-	3633
2	e5	20	a	noCL	noBEI	6	6	-	2806
2	e5	20	a	noCL	noBEI	?	?	0	2768
2	e5	24	a	noCL	noBEI	0	0	-	395
2	e5	24	a	noCL	noBEI	1	1	-	331
2	e5	24	a	noCL	noBEI	2	2	-	450
2	e5	24	a	noCL	noBEI	3	3	-	378
2	e5	24	a	noCL	noBEI	4	4	-	442
2	e5	24	a	noCL	noBEI	5	5	-	355
2	e5	24	a	noCL	noBEI	6	6	-	904
2	e5	24	a	noCL	noBEI	?	?	1	1321
3	e5	3	a	noCL	noBEI	0	0	-	522
3	e5	3	a	noCL	noBEI	1	1	-	538
3	e5	3	a	noCL	noBEI	2	2	-	419
3	e5	3	a	noCL	noBEI	3	3	-	363
3	e5	3	a	noCL	noBEI	4	4	-	411
3	e5	3	a	noCL	noBEI	5	5	-	522
3	e5	3	a	noCL	noBEI	6	6	-	697
3	e5	3	a	noCL	noBEI	?	?	1	1552
3	e5	7	a	noCL	noBEI	0	0	-	458
3	e5	7	a	noCL	noBEI	1	1	-	546
3	e5	7	a	noCL	noBEI	2	2	-	450
3	e5	7	a	noCL	noBEI	3	3	-	387
3	e5	7	a	noCL	noBEI	4	4	-	490
3	e5	7	a	noCL	noBEI	5	5	-	466
3	e5	7	a	noCL	noBEI	6	6	-	1023
3	e5	7	a	noCL	noBEI	?	?	1	2436
3	e5	11	a	noCL	noBEI	0	0	-	594
3	e5	11	a	noCL	noBEI	1	1	-	602
3	e5	11	a	noCL	noBEI	2	2	-	482
3	e5	11	a	noCL	noBEI	3	3	-	522
3	e5	11	a	noCL	noBEI	4	4	-	602
3	e5	11	a	noCL	noBEI	5	5	-	482
3	e5	11	a	noCL	noBEI	6	6	-	3674
3	e5	11	a	noCL	noBEI	?	?	1	15034
3	e5	15	a	noCL	noBEI	0	0	-	705
3	e5	15	a	noCL	noBEI	1	1	-	586
3	e5	15	a	noCL	noBEI	2	2	-	562
3	e5	15	a	noCL	noBEI	3	3	-	1310
3	e5	15	a	noCL	noBEI	4	4	-	506
3	e5	15	a	noCL	noBEI	5	5	-	649
3	e5	15	a	noCL	noBEI	6	6	-	801
