sub,itemType,item,cond,pos,posW,ansKey,rt,isCorrect,relabelpos,CL ,CUE
29,e5,1,a,0,石块,-,254,1,2,noCL,noCUE
13,e5,1,a,0,石块,-,282,1,2,noCL,noCUE
45,e5,1,a,0,石块,-,295,1,2,noCL,noCUE
5,e5,1,a,0,石块,-,383,1,2,noCL,noCUE
41,e5,1,a,0,石块,-,387,1,2,noCL,noCUE
49,e5,1,a,0,石块,-,389,1,2,noCL,noCUE
21,e5,1,a,0,石块,-,411,1,2,noCL,noCUE
53,e5,1,a,0,石块,-,445,1,2,noCL,noCUE
33,e5,1,a,0,石块,-,511,1,2,noCL,noCUE
17,e5,1,a,0,石块,-,575,1,2,noCL,noCUE
37,e5,1,a,0,石块,-,588,1,2,noCL,noCUE
57,e5,1,a,0,石块,-,609,1,2,noCL,noCUE
25,e5,1,a,0,石块,-,764,1,2,noCL,noCUE
9,e5,1,a,0,石块,-,1107,1,2,noCL,noCUE
16,e5,2,a,0,密电,-,261,1,2,noCL,noCUE
8,e5,2,a,0,密电,-,289,1,2,noCL,noCUE
40,e5,2,a,0,密电,-,311,1,2,noCL,noCUE
56,e5,2,a,0,密电,-,316,1,2,noCL,noCUE
48,e5,2,a,0,密电,-,366,2,2,noCL,noCUE
20,e5,2,a,0,密电,-,368,1,2,noCL,noCUE
4,e5,2,a,0,密电,-,441,1,2,noCL,noCUE
60,e5,2,a,0,密电,-,459,2,2,noCL,noCUE
12,e5,2,a,0,密电,-,550,1,2,noCL,noCUE
32,e5,2,a,0,密电,-,653,1,2,noCL,noCUE
24,e5,2,a,0,密电,-,725,1,2,noCL,noCUE
52,e5,2,a,0,密电,-,787,1,2,noCL,noCUE
44,e5,2,a,0,密电,-,982,1,2,noCL,noCUE
36,e5,2,a,0,密电,-,1613,1,2,noCL,noCUE
28,e5,2,a,0,密电,-,2775,1,2,noCL,noCUE
19,e5,3,a,0,绷带,-,253,1,2,noCL,noCUE
59,e5,3,a,0,绷带,-,253,1,2,noCL,noCUE
47,e5,3,a,0,绷带,-,277,1,2,noCL,noCUE
15,e5,3,a,0,绷带,-,320,1,2,noCL,noCUE
43,e5,3,a,0,绷带,-,336,1,2,noCL,noCUE
27,e5,3,a,0,绷带,-,341,1,2,noCL,noCUE
35,e5,3,a,0,绷带,-,409,1,2,noCL,noCUE
