"subject" "item" "condition" "RT" "correct" "roi" "expt"
"1" "e1_1" 1 "a" 681 "1" "MainO" "e1"
"2" "e1_1" 1 "a" 259 "1" "headnoun" "e1"
"3" "e1_1" 1 "a" 307 "1" "RCNP" "e1"
"4" "e1_1" 1 "a" 944 "1" "MainV" "e1"
"5" "e1_1" 1 "a" 283 "1" "de" "e1"
"6" "e1_1" 1 "a" 307 "1" "Adv" "e1"
"7" "e1_1" 1 "a" 291 "1" "RCV" "e1"
"8" "e1_1" 10 "b" 299 "1" "RCV" "e1"
"9" "e1_1" 10 "b" 951 "1" "RCNP" "e1"
"10" "e1_1" 10 "b" 450 "1" "MainV" "e1"
"11" "e1_1" 10 "b" 434 "1" "de" "e1"
"12" "e1_1" 10 "b" 442 "1" "MainO" "e1"
"13" "e1_1" 10 "b" 1772 "1" "CL" "e1"
"14" "e1_1" 10 "b" 721 "1" "Adv" "e1"
"15" "e1_1" 10 "b" 347 "1" "headnoun" "e1"
"16" "e1_1" 11 "c" 275 "1" "de" "e1"
"17" "e1_1" 11 "c" 275 "1" "RCNP" "e1"
"18" "e1_1" 11 "c" 625 "1" "MainO" "e1"
"19" "e1_1" 11 "c" 402 "1" "MainV" "e1"
"20" "e1_1" 11 "c" 275 "1" "Adv" "e1"
"21" "e1_1" 11 "c" 267 "1" "BEI" "e1"
"22" "e1_1" 11 "c" 315 "1" "headnoun" "e1"
"23" "e1_1" 11 "c" 283 "1" "RCV" "e1"
"24" "e1_1" 12 "d" 537 "1" "Adv" "e1"
"25" "e1_1" 12 "d" 609 "1" "de" "e1"
"26" "e1_1" 12 "d" 283 "1" "BEI" "e1"
"27" "e1_1" 12 "d" 299 "1" "CL" "e1"
"28" "e1_1" 12 "d" 291 "1" "RCNP" "e1"
"29" "e1_1" 12 "d" 1198 "1" "MainV" "e1"
"30" "e1_1" 12 "d" 2002 "1" "MainO" "e1"
"31" "e1_1" 12 "d" 323 "1" "RCV" "e1"
"32" "e1_1" 12 "d" 840 "1" "headnoun" "e1"
"33" "e1_1" 13 "a" 403 "1" "headnoun" "e1"
"34" "e1_1" 13 "a" 427 "1" "RCV" "e1"
"35" "e1_1" 13 "a" 586 "1" "de" "e1"
"36" "e1_1" 13 "a" 793 "1" "Adv" "e1"
"37" "e1_1" 13 "a" 291 "1" "RCNP" "e1"
"38" "e1_1" 13 "a" 363 "1" "MainV" "e1"
"39" "e1_1" 13 "a" 554 "1" "MainO" "e1"
"40" "e1_1" 14 "b" 395 "1" "de" "e1"
"41" "e1_1" 14 "b" 331 "1" "RCNP" "e1"
"42" "e1_1" 14 "b" 315 "1" "CL" "e1"
"43" "e1_1" 14 "b" 402 "1" "RCV" "e1"
"44" "e1_1" 14 "b" 370 "1" "MainO" "e1"
"45" "e1_1" 14 "b" 346 "1" "headnoun" "e1"
"46" "e1_1" 14 "b" 411 "1" "MainV" "e1"
"47" "e1_1" 14 "b" 307 "1" "Adv" "e1"
"48" "e1_1" 15 "c" 291 "1" "RCNP" "e1"
"49" "e1_1" 15 "c" 522 "1" "MainV" "e1"
"50" "e1_1" 15 "c" 283 "1" "RCV" "e1"
"51" "e1_1" 15 "c" 299 "1" "BEI" "e1"
"52" "e1_1" 15 "c" 737 "1" "Adv" "e1"
"53" "e1_1" 15 "c" 418 "1" "MainO" "e1"
"54" "e1_1" 15 "c" 299 "1" "headnoun" "e1"
"55" "e1_1" 15 "c" 307 "1" "de" "e1"
"56" "e1_1" 16 "d" 466 "1" "MainO" "e1"
"57" "e1_1" 16 "d" 291 "1" "RCNP" "e1"
"58" "e1_1" 16 "d" 307 "1" "de" "e1"
"59" "e1_1" 16 "d" 339 "1" "CL" "e1"
"60" "e1_1" 16 "d" 299 "1" "BEI" "e1"
"61" "e1_1" 16 "d" 291 "1" "MainV" "e1"
"62" "e1_1" 16 "d" 299 "1" "Adv" "e1"
"63" "e1_1" 16 "d" 283 "1" "RCV" "e1"
"64" "e1_1" 16 "d" 283 "1" "headnoun" "e1"
"65" "e1_1" 17 "a" 315 "1" "de" "e1"
"66" "e1_1" 17 "a" 880 "1" "MainV" "e1"
"67" "e1_1" 17 "a" 641 "1" "Adv" "e1"
"68" "e1_1" 17 "a" 1079 "1" "MainO" "e1"
"69" "e1_1" 17 "a" 307 "1" "RCV" "e1"
"70" "e1_1" 17 "a" 323 "1" "headnoun" "e1"
"71" "e1_1" 17 "a" 331 "1" "RCNP" "e1"
"72" "e1_1" 18 "b" 355 "1" "MainV" "e1"
"73" "e1_1" 18 "b" 426 "1" "MainO" "e1"
"74" "e1_1" 18 "b" 554 "1" "de" "e1"
"75" "e1_1" 18 "b" 411 "1" "headnoun" "e1"
"76" "e1_1" 18 "b" 785 "1" "Adv" "e1"
"77" "e1_1" 18 "b" 283 "1" "RCNP" "e1"
"78" "e1_1" 18 "b" 307 "1" "CL" "e1"
"79" "e1_1" 18 "b" 315 "1" "RCV" "e1"
"80" "e1_1" 19 "c" 275 "1" "RCNP" "e1"
"81" "e1_1" 19 "c" 673 "1" "Adv" "e1"
"82" "e1_1" 19 "c" 331 "1" "de" "e1"
