"subject" "item" "condition" "rt" "correct" "roi" "expt"
"1" "e2_29" 1 "a" 254 1 "RCNP" "e2"
"2" "e2_13" 1 "a" 282 1 "RCNP" "e2"
"3" "e2_45" 1 "a" 295 1 "RCNP" "e2"
"4" "e2_5" 1 "a" 383 1 "RCNP" "e2"
"5" "e2_41" 1 "a" 387 1 "RCNP" "e2"
"6" "e2_49" 1 "a" 389 1 "RCNP" "e2"
"7" "e2_21" 1 "a" 411 1 "RCNP" "e2"
"8" "e2_53" 1 "a" 445 1 "RCNP" "e2"
"9" "e2_33" 1 "a" 511 1 "RCNP" "e2"
"10" "e2_17" 1 "a" 575 1 "RCNP" "e2"
"11" "e2_37" 1 "a" 588 1 "RCNP" "e2"
"12" "e2_57" 1 "a" 609 1 "RCNP" "e2"
"13" "e2_25" 1 "a" 764 1 "RCNP" "e2"
"14" "e2_9" 1 "a" 1107 1 "RCNP" "e2"
"15" "e2_16" 2 "a" 261 1 "RCNP" "e2"
"16" "e2_8" 2 "a" 289 1 "RCNP" "e2"
"17" "e2_40" 2 "a" 311 1 "RCNP" "e2"
"18" "e2_56" 2 "a" 316 1 "RCNP" "e2"
"19" "e2_48" 2 "a" 366 2 "RCNP" "e2"
"20" "e2_20" 2 "a" 368 1 "RCNP" "e2"
"21" "e2_4" 2 "a" 441 1 "RCNP" "e2"
"22" "e2_60" 2 "a" 459 2 "RCNP" "e2"
"23" "e2_12" 2 "a" 550 1 "RCNP" "e2"
"24" "e2_32" 2 "a" 653 1 "RCNP" "e2"
"25" "e2_24" 2 "a" 725 1 "RCNP" "e2"
"26" "e2_52" 2 "a" 787 1 "RCNP" "e2"
"27" "e2_44" 2 "a" 982 1 "RCNP" "e2"
"28" "e2_36" 2 "a" 1613 1 "RCNP" "e2"
"29" "e2_28" 2 "a" 2775 1 "RCNP" "e2"
"30" "e2_19" 3 "a" 253 1 "RCNP" "e2"
"31" "e2_59" 3 "a" 253 1 "RCNP" "e2"
"32" "e2_47" 3 "a" 277 1 "RCNP" "e2"
"33" "e2_15" 3 "a" 320 1 "RCNP" "e2"
"34" "e2_43" 3 "a" 336 1 "RCNP" "e2"
"35" "e2_27" 3 "a" 341 1 "RCNP" "e2"
"36" "e2_35" 3 "a" 409 1 "RCNP" "e2"
"37" "e2_23" 3 "a" 431 1 "RCNP" "e2"
"38" "e2_55" 3 "a" 432 1 "RCNP" "e2"
"39" "e2_39" 3 "a" 475 1 "RCNP" "e2"
"40" "e2_3" 3 "a" 542 1 "RCNP" "e2"
"41" "e2_7" 3 "a" 573 1 "RCNP" "e2"
"42" "e2_31" 3 "a" 666 1 "RCNP" "e2"
"43" "e2_51" 3 "a" 670 1 "RCNP" "e2"
"44" "e2_2" 4 "a" 271 1 "RCNP" "e2"
"45" "e2_26" 4 "a" 274 1 "RCNP" "e2"
"46" "e2_18" 4 "a" 304 1 "RCNP" "e2"
"47" "e2_30" 4 "a" 305 1 "RCNP" "e2"
"48" "e2_6" 4 "a" 338 1 "RCNP" "e2"
"49" "e2_54" 4 "a" 339 1 "RCNP" "e2"
"50" "e2_22" 4 "a" 413 1 "RCNP" "e2"
"51" "e2_50" 4 "a" 416 1 "RCNP" "e2"
"52" "e2_14" 4 "a" 456 1 "RCNP" "e2"
"53" "e2_34" 4 "a" 515 1 "RCNP" "e2"
"54" "e2_10" 4 "a" 669 1 "RCNP" "e2"
"55" "e2_42" 4 "a" 833 1 "RCNP" "e2"
"56" "e2_46" 4 "a" 882 1 "RCNP" "e2"
"57" "e2_58" 4 "a" 925 1 "RCNP" "e2"
"58" "e2_38" 4 "a" 1796 1 "RCNP" "e2"
"59" "e2_41" 5 "a" 215 1 "RCNP" "e2"
"60" "e2_29" 5 "a" 220 1 "RCNP" "e2"
"61" "e2_49" 5 "a" 307 1 "RCNP" "e2"
"62" "e2_21" 5 "a" 332 1 "RCNP" "e2"
"63" "e2_13" 5 "a" 376 1 "RCNP" "e2"
"64" "e2_5" 5 "a" 384 1 "RCNP" "e2"
"65" "e2_25" 5 "a" 426 1 "RCNP" "e2"
"66" "e2_9" 5 "a" 440 1 "RCNP" "e2"
"67" "e2_45" 5 "a" 462 1 "RCNP" "e2"
"68" "e2_17" 5 "a" 473 1 "RCNP" "e2"
"69" "e2_53" 5 "a" 490 1 "RCNP" "e2"
"70" "e2_37" 5 "a" 556 1 "RCNP" "e2"
"71" "e2_33" 5 "a" 584 1 "RCNP" "e2"
"72" "e2_57" 5 "a" 597 1 "RCNP" "e2"
"73" "e2_40" 6 "a" 216 1 "RCNP" "e2"
"74" "e2_16" 6 "a" 265 1 "RCNP" "e2"
"75" "e2_56" 6 "a" 277 1 "RCNP" "e2"
"76" "e2_48" 6 "a" 349 1 "RCNP" "e2"
"77" "e2_60" 6 "a" 351 1 "RCNP" "e2"
"78" "e2_4" 6 "a" 361 1 "RCNP" "e2"
"79" "e2_12" 6 "a" 376 1 "RCNP" "e2"
"80" "e2_52" 6 "a" 484 1 "RCNP" "e2"
"81" "e2_36" 6 "a" 616 1 "RCNP" "e2"
"82" "e2_20" 6 "a" 629 1 "RCNP" "e2"
"83" "e2_8" 6 "a" 693 1 "RCNP" "e2"
"84" "e2_44" 6 "a" 861 1 "RCNP" "e2"
"85" "e2_32" 6 "a" 881 1 "RCNP" "e2"
"86" "e2_28" 6 "a" 1048 1 "RCNP" "e2"
"87" "e2_24" 6 "a" 1451 1 "RCNP" "e2"
"88" "e2_43" 7 "a" 191 1 "RCNP" "e2"
"89" "e2_19" 7 "a" 235 1 "RCNP" "e2"
"90" "e2_59" 7 "a" 243 1 "RCNP" "e2"
"91" "e2_35" 7 "a" 341 1 "RCNP" "e2"
"92" "e2_23" 7 "a" 370 1 "RCNP" "e2"
