subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
de1, i7, 5, 0, 1, 10, 6.246107, 6.551080, 6.617403, 6.113682, 6.335054, 6.023448, 5.897154, 6.335054
de1, i8, 7, 1, -1, 10, 6.690842, NaN, 6.861711, 6.831954, 6.350886, 6.261492, 5.961005, 6.648985
de1, i1, 10, 1, 1, 10, 6.456770, 5.981414, 7.052721, 6.021023, 6.131226, 6.248043, 5.918894, 5.940171
de1, i13, 16, 2, 1, 10, 6.113682, 6.390241, 7.182352, 6.403574, 6.133398, 6.775366, 5.983936, 6.320768
de1, i6, 21, 3, -1, 10, 6.943122, NaN, 6.467699, 6.165418, 6.516193, 6.077642, 5.828946, 6.042633
de1, i9, 25, 3, 1, 10, 6.504288, 7.969704, 6.079933, 5.897154, 5.918894, 5.877736, 5.755742, 5.942799
de1, i2, 27, 4, -1, 10, 6.981006, NaN, 6.995766, 6.230481, 6.584791, 6.113682, 6.042633, 6.562444
de1, i4, 30, 4, -1, 10, 6.628041, NaN, 6.584791, 7.081709, 5.899897, 5.874931, 5.874931, 6.095825
de1, i15, 34, 4, 1, 10, 6.973543, 6.481577, 7.052721, 6.403574, 6.973543, 5.730100, 5.755742, 6.040255
de1, i3, 40, 5, 1, 10, 6.390241, 6.148468, 6.943122, 5.961005, 6.261492, 6.113682, 5.981414, 6.659294
de1, i10, 43, 6, -1, 10, 7.754482, NaN, 7.687080, 6.747587, 6.689599, 6.003887, 5.783825, 5.852202
de1, i11, 45, 6, 1, 10, 7.553811, 8.011355, 7.038784, 5.921578, 6.527958, 6.059123, 5.805135, 6.376727
de1, i16, 51, 7, -1, 10, 5.940171, NaN, 7.424165, 5.942799, 6.927558, 6.527958, 5.942799, 6.943122
de1, i14, 56, 7, -1, 10, 6.306275, NaN, 6.648985, 6.079933, 6.539586, 5.918894, 5.703782, 6.728629
de1, i12, 60, 7, -1, 10, 6.001415, NaN, 7.553811, 6.148468, 6.629363, 6.148468, 6.165418, 7.622664
de1, i5, 71, 7, 1, 10, 6.551080, 6.784457, 6.747587, 5.897154, 5.981414, 6.306275, 5.648974, 6.198479
de10, i7, 3, 0, -1, 14, 6.182085, NaN, 6.276643, 6.261492, 6.232448, 6.378426, 6.293419, 6.230481
de10, i10, 9, 0, 1, 14, 6.467699, 6.738152, 7.329094, 6.390241, 6.871091, 6.230481, 5.983936, 5.940171
de10, i1, 18, 1, -1, 14, 6.320768, NaN, 7.339538, 7.390799, 6.738152, 6.467699, 6.709304, 6.492240
de10, i6, 24, 1, 1, 14, 7.676010, 7.067320, 6.113682, 6.709304, 6.335054, 6.040255, 5.855072, 6.021023
de10, i14, 26, 2, 1, 14, 6.320768, 6.480045, 6.492240, 6.148468, 5.940171, 6.306275, 5.981414, 6.040255
de10, i2, 28, 3, 1, 14, 7.502186, 7.074117, 6.919684, 7.200425, 6.811244, 6.165418, 5.805135, 5.755742
de10, i12, 34, 4, 1, 14, 6.828712, 6.467699, 7.360104, 7.791936, 6.291569, 5.981414, 5.828946, 5.897154
de10, i8, 36, 5, 1, 14, 7.634337, 6.335054, 7.218177, 7.484930, 6.766192, 6.562444, 6.854355, 6.516193
de10, i4, 42, 6, 1, 14, 7.634337, 7.176255, 6.821107, 6.467699, 6.595781, 6.363028, 5.897154, 5.852202
de10, i9, 46, 7, -1, 14, 7.701652, NaN, 7.562162, 6.639876, 6.573680, 6.077642, 5.730100, 6.148468
de10, i11, 51, 7, -1, 14, 7.475339, NaN, 6.719013, 7.100027, 6.442540, 6.095825, 5.828946, 5.755742
de10, i16, 54, 7, 1, 14, 7.488853, 7.212294, 7.313220, 6.320768, 6.376727, 5.983936, 6.113682, 6.059123
de10, i15, 57, 8, -1, 14, 7.414573, NaN, 6.481577, 6.214608, 6.246107, 5.940171, 6.551080, 5.874931
de10, i13, 62, 8, -1, 14, 7.329094, NaN, 6.878326, 6.584791, 6.919684, 6.200509, 6.363028, 6.669498
de10, i3, 66, 8, -1, 14, 6.679599, NaN, 6.442540, 6.391917, 6.291569, 6.198479, 5.852202, 5.852202
de10, i5, 69, 8, -1, 14, 6.995766, NaN, 7.120444, 6.320768, 5.918894, 6.148468, 5.897154, 5.897154
de11, i11, 2, 0, 1, 13, 6.429719, 6.246107, 6.935370, 5.981414, 6.291569, 6.180017, 6.040255, 7.059618
de11, i9, 4, 1, 1, 13, 6.467699, 7.375256, 6.131226, 6.291569, 6.363028, 6.113682, 5.828946, 5.855072
de11, i10, 11, 2, -1, 13, 6.527958, NaN, 6.455199, 6.001415, 6.167516, 6.077642, 5.940171, 6.131226
de11, i3, 17, 2, 1, 13, 6.167516, 6.040255, 6.527958, 6.148468, 6.480045, 6.077642, 6.198479, 6.539586
de11, i14, 20, 3, -1, 13, 6.349139, NaN, 6.363028, 6.246107, 6.467699, 6.113682, 6.077642, 7.606885
