subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
nl10, i8, 2, 0, 1, 29, 6.630683, 7.074963, 6.251904, 7.485492, 6.073045, 6.042633, 5.971262, 6.538140
nl10, i10, 6, 1, 1, 29, 7.930566, 5.880533, 5.948035, 6.079933, 6.212606, 6.555357, 6.018593, 6.340359
nl10, i1, 19, 2, -1, 29, 6.124683, NaN, 7.669962, 6.030685, 6.084499, 6.047372, 6.003887, 6.104793
nl10, i16, 23, 2, 1, 29, 6.198479, 6.293419, 6.098074, 6.940222, 6.812345, 5.998937, 5.883322, 6.148468
nl10, i3, 26, 3, -1, 29, 6.091310, NaN, 6.047372, 7.081709, 5.888878, 6.159095, 5.877736, 5.817111
nl10, i15, 29, 3, -1, 29, 5.717028, NaN, 5.697093, 5.891644, 5.860786, 5.771441, 5.826000, 5.666427
nl10, i7, 34, 3, -1, 29, 6.391917, NaN, 6.047372, 6.400257, 6.068426, 6.086775, 5.976351, 6.052089
nl10, i6, 39, 3, 1, 29, 7.591862, 6.169611, 6.047372, 6.576470, 6.553933, 5.908083, 5.852202, 5.717028
nl10, i4, 42, 4, 1, 29, 6.006353, 6.104793, 6.198479, 7.268920, 6.983790, 5.981414, 6.240276, 6.023448
nl10, i13, 44, 5, -1, 29, 6.016157, NaN, 6.075346, 5.998937, 5.880533, 6.066108, 5.831882, 6.263398
nl10, i9, 48, 5, -1, 29, 5.877736, NaN, 5.758902, 5.814131, 5.624018, 5.802118, 5.680173, 5.849325
nl10, i2, 54, 5, 1, 29, 5.605802, 6.881411, 5.916202, 5.799093, 5.849325, 5.768321, 5.820083, 5.857933
nl10, i12, 59, 6, 1, 29, 5.783825, 5.789960, 5.697093, 5.976351, 6.756932, 5.697093, 5.726848, 6.008813
nl10, i5, 62, 7, -1, 29, 5.752573, NaN, 6.210600, 6.601230, 6.269096, 5.937536, 5.837730, 6.173786
nl10, i11, 66, 7, -1, 29, 5.774552, NaN, 5.652489, 5.963579, 5.880533, 5.783825, 5.799093, 5.942799
nl10, i14, 69, 7, 1, 29, 6.727432, 5.758902, 5.877736, 6.758095, 5.834811, 5.814131, 6.270988, 6.859615
nl11, i10, 3, 0, -1, 30, 6.109248, NaN, 6.527958, 8.006368, 7.346655, 6.282267, 5.932245, 6.876265
nl11, i14, 7, 0, -1, 30, 6.224558, NaN, 6.171701, 6.206576, 6.336826, 5.991465, 6.255750, 7.368340
nl11, i8, 10, 0, -1, 30, 7.422971, NaN, 6.232448, 6.070738, 6.018593, 6.381816, 5.993961, 5.755742
nl11, i7, 14, 0, 1, 30, 5.710427, 6.990257, 6.135565, 6.175867, 7.202661, 5.755742, 6.391917, 5.817111
nl11, i9, 16, 1, 1, 30, 5.883322, 8.096513, 7.672758, 5.883322, 5.991465, 5.916202, 5.840642, 5.746203
nl11, i3, 23, 2, 1, 30, 5.241747, 6.232448, 5.891644, 6.073045, 6.343880, 6.109248, 5.886104, 6.047372
nl11, i2, 25, 3, -1, 30, 5.036953, NaN, 7.387709, 5.880533, 6.656727, 5.820083, 5.899897, 6.452049
nl11, i16, 32, 3, -1, 30, 6.228511, NaN, 5.926926, 5.849325, 5.869297, 6.970730, 5.713733, 6.242223
nl11, i11, 36, 3, 1, 30, 5.056246, 6.308098, 5.777652, 5.402677, 5.831882, 6.131226, 6.317165, 5.736572
nl11, i12, 41, 4, -1, 30, 5.648974, NaN, 5.525453, 6.206576, 5.389072, 6.152733, 5.303305, 6.756932
nl11, i1, 48, 4, 1, 30, 5.438079, 5.583496, 5.652489, 5.590987, 5.583496, 5.789960, 5.513429, 6.244167
nl11, i4, 53, 5, -1, 30, 5.768321, NaN, 5.652489, 5.645447, 5.902633, 6.388561, 5.583496, 5.683580
nl11, i13, 57, 5, 1, 30, 5.517453, 5.480639, 5.659482, 6.487684, 5.549076, 6.282267, 5.497168, 6.206576
nl11, i6, 63, 6, -1, 30, 5.888878, NaN, 5.743003, 6.040255, 5.662960, 6.282267, 5.560682, 5.866468
nl11, i15, 67, 6, 1, 30, 5.686975, 6.040255, 5.888878, 5.817111, 7.588830, 5.472271, 5.771441, 5.594711
nl11, i5, 69, 7, 1, 30, 5.583496, 5.638355, 5.680173, 5.662960, 5.572154, 5.521461, 5.613128, 5.568345
