"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"2" "NP3" 1 "gug" 14 "b" 8 "spy" "rt" 1468 "gram" "lo"
"4" "NP3" 1 "gug" 6 "b" 8 "conductor" "rt" 2026 "gram" "lo"
"6" "NP3" 1 "gug" 10 "b" 8 "guard" "rt" 1291 "gram" "lo"
"8" "NP3" 1 "gug" 15 "c" 8 "peasant" "rt" 1306 "ungram" "hi"
"10" "NP3" 1 "gug" 13 "a" 8 "worker" "rt" 3418 "gram" "hi"
"12" "NP3" 1 "gug" 5 "a" 8 "father" "rt" 1052 "gram" "hi"
"14" "NP3" 1 "gug" 7 "c" 8 "stranger" "rt" 1394 "ungram" "hi"
"16" "NP3" 1 "gug" 3 "c" 8 "foreman" "rt" 1154 "ungram" "hi"
"18" "NP3" 1 "gug" 9 "a" 8 "bystander" "rt" 843 "gram" "hi"
"20" "NP3" 1 "gug" 12 "d" 8 "teacher" "rt" 996 "ungram" "lo"
"22" "NP3" 1 "gug" 2 "b" 8 "sister" "rt" 1018 "gram" "lo"
"24" "NP3" 1 "gug" 8 "d" 8 "doctor" "rt" 963 "ungram" "lo"
"26" "NP3" 1 "gug" 4 "d" 8 "professor" "rt" 947 "ungram" "lo"
"28" "NP3" 1 "gug" 16 "d" 8 "friend" "rt" 1626 "ungram" "lo"
"30" "NP3" 1 "gug" 11 "c" 8 "visitor" "rt" 899 "ungram" "hi"
"32" "NP3" 1 "gug" 1 "a" 8 "peasant" "rt" 1499 "gram" "hi"
"34" "NP3" 10 "gug" 8 "a" 8 "doctor" "rt" 1276 "gram" "hi"
"36" "NP3" 10 "gug" 3 "d" 8 "foreman" "rt" 660 "ungram" "lo"
"38" "NP3" 10 "gug" 4 "a" 8 "professor" "rt" 1171 "gram" "hi"
"40" "NP3" 10 "gug" 16 "a" 8 "friend" "rt" 652 "gram" "hi"
"42" "NP3" 10 "gug" 12 "a" 8 "teacher" "rt" 683 "gram" "hi"
"44" "NP3" 10 "gug" 13 "b" 8 "worker" "rt" 836 "gram" "lo"
"46" "NP3" 10 "gug" 2 "c" 8 "sister" "rt" 716 "ungram" "hi"
"48" "NP3" 10 "gug" 5 "b" 8 "father" "rt" 844 "gram" "lo"
"50" "NP3" 10 "gug" 11 "d" 8 "visitor" "rt" 603 "ungram" "lo"
"52" "NP3" 10 "gug" 1 "b" 8 "peasant" "rt" 692 "gram" "lo"
"54" "NP3" 10 "gug" 15 "d" 8 "peasant" "rt" 707 "ungram" "lo"
"56" "NP3" 10 "gug" 10 "c" 8 "guard" "rt" 547 "ungram" "hi"
"58" "NP3" 10 "gug" 14 "c" 8 "spy" "rt" 660 "ungram" "hi"
"60" "NP3" 10 "gug" 6 "c" 8 "conductor" "rt" 547 "ungram" "hi"
"62" "NP3" 10 "gug" 9 "b" 8 "bystander" "rt" 555 "gram" "lo"
"64" "NP3" 10 "gug" 7 "d" 8 "stranger" "rt" 484 "ungram" "lo"
"66" "NP3" 11 "gug" 15 "a" 8 "peasant" "rt" 2155 "gram" "hi"
"68" "NP3" 11 "gug" 6 "d" 8 "conductor" "rt" 2212 "ungram" "lo"
"70" "NP3" 11 "gug" 9 "c" 8 "bystander" "rt" 2939 "ungram" "hi"
"72" "NP3" 11 "gug" 2 "d" 8 "sister" "rt" 1340 "ungram" "lo"
"74" "NP3" 11 "gug" 4 "b" 8 "professor" "rt" 2915 "gram" "lo"
"76" "NP3" 11 "gug" 10 "d" 8 "guard" "rt" 1187 "ungram" "lo"
"78" "NP3" 11 "gug" 11 "a" 8 "visitor" "rt" 1963 "gram" "hi"
"80" "NP3" 11 "gug" 16 "b" 8 "friend" "rt" 1084 "gram" "lo"
"82" "NP3" 11 "gug" 12 "b" 8 "teacher" "rt" 2867 "gram" "lo"
"84" "NP3" 11 "gug" 5 "c" 8 "father" "rt" 1252 "ungram" "hi"
"86" "NP3" 11 "gug" 14 "d" 8 "spy" "rt" 867 "ungram" "lo"
"88" "NP3" 11 "gug" 3 "a" 8 "foreman" "rt" 1867 "gram" "hi"
"90" "NP3" 11 "gug" 1 "c" 8 "peasant" "rt" 1466 "ungram" "hi"
"92" "NP3" 11 "gug" 8 "b" 8 "doctor" "rt" 4098 "gram" "lo"
"94" "NP3" 11 "gug" 7 "a" 8 "stranger" "rt" 3627 "gram" "hi"
