verb subject item condition rt sentencetype
V1 36  4 b  913.0 ungram
V1 36  1 b  994.0 ungram
V1 36 12 b  938.0 ungram
V1 36 15 a  498.0 gram
V1 36  5 b  378.0 ungram
V1 36 16 b  666.0 ungram
V1 36  2 a  450.0 gram
V1 36  6 a  681.0 gram
V1 36  8 b  410.0 ungram
V1 36 14 a  882.0 gram
V1 36  3 a  850.0 gram
V1 36 10 a 1018.0 gram
V1 36 13 b  537.0 ungram
V1 36  7 a  394.0 gram
V1 36 11 a 1209.0 gram
V1 36  9 b  666.0 ungram
V1 10 11 b 1042.0 ungram
V1 10  9 a 1322.0 gram
V1 10  4 a  754.0 gram
V1 10  5 a  714.0 gram
V1 10  1 a  618.0 gram
V1 10 15 b  538.0 ungram
V1 10 14 b  570.0 ungram
V1 10  6 b  657.0 ungram
V1 10  8 a  569.0 gram
V1 10 10 b  570.0 ungram
V1 10 12 a  538.0 gram
V1 10 16 a  986.0 gram
V1 10  7 b  594.0 ungram
V1 10 13 a  562.0 gram
V1 10  3 b  610.0 ungram
V1 10  2 b  466.0 ungram
V1 11 10 b 1162.0 ungram
V1 11  8 a 1210.0 gram
V1 11 15 a 2113.0 gram
V1 11 14 b 1330.0 ungram
V1 11  6 b 2426.0 ungram
V1 11  4 a  962.0 gram
V1 11  1 b 1186.0 ungram
V1 11 16 a 2978.0 gram
V1 11 11 a 1032.0 gram
V1 11 13 b 1042.0 ungram
V1 11 12 a 1034.0 gram
V1 11  9 b 1177.0 ungram
V1 11  2 b  802.0 ungram
V1 11  5 b 1346.0 ungram
V1 11  7 a 1234.0 gram
V1 11  3 a 1481.0 gram
V1 12 15 a 1521.0 gram
V1 12 11 a 2793.0 gram
V1 12  4 b 1466.0 ungram
V1 12  8 b  985.0 ungram
V1 12  6 a  825.0 gram
V1 12  7 a  754.0 gram
V1 12 14 a  770.0 gram
V1 12  5 b 1330.0 ungram
V1 12 12 b  914.0 ungram
V1 12 16 b 1026.0 ungram
V1 12  9 b  946.0 ungram
V1 12  1 b  490.0 ungram
V1 12 10 a 1033.0 gram
V1 12  3 a 1049.0 gram
V1 12  2 a  874.0 gram
V1 12 13 b  722.0 ungram
V1 13 11 b  554.0 ungram
V1 13  2 a  538.0 gram
V1 13  4 b  594.0 ungram
V1 13 16 b  634.0 ungram
V1 13 10 a  762.0 gram
V1 13  7 b  850.0 ungram
V1 13  5 a  850.0 gram
V1 13 12 b  674.0 ungram
V1 13 13 a  610.0 gram
V1 13  8 b  874.0 ungram
V1 13 15 b  729.0 ungram
V1 13 14 a  490.0 gram
V1 13  6 a  754.0 gram
V1 13  9 a  618.0 gram
V1 13  1 a  578.0 gram
V1 13  3 b  666.0 ungram
V1 14  4 a 1258.0 gram
V1 14  3 b 1370.0 ungram
V1 14 13 a 1186.0 gram
V1 14 11 b 1225.0 ungram
V1 14 12 a 1410.0 gram
V1 14 16 a 2050.0 gram
V1 14 14 b 1138.0 ungram
V1 14  6 b 2913.0 ungram
V1 14  7 b  913.0 ungram
V1 14 15 b 2889.0 ungram
V1 14  2 b  802.0 ungram
V1 14  5 a 1258.0 gram
V1 14  1 a 1066.0 gram
V1 14  8 a  866.0 gram
V1 14  9 a 1338.0 gram
V1 14 10 b 1066.0 ungram
V1 15  1 b  514.0 ungram
V1 15  2 b  682.0 ungram
V1 15 14 b  722.0 ungram
V1 15 10 b  866.0 ungram
V1 15 16 a  794.0 gram
V1 15 15 a  810.0 gram
V1 15 11 a  633.0 gram
V1 15  8 a  697.0 gram
V1 15 13 b  706.0 ungram
V1 15  6 b  682.0 ungram
V1 15 12 a  586.0 gram
V1 15  7 a  538.0 gram
V1 15  3 a  513.0 gram
V1 15  5 b  514.0 ungram
V1 15  4 a  474.0 gram
V1 15  9 b  458.0 ungram
V1 16 14 a  889.0 gram
V1 16  1 b  882.0 ungram
V1 16 11 a 1465.0 gram
V1 16  6 a 2248.0 gram
V1 16 10 a 1450.0 gram
V1 16  5 b  818.0 ungram
V1 16  9 b 1002.0 ungram
V1 16  3 a 1090.0 gram
V1 16 15 a 1010.0 gram
V1 16  8 b 1322.0 ungram
V1 16 12 b 1018.0 ungram
V1 16 13 b  881.0 ungram
V1 16  7 a  954.0 gram
V1 16  2 a 1202.0 gram
V1 16  4 b 1321.0 ungram
V1 16 16 b  898.0 ungram
V1 17  9 a  770.0 gram
V1 17  5 a 6610.0 gram
V1 17 13 a 1241.0 gram
V1 17  3 b  818.0 ungram
V1 17  7 b  714.0 ungram
V1 17  1 a  466.0 gram
V1 17 16 b  490.0 ungram
V1 17  6 a  498.0 gram
V1 17  2 a  490.0 gram
V1 17  8 b  506.0 ungram
V1 17  4 b  466.0 ungram
V1 17 10 a  490.0 gram
V1 17 14 a  498.0 gram
V1 17 11 b  466.0 ungram
V1 17 12 b  802.0 ungram
V1 17 15 b  474.0 ungram
V1 18  7 b  866.0 ungram
V1 18 15 b  882.0 ungram
V1 18 16 a  777.0 gram
V1 18  3 b 1057.0 ungram
V1 18  1 a 1570.0 gram
V1 18 12 a  706.0 gram
V1 18  6 b 1129.0 ungram
V1 18  5 a  714.0 gram
V1 18  4 a  881.0 gram
V1 18  8 a  922.0 gram
V1 18  9 a  610.0 gram
V1 18 13 a  738.0 gram
V1 18 14 b  578.0 ungram
V1 18 10 b  546.0 ungram
V1 18 11 b  898.0 ungram
V1 18  2 b  522.0 ungram
V1 19 13 b  786.0 ungram
V1 19  3 a 1354.0 gram
V1 19  7 a 1842.0 gram
V1 19  2 b  690.0 ungram
V1 19  4 a  593.0 gram
V1 19  5 b  794.0 ungram
V1 19  9 b  514.0 ungram
V1 19  6 b  665.0 ungram
V1 19  8 a  690.0 gram
V1 19 15 a  626.0 gram
V1 19 14 b  594.0 ungram
V1 19 12 a  426.0 gram
V1 19  1 b  394.0 ungram
V1 19 10 b  402.0 ungram
V1 19 16 a  810.0 gram
V1 19 11 a  681.0 gram
V1  2  9 a 1130.0 gram
V1  2  8 a 1384.0 gram
V1  2 13 a 1058.0 gram
V1  2  7 b 1514.0 ungram
V1  2 14 b 2009.0 ungram
V1  2  5 a  546.0 gram
V1  2  2 b 3208.0 ungram
V1  2  3 b  530.0 ungram
V1  2 10 b  842.0 ungram
V1  2  4 a  410.0 gram
V1  2 12 a 1242.0 gram
