subject item word rt wordlength
36  4 The   298  3
36  4 trader   281  6
36  4 who   273  3
36  4 the   234  3
36  4 businessman   265 11
36  4 that   272  4
36  4 the  1001  3
36  4 professor   441  9
36  4 had   488  3
36  4 hired   425  5
36  4 over   377  4
36  4 the   433  3
36  4 internet   401  8
36  4 annoyed   377  7
36  4 the   393  3
36  4 investor.   361  9
36  1 The   362  3
36  1 carpenter   345  9
36  1 who   313  3
36  1 the   329  3
36  1 pillar   312  6
36  1 that   337  4
36  1 the   489  3
36  1 peasant   553  7
36  1 had   513  3
36  1 carried   481  7
36  1 to   513  2
36  1 the   481  3
36  1 bus-stop   449  8
36  1 supervised   504 10
36  1 the   505  3
36  1 apprentice.   633 11
36 12 The   482  3
36 12 son    73  3
36 12 who   658  3
36 12 the   377  3
36 12 father   417  6
36 12 that   697  4
36 12 the   385  3
36 12 teacher   337  7
36 12 had   513  3
36 12 seen   425  4
36 12 at   441  2
36 12 the   305  3
36 12 station   209  7
36 12 visited   209  7
36 12 the   241  3
36 12 grandfather.   361 12
36 15 The   218  3
36 15 cousin   218  6
36 15 who   193  3
36 15 the   233  3
36 15 diamond   209  7
36 15 that   257  4
36 15 the   257  3
36 15 peasant   289  7
36 15 had   193  3
36 15 described   305  9
36 15 in   257  2
36 15 great   265  5
36 15 detail   241  6
36 15 had   281  3
36 15 pleased   280  7
36 15 that_morning   336 12
36 15 hated   360  5
36 15 the   313  3
36 15 uncle.   273  6
36  5 The   194  3
36  5 painter   193  7
36  5 who   177  3
36  5 the   185  3
36  5 hut   185  3
36  5 that   977  4
36  5 the   169  3
36  5 father   185  6
36  5 had   201  3
36  5 missed   177  6
36  5 by   217  2
36  5 sheer   241  5
36  5 accident   417  8
36  5 cooked_for   208 10
36  5 the   217  3
36  5 artist.   369  7
36 16 The   266  3
36 16 painter   249  7
36 16 who   217  3
36 16 the   225  3
36 16 musician   257  8
36 16 that   209  4
36 16 the   281  3
36 16 friend   257  6
36 16 had   369  3
36 16 liked   297  5
36 16 at   265  2
36 16 the   233  3
36 16 festival   265  8
36 16 admired   329  7
36 16 the   297  3
36 16 poet.   193  5
36  2 The   186  3
36  2 mother   225  6
36  2 who   217  3
36  2 the   225  3
36  2 daughter   193  8
36  2 that   257  4
36  2 the   553  3
36  2 sister   209  6
36  2 had   161  3
36  2 found   289  5
36  2 in   273  2
36  2 the   457  3
36  2 room   233  4
36  2 had   209  3
36  2 frightened   273 10
36  2 today   272  5
36  2 greeted   329  7
36  2 the   209  3
36  2 grandmother.   217 12
36  6 The   162  3
36  6 saxophonist   257 11
36  6 who   249  3
36  6 the   241  3
36  6 trumpeter   201  9
36  6 that   208  4
36  6 the   217  3
36  6 conductor   209  9
36  6 had   209  3
36  6 brought_along   472 13
36  6 to   473  2
36  6 the   201  3
36  6 rehearsal   297  9
36  6 had   313  3
36  6 distracted   337 10
36  6 last_evening   296 12
36  6 thanked   552  7
36  6 the   809  3
36  6 violinist.   217 10
36  8 The   306  3
36  8 cleaner   321  7
36  8 who   265  3
36  8 the   256  3
36  8 janitor   193  7
36  8 that   225  4
36  8 the   217  3
36  8 doctor   201  6
36  8 had   209  3
36  8 recognized   201 10
36  8 on   208  2
36  8 the   185  3
36  8 street   225  6
36  8 surprised   185  9
36  8 the   193  3
36  8 patient.   177  8
36 14 The   594  3
36 14 defence   601  7
36 14 who   545  3
36 14 the   777  3
36 14 prosecutor  1520 10
36 14 that   936  4
36 14 the   817  3
36 14 spy   521  3
36 14 had   489  3
36 14 looked_at   393  9
36 14 in  1017  2
36 14 the  1065  3
36 14 courtroom   345  9
36 14 had   433  3
36 14 surprised   249  9
36 14 yesterday   224  9
36 14 convinced   225  9
36 14 the   225  3
36 14 judge.   233  6
36  3 The   330  3
36  3 worker   265  6
36  3 who   441  3
36  3 the   201  3
36  3 bucket   337  6
36  3 that   401  4
36  3 the  1337  3
36  3 foreman   329  7
36  3 had   337  3
36  3 looked_for   513 10
36  3 in   409  2
36  3 the   393  3
36  3 basement   265  8
36  3 had   785  3
36  3 injured   193  7
36  3 this_morning   201 12
36  3 questioned   440 10
36  3 the   168  3
36  3 shepherd.   449  9
36 10 The   530  3
36 10 artist   553  6
36 10 who   369  3
36 10 the   233  3
36 10 sportsman   281  9
36 10 that  2217  4
36 10 the   225  3
36 10 guard   241  5
36 10 had   457  3
36 10 shouted_at   561 10
36 10 in   601  2
36 10 the   577  3
36 10 corridor   185  8
36 10 had   177  3
36 10 annoyed   593  7
36 10 all_day   169  7
36 10 instructed   304 10
36 10 the   161  3
36 10 newscaster.   329 11
36 13 The   362  3
36 13 conductor   281  9
36 13 who   265  3
36 13 the   249  3
36 13 sponge   257  6
36 13 that   225  4
36 13 the   241  3
36 13 worker   257  6
36 13 had   241  3
36 13 ignored   296  7
36 13 during   441  6
36 13 the   273  3
36 13 cleanup   217  7
36 13 berated   233  7
36 13 the   297  3
36 13 musician.   633  9
36  7 The   306  3
36  7 pharmacist   537 10
36  7 who   200  3
36  7 the   193  3
36  7 button   217  6
36  7 that   193  4
36  7 the   201  3
36  7 stranger   185  8
36  7 had   209  3
36  7 seen   185  4
36  7 in   201  2
36  7 the   233  3
36  7 shop   193  4
36  7 had   201  3
36  7 troubled   209  8
36  7 this_afternoon   184 14
36  7 questioned   216 10
36  7 the   497  3
36  7 customer.   201  9
36 11 The   370  3
36 11 clerk   337  5
36 11 who   441  3
36 11 the   273  3
36 11 walking_stick   848 13
36 11 that   233  4
36 11 the   241  3
36 11 visitor   633  7
36 11 had   449  3
36 11 forgotten_about   760 15
36 11 at   408  2
36 11 the   657  3
36 11 party   193  5
36 11 had   657  3
36 11 helped   481  6
36 11 that_afternoon   184 14
36 11 annoyed   416  7
36 11 the   161  3
36 11 neighbor.   409  9
36  9 The   338  3
36  9 dancer   321  6
36  9 who   313  3
36  9 the   617  3
36  9 shoe   369  4
36  9 that   281  4
36  9 the   593  3
36  9 bystander   585  9
36  9 had   297  3
36  9 admired   369  7
36  9 at   353  2
36  9 the   321  3
36  9 concert   233  7
36  9 tipped   297  6
36  9 the   257  3
36  9 doorman.   273  8
10 11 The   362  3
10 11 clerk   281  5
10 11 who   345  3
10 11 the   321  3
10 11 walking_stick   384 13
10 11 that   433  4
10 11 the  1105  3
10 11 visitor   657  7
10 11 had   409  3
10 11 forgotten_about   633 15
10 11 at   553  2
10 11 the   601  3
10 11 party   505  5
10 11 annoyed   481  7
10 11 the   449  3
10 11 neighbor.  1145  9
10  9 The   458  3
10  9 dancer   401  6
10  9 who   593  3
10  9 the   761  3
10  9 shoe  1449  4
10  9 that   888  4
10  9 the   689  3
10  9 bystander   641  9
10  9 had   729  3
10  9 admired   593  7
10  9 at   625  2
10  9 the   489  3
10  9 concert   497  7
10  9 had   529  3
10  9 hurt   513  4
10  9 yesterday   473  9
10  9 tipped   553  6
10  9 the   489  3
10  9 doorman.  1433  8
10  4 The   370  3
10  4 trader   361  6
10  4 who   385  3
10  4 the   393  3
10  4 businessman   392 11
10  4 that   344  4
10  4 the   425  3
10  4 professor   497  9
10  4 had   385  3
10  4 hired   369  5
10  4 over   465  4
10  4 the   513  3
10  4 internet  1353  8
10  4 had   456  3
10  4 confused   368  8
10  4 today   457  5
10  4 annoyed   489  7
10  4 the   353  3
10  4 investor.   561  9
10  5 The   362  3
10  5 painter   305  7
10  5 who   369  3
10  5 the   313  3
10  5 hut   337  3
10  5 that   321  4
10  5 the   257  3
10  5 father   361  6
10  5 had   377  3
10  5 missed   337  6
10  5 by   320  2
10  5 sheer   345  5
10  5 accident   321  8
10  5 had   424  3
10  5 sheltered   617  9
10  5 that_summer   408 11
10  5 cooked_for   352 10
10  5 the   553  3
10  5 artist.  1633  7
10  1 The   258  3
10  1 carpenter   225  9
10  1 who   241  3
10  1 the   273  3
10  1 pillar   273  6
10  1 that   225  4
10  1 the   280  3
10  1 peasant   337  7
10  1 had   345  3
10  1 carried   273  7
10  1 to   257  2
10  1 the   265  3
10  1 bus-stop   289  8
10  1 had   305  3
10  1 hurt   345  4
10  1 yesterday   249  9
10  1 supervised   248 10
10  1 the   249  3
10  1 apprentice.   737 11
10 15 The   226  3
10 15 cousin   233  6
10 15 who   241  3
10 15 the   457  3
10 15 diamond   241  7
10 15 that   505  4
10 15 the   329  3
10 15 peasant   249  7
10 15 had   257  3
10 15 described   281  9
10 15 in   257  2
10 15 great   289  5
10 15 detail   297  6
10 15 hated   297  5
10 15 the   345  3
10 15 uncle.   617  6
10 14 The   258  3
10 14 defence   241  7
10 14 who   281  3
10 14 the  1329  3
10 14 prosecutor   472 10
10 14 that   321  4
10 14 the   321  3
10 14 spy   329  3
10 14 had   273  3
10 14 looked_at   297  9
10 14 in   217  2
10 14 the   281  3
10 14 courtroom   313  9
10 14 convinced   289  9
10 14 the   353  3
10 14 judge.   553  6
10  6 The   330  3
10  6 saxophonist   217 11
10  6 who   257  3
10  6 the   289  3
10  6 trumpeter   257  9
10  6 that   281  4
10  6 the   249  3
10  6 conductor   305  9
10  6 had   321  3
10  6 brought_along   336 13
10  6 to   297  2
10  6 the   297  3
10  6 rehearsal   304  9
10  6 thanked   481  7
10  6 the   433  3
10  6 violinist.   289 10
10  8 The   314  3
10  8 cleaner   297  7
10  8 who   273  3
10  8 the   297  3
10  8 janitor   265  7
10  8 that   305  4
10  8 the   281  3
10  8 doctor   233  6
10  8 had   265  3
10  8 recognized   304 10
10  8 on   233  2
10  8 the   297  3
10  8 street   265  6
10  8 had   217  3
10  8 hurt   313  4
10  8 last_week   249  9
10  8 surprised   281  9
10  8 the   321  3
10  8 patient.   617  8
10 10 The   290  3
10 10 artist   281  6
10 10 who   265  3
10 10 the   297  3
10 10 sportsman   257  9
