"subject" "trial" "experiment" "item" "condition" "accuracy" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "FPRC" "TRC" "LPRT"
1 3 "gug" 16 "d" 1 1 144 1 0 260 260 888 260 260 628 0 628 0 0 376
1 3 "gug" 16 "d" 1 2 152 1 0 304 304 1672 304 564 1368 0 1368 0 0 456
1 3 "gug" 16 "d" 1 3 48 1 0 76 256 1620 408 972 1544 180 1364 1 4 304
1 3 "gug" 16 "d" 1 4 152 1 0 364 724 1064 1408 2380 700 360 340 1 3 140
1 3 "gug" 16 "d" 1 5 332 1 0 332 332 1420 332 2712 1088 0 1088 0 2 156
1 3 "gug" 16 "d" 1 9 392 1 0 392 392 712 392 3104 320 0 320 0 0 320
1 3 "gug" 16 "d" 1 10 188 1 0 188 188 512 188 3292 324 0 324 0 0 324
1 3 "gug" 16 "d" 1 11 188 1 188 188 188 188 3628 6920 0 0 0 1 1 188
1 3 "gug" 16 "d" 1 12 164 1 0 308 308 308 1464 8384 0 0 0 1 1 308
1 3 "gug" 16 "d" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 3 "gug" 16 "d" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 3 "gug" 16 "d" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 9 "gug" 13 "a" 0 1 252 1 0 252 252 1052 252 252 800 0 800 0 0 604
1 9 "gug" 13 "a" 0 2 0 0 0 296 296 1252 296 548 956 0 956 0 1 128
1 9 "gug" 13 "a" 0 3 276 1 0 536 536 4640 536 1084 4104 0 4104 0 5 1100
1 9 "gug" 13 "a" 0 4 136 1 0 532 832 1840 1476 2560 1308 300 1008 1 3 148
1 9 "gug" 13 "a" 0 5 260 1 0 428 428 3132 428 2988 2704 0 2704 0 5 288
1 9 "gug" 13 "a" 0 9 456 1 0 456 456 2800 456 3444 2344 0 2344 0 4 204
1 9 "gug" 13 "a" 0 10 244 1 0 392 1244 2428 6896 10340 2036 852 1184 3 6 164
1 9 "gug" 13 "a" 0 11 460 1 0 460 460 1944 460 10800 1484 0 1484 0 1 228
1 9 "gug" 13 "a" 0 12 0 0 324 324 324 324 552 11352 0 0 0 1 1 324
1 9 "gug" 13 "a" 0 13 184 1 0 184 604 604 9512 20864 420 420 0 3 3 228
1 9 "gug" 13 "a" 0 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 9 "gug" 13 "a" 0 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 12 "gug" 7 "c" 1 1 168 1 0 296 296 1304 296 296 1008 0 1008 0 0 232
1 12 "gug" 7 "c" 1 2 0 0 0 236 236 1464 236 532 1228 0 1228 0 3 80
1 12 "gug" 7 "c" 1 3 148 1 0 148 924 5056 1160 1692 4908 776 4132 1 6 380
1 12 "gug" 7 "c" 1 4 0 0 0 272 272 2036 908 2600 1764 0 1764 1 5 192
1 12 "gug" 7 "c" 1 5 132 1 0 132 416 3628 1324 3924 3496 284 3212 1 4 160
1 12 "gug" 7 "c" 1 9 160 1 0 252 252 2384 252 4176 2132 0 2132 0 1 188
1 12 "gug" 7 "c" 1 10 292 1 0 436 436 2708 436 4612 2272 0 2272 0 8 192
1 12 "gug" 7 "c" 1 11 292 1 0 292 292 1524 292 4904 1232 0 1232 0 2 160
1 12 "gug" 7 "c" 1 12 48 1 0 48 604 604 16948 21852 556 556 0 3 3 328
1 12 "gug" 7 "c" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 12 "gug" 7 "c" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 12 "gug" 7 "c" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 16 "gug" 5 "a" 1 1 0 0 0 164 164 1852 164 164 1688 0 1688 0 0 416
1 16 "gug" 5 "a" 1 2 0 0 0 356 356 1192 356 520 836 0 836 0 2 132
1 16 "gug" 5 "a" 1 3 128 1 0 128 424 4748 944 1464 4620 296 4324 1 6 496
1 16 "gug" 5 "a" 1 4 156 1 0 336 336 1460 336 1800 1124 0 1124 0 2 180
1 16 "gug" 5 "a" 1 5 160 1 0 300 300 2300 300 2100 2000 0 2000 0 4 504
1 16 "gug" 5 "a" 1 9 132 1 0 132 344 2724 716 2816 2592 212 2380 1 5 216
1 16 "gug" 5 "a" 1 10 656 1 0 656 656 2460 656 3472 1804 0 1804 0 7 280
1 16 "gug" 5 "a" 1 11 268 1 0 268 268 1264 268 3740 996 0 996 0 1 220
1 16 "gug" 5 "a" 1 12 180 1 0 180 312 312 14152 17892 132 132 0 1 1 132
1 16 "gug" 5 "a" 1 13 164 1 164 164 164 164 164 18056 0 0 0 0 0 164
1 16 "gug" 5 "a" 1 14 104 1 104 104 104 104 1044 19100 0 0 0 1 1 104
1 16 "gug" 5 "a" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 21 "gug" 10 "b" 1 1 228 1 0 228 228 1896 228 228 1668 0 1668 0 0 304
1 21 "gug" 10 "b" 1 2 0 0 0 504 504 1904 504 732 1400 0 1400 0 3 264
1 21 "gug" 10 "b" 1 3 52 1 0 464 464 4932 464 1196 4468 0 4468 0 8 352
1 21 "gug" 10 "b" 1 4 188 1 0 300 300 2220 300 1496 1920 0 1920 0 4 228
1 21 "gug" 10 "b" 1 5 280 1 0 280 280 3456 280 1776 3176 0 3176 0 4 180
1 21 "gug" 10 "b" 1 9 548 1 0 548 548 3276 548 2324 2728 0 2728 0 4 296
1 21 "gug" 10 "b" 1 10 152 1 0 152 152 1508 152 2476 1356 0 1356 0 3 356
1 21 "gug" 10 "b" 1 11 76 1 0 76 356 4756 2568 5044 4680 280 4400 1 8 964
1 21 "gug" 10 "b" 1 12 196 1 0 388 1372 2556 10408 15452 2168 984 1184 3 5 328
1 21 "gug" 10 "b" 1 13 168 1 168 168 168 168 11724 27176 0 0 0 1 1 168
