"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"2" "NP3" 36 "e1a" 4 "c" 8 "professor" "rt" 1442 "ungram" "hi" -1 1 1 "english" "spr"
"4" "NP3" 36 "e1a" 1 "d" 8 "peasant" "rt" 1042 "ungram" "lo" -1 -1 -1 "english" "spr"
"6" "NP3" 36 "e1a" 12 "c" 8 "teacher" "rt" 722 "ungram" "hi" -1 1 1 "english" "spr"
"8" "NP3" 36 "e1a" 15 "b" 8 "peasant" "rt" 546 "gram" "lo" 1 -1 1 "english" "spr"
"10" "NP3" 36 "e1a" 5 "d" 8 "father" "rt" 354 "ungram" "lo" -1 -1 -1 "english" "spr"
"12" "NP3" 36 "e1a" 16 "c" 8 "friend" "rt" 538 "ungram" "hi" -1 1 1 "english" "spr"
"14" "NP3" 36 "e1a" 2 "a" 8 "sister" "rt" 762 "gram" "hi" 1 1 -1 "english" "spr"
"16" "NP3" 36 "e1a" 6 "a" 8 "conductor" "rt" 426 "gram" "hi" 1 1 -1 "english" "spr"
"18" "NP3" 36 "e1a" 8 "c" 8 "doctor" "rt" 418 "ungram" "hi" -1 1 1 "english" "spr"
"20" "NP3" 36 "e1a" 14 "a" 8 "spy" "rt" 1338 "gram" "hi" 1 1 -1 "english" "spr"
"22" "NP3" 36 "e1a" 3 "b" 8 "foreman" "rt" 1666 "gram" "lo" 1 -1 1 "english" "spr"
"24" "NP3" 36 "e1a" 10 "a" 8 "guard" "rt" 466 "gram" "hi" 1 1 -1 "english" "spr"
"26" "NP3" 36 "e1a" 13 "d" 8 "worker" "rt" 498 "ungram" "lo" -1 -1 -1 "english" "spr"
"28" "NP3" 36 "e1a" 7 "b" 8 "stranger" "rt" 386 "gram" "lo" 1 -1 1 "english" "spr"
"30" "NP3" 36 "e1a" 11 "b" 8 "visitor" "rt" 874 "gram" "lo" 1 -1 1 "english" "spr"
"32" "NP3" 36 "e1a" 9 "d" 8 "bystander" "rt" 1178 "ungram" "lo" -1 -1 -1 "english" "spr"
"34" "NP3" 10 "e1a" 11 "d" 8 "visitor" "rt" 1762 "ungram" "lo" -1 -1 -1 "english" "spr"
"36" "NP3" 10 "e1a" 9 "b" 8 "bystander" "rt" 1330 "gram" "lo" 1 -1 1 "english" "spr"
"38" "NP3" 10 "e1a" 4 "a" 8 "professor" "rt" 922 "gram" "hi" 1 1 -1 "english" "spr"
"40" "NP3" 10 "e1a" 5 "b" 8 "father" "rt" 618 "gram" "lo" 1 -1 1 "english" "spr"
"42" "NP3" 10 "e1a" 1 "b" 8 "peasant" "rt" 617 "gram" "lo" 1 -1 1 "english" "spr"
"44" "NP3" 10 "e1a" 15 "d" 8 "peasant" "rt" 578 "ungram" "lo" -1 -1 -1 "english" "spr"
"46" "NP3" 10 "e1a" 14 "c" 8 "spy" "rt" 650 "ungram" "hi" -1 1 1 "english" "spr"
"48" "NP3" 10 "e1a" 6 "c" 8 "conductor" "rt" 554 "ungram" "hi" -1 1 1 "english" "spr"
"50" "NP3" 10 "e1a" 8 "a" 8 "doctor" "rt" 514 "gram" "hi" 1 1 -1 "english" "spr"
"52" "NP3" 10 "e1a" 10 "c" 8 "guard" "rt" 530 "ungram" "hi" -1 1 1 "english" "spr"
"54" "NP3" 10 "e1a" 12 "a" 8 "teacher" "rt" 522 "gram" "hi" 1 1 -1 "english" "spr"
"56" "NP3" 10 "e1a" 16 "a" 8 "friend" "rt" 970 "gram" "hi" 1 1 -1 "english" "spr"
"58" "NP3" 10 "e1a" 7 "d" 8 "stranger" "rt" 586 "ungram" "lo" -1 -1 -1 "english" "spr"
"60" "NP3" 10 "e1a" 13 "b" 8 "worker" "rt" 570 "gram" "lo" 1 -1 1 "english" "spr"
"62" "NP3" 10 "e1a" 3 "d" 8 "foreman" "rt" 626 "ungram" "lo" -1 -1 -1 "english" "spr"
"64" "NP3" 10 "e1a" 2 "c" 8 "sister" "rt" 426 "ungram" "hi" -1 1 1 "english" "spr"
"66" "NP3" 11 "e1a" 10 "d" 8 "guard" "rt" 946 "ungram" "lo" -1 -1 -1 "english" "spr"
"68" "NP3" 11 "e1a" 8 "b" 8 "doctor" "rt" 1954 "gram" "lo" 1 -1 1 "english" "spr"
"70" "NP3" 11 "e1a" 15 "a" 8 "peasant" "rt" 1714 "gram" "hi" 1 1 -1 "english" "spr"
"72" "NP3" 11 "e1a" 14 "d" 8 "spy" "rt" 1122 "ungram" "lo" -1 -1 -1 "english" "spr"
"74" "NP3" 11 "e1a" 6 "d" 8 "conductor" "rt" 1674 "ungram" "lo" -1 -1 -1 "english" "spr"
"76" "NP3" 11 "e1a" 4 "b" 8 "professor" "rt" 3121 "gram" "lo" 1 -1 1 "english" "spr"
"78" "NP3" 11 "e1a" 1 "c" 8 "peasant" "rt" 1122 "ungram" "hi" -1 1 1 "english" "spr"
"80" "NP3" 11 "e1a" 16 "b" 8 "friend" "rt" 1537 "gram" "lo" 1 -1 1 "english" "spr"
"82" "NP3" 11 "e1a" 11 "a" 8 "visitor" "rt" 1873 "gram" "hi" 1 1 -1 "english" "spr"
"84" "NP3" 11 "e1a" 13 "c" 8 "worker" "rt" 914 "ungram" "hi" -1 1 1 "english" "spr"
"86" "NP3" 11 "e1a" 12 "b" 8 "teacher" "rt" 1122 "gram" "lo" 1 -1 1 "english" "spr"
"88" "NP3" 11 "e1a" 9 "c" 8 "bystander" "rt" 2281 "ungram" "hi" -1 1 1 "english" "spr"
