"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"1" "NP3" 50 "e4" 1 "a" 9 "NA" "RRT" 634.644 "gram" "hi" 1 1 1 "german" "et"
"2" "NP3" 31 "e4" 1 "a" 9 "NA" "RRT" 1676.968 "gram" "hi" 1 1 1 "german" "et"
"3" "NP3" 104 "e4" 1 "a" 9 "NA" "RRT" 155.524 "gram" "hi" 1 1 1 "german" "et"
"4" "NP3" 42 "e4" 1 "a" 9 "NA" "RRT" 3181.666 "gram" "hi" 1 1 1 "german" "et"
"5" "NP3" 39 "e4" 1 "a" 9 "NA" "RRT" 1113.792 "gram" "hi" 1 1 1 "german" "et"
"6" "NP3" 126 "e4" 1 "a" 9 "NA" "RRT" 289.995 "gram" "hi" 1 1 1 "german" "et"
"7" "NP3" 117 "e4" 1 "a" 9 "NA" "RRT" 1803.069 "gram" "hi" 1 1 1 "german" "et"
"8" "NP3" 121 "e4" 1 "a" 9 "NA" "RRT" 3669.217 "gram" "hi" 1 1 1 "german" "et"
"9" "NP3" 43 "e4" 1 "b" 9 "NA" "RRT" 252.171 "gram" "lo" 1 -1 -1 "german" "et"
"10" "NP3" 36 "e4" 1 "b" 9 "NA" "RRT" 264.789 "gram" "lo" 1 -1 -1 "german" "et"
"11" "NP3" 32 "e4" 1 "b" 9 "NA" "RRT" 2383.137 "gram" "lo" 1 -1 -1 "german" "et"
"12" "NP3" 114 "e4" 1 "b" 9 "NA" "RRT" 1466.806 "gram" "lo" 1 -1 -1 "german" "et"
"13" "NP3" 101 "e4" 1 "b" 9 "NA" "RRT" 348.854 "gram" "lo" 1 -1 -1 "german" "et"
"14" "NP3" 110 "e4" 1 "b" 9 "NA" "RRT" 512.787 "gram" "lo" 1 -1 -1 "german" "et"
"15" "NP3" 118 "e4" 1 "b" 9 "NA" "RRT" 310.996 "gram" "lo" 1 -1 -1 "german" "et"
"16" "NP3" 122 "e4" 1 "b" 9 "NA" "RRT" 596.842 "gram" "lo" 1 -1 -1 "german" "et"
"17" "NP3" 33 "e4" 1 "c" 9 "NA" "RRT" 685.124 "ungram" "hi" -1 1 -1 "german" "et"
"18" "NP3" 111 "e4" 1 "c" 9 "NA" "RRT" 294.232 "ungram" "hi" -1 1 -1 "german" "et"
