subject	item	cloze	segment	lab	base100	base200	base500	filt01	prestim
birm01	102	0	1	birm	-2.33	-3.4271	-7.0365	-1.06	5.878
birm01	113	36	2	birm	8.56	4.4114	1.7205	9.13	8.5032
birm01	111	84	3	birm	7.40	7.9277	8.0056	7.30	-0.8013
birm01	103	55	4	birm	8.56	11.2289	6.7573	10.27	2.1753
birm01	105	0	5	birm	10.62	11.0954	7.0479	12.23	4.4121
birm01	101	0	6	birm	15.08	11.4245	9.4637	12.15	6.9001
birm01	118	0	7	birm	0.32	-4.7335	-6.4423	0.89	8.3865
birm01	112	66	8	birm	9.95	6.1019	6.9786	9.75	3.7898
birm01	107	77	9	birm	3.34	2.0351	2.4424	4.21	1.1644
birm01	108	61	10	birm	10.33	8.6577	7.8889	8.05	3.015
birm01	104	86	11	birm	20.49	15.5800	9.5878	18.86	13.5266
birm01	120	75	12	birm	-2.94	-2.5850	-7.9904	-2.41	6.2661
birm01	109	2	13	birm	4.10	2.7148	-3.8082	4.05	9.8326
birm01	116	75	14	birm	-0.83	-0.5130	-5.5445	-0.26	5.909
birm01	110	0	15	birm	2.29	3.6860	8.6425	1.03	-7.9165
birm01	114	5	16	birm	6.17	7.3010	11.1468	10.54	-6.1756
birm01	119	98	17	birm	1.91	-2.8103	6.8319	0.86	-6.05
birm01	106	0	18	birm	-7.60	-10.8110	-7.9417	-6.08	0.4751
birm01	115	59	19	birm	-4.79	-4.6114	-3.5110	-9.06	-1.634
birm01	117	20	20	birm	-4.25	0.7202	1.5322	-3.27	-7.2228
birm01	125	2	21	birm	6.89	3.3429	5.2555	4.13	2.0104
birm01	122	2	22	birm	-1.74	-3.1956	-6.5690	-1.67	5.9593
birm01	133	11	23	birm	2.42	0.8160	-3.0363	0.58	6.7278
birm01	132	64	24	birm	11.15	8.8881	7.8991	12.48	4.1262
birm01	137	11	25	birm	0.96	-1.1735	0.3392	-2.13	0.7764
birm01	134	0	26	birm	-0.98	6.0405	10.7745	-2.76	-14.5964
birm01	124	75	27	birm	-1.15	3.9201	9.1992	-3.36	-12.879
birm01	138	0	28	birm	0.37	-0.8792	-4.7660	2.35	6.3602
birm01	136	75	29	birm	16.68	13.0772	12.7573	16.40	4.9146
birm01	130	0	30	birm	4.47	4.2435	4.9702	5.60	-0.6242
birm01	135	93	31	birm	-8.88	-12.2053	-7.8267	-8.24	-1.2856
birm01	129	11	32	birm	-14.15	-11.4818	-9.5272	-17.26	-5.7315
birm01	127	70	33	birm	16.23	11.0847	9.9671	14.22	7.7583
birm01	140	55	34	birm	-9.90	-6.5355	-3.5571	-8.85	-7.9536
birm01	128	61	35	birm	11.32	6.3373	8.2602	10.92	3.8205
birm01	131	73	36	birm	-4.19	-8.5525	-8.6825	-3.90	5.5796
birm01	126	0	37	birm	1.18	2.4699	3.2264	0.57	-2.5239
birm01	139	93	38	birm	17.71	14.7508	10.1842	18.22	9.3811
birm01	121	9	39	birm	-1.35	-6.2624	-5.8395	-1.54	5.6903
birm01	143	86	40	birm	29.99	34.7004	51.3091	13.87	-26.5657
birm01	147	91	41	birm	12.54	5.3019	2.9341	11.85	11.9335
birm01	158	0	42	birm	20.69	16.8107	15.1829	26.93	6.7963
birm01	144	77	43	birm	0.53	15.0250	12.3013	2.42	-14.6795
birm01	151	75	44	birm	14.61	15.2376	13.8637	13.63	0.923
birm01	145	5	45	birm	10.13	11.3989	3.3255	10.09	8.5086
birm01	155	68	46	birm	6.76	8.9809	6.7486	10.43	-0.0342
birm01	153	25	47	birm	-10.33	-6.6464	-11.0042	-9.97	0.8374
birm01	149	2	48	birm	20.67	17.0409	18.5991	15.77	2.5439
birm01	150	0	49	birm	-16.61	-15.6651	-10.2613	-17.76	-7.9362
birm01	148	89	50	birm	-3.51	2.2259	-1.0443	-5.10	-2.9924
birm01	157	11	51	birm	9.12	3.6062	-5.4843	9.36	18.2069
birm01	159	52	52	birm	-7.40	-2.7235	0.7229	-9.31	-10.1613
birm01	141	9	53	birm	-3.03	-8.5651	-14.2542	-1.03	14.0242
birm01	160	16	54	birm	-5.17	-8.8556	-6.8049	0.10	2.0225
birm01	142	0	55	birm	0.08	-3.0990	-0.0579	0.10	0.1418
birm01	146	16	56	birm	-10.05	-13.4662	-12.9141	-9.47	3.5514
birm01	154	5	57	birm	-1.57	-7.8725	-11.6649	1.54	12.5516
birm01	156	100	58	birm	-15.80	-21.8085	-26.9711	-8.90	13.9152
birm01	152	86	59	birm	-11.08	-8.4295	-17.6009	-11.02	8.1659
birm01	167	86	60	birm	4.36	2.7692	-1.4789	3.51	7.2521
birm01	161	18	61	birm	-2.82	1.7938	2.6396	-3.33	-6.8202
birm01	170	16	62	birm	-4.11	-3.6570	-2.4535	0.06	-2.0873
birm01	180	95	63	birm	-0.77	0.1323	-1.2407	-0.22	0.6104
birm01	175	68	64	birm	-8.33	-4.0566	-5.7752	-10.24	-3.1486
birm01	166	0	65	birm	-6.64	-7.4302	-10.7500	-2.32	5.1248
birm01	165	14	66	birm	2.79	0.9284	-1.1073	4.40	4.849
birm01	168	82	67	birm	-15.32	-15.2353	-12.2404	-13.84	-3.834
birm01	171	57	68	birm	-2.74	1.3066	3.2169	-3.83	-7.4647
birm01	173	18	69	birm	0.04	0.2213	6.7908	1.54	-8.3255
birm01	163	75	70	birm	-4.86	-0.2067	-3.1574	-5.72	-2.1261
birm01	179	95	71	birm	9.91	8.9138	22.7042	4.47	-15.9477
birm01	172	73	72	birm	-7.91	-8.1266	-5.8087	-11.87	-2.5992
birm01	164	68	73	birm	47.47	48.2669	15.4307	52.11	39.819
birm01	162	0	74	birm	6.10	12.0480	6.2304	9.53	-0.1382
birm01	176	73	75	birm	-20.88	-23.4521	-22.9177	-17.77	2.5817
birm01	177	0	76	birm	-3.65	-1.3937	-0.2859	-3.27	-4.278
birm01	169	5	77	birm	8.18	6.1025	4.6071	10.19	4.3855
birm01	174	0	78	birm	5.62	9.9786	8.6992	5.09	-3.8269
birm02	120	75	1	birm	-1.33	0.2688	0.6367	0.22	-2.4796
birm02	104	86	2	birm	6.51	2.8853	0.2351	7.85	7.8488
birm02	119	98	3	birm	7.21	5.9939	6.0925	6.61	1.3315
birm02	116	75	4	birm	0.09	3.8478	3.5709	3.74	-4.3534
birm02	107	77	5	birm	-6.31	1.0461	0.0581	-4.34	-7.8814
birm02	114	5	6	birm	-4.25	-0.3099	2.8151	-3.66	-8.7964
birm02	117	20	7	birm	-2.48	-4.5455	-6.1677	6.40	4.6152
birm02	108	61	8	birm	-1.59	-1.4178	1.3905	-0.93	-3.6713
birm02	101	0	9	birm	-1.67	0.0087	-0.1186	-3.14	-1.9822
birm02	109	2	10	birm	-7.13	-4.2961	0.6945	-9.48	-9.7733
birm02	118	0	11	birm	11.59	13.4262	8.7242	10.75	3.5259
birm02	102	0	12	birm	-3.10	-2.4304	0.9661	-2.03	-5.1031
birm02	115	59	13	birm	-0.64	-2.4337	-5.1700	2.89	5.673
birm02	105	0	14	birm	1.31	0.4714	-0.2923	3.71	2.0577
birm02	111	84	15	birm	-0.95	0.4916	2.2438	-0.32	-3.9529
birm02	113	36	16	birm	-11.78	-9.7554	-4.1232	-11.34	-9.5297
birm02	103	55	17	birm	-19.58	-19.4344	-18.9321	-13.04	-0.7358
birm02	129	11	18	birm	-13.00	-8.2554	-5.7938	-16.79	-8.9761
birm02	139	93	19	birm	-5.07	-6.4180	-2.0113	-5.05	-3.8153
birm02	131	73	20	birm	-14.41	-12.0395	-6.8995	-12.47	-9.3561
birm02	125	2	21	birm	0.19	-5.3757	-7.3400	1.28	9.3877
birm02	124	75	22	birm	-4.62	-1.6537	0.0971	-0.93	-5.866
birm02	123	70	23	birm	-8.50	-3.6458	-5.1945	-5.16	-4.1084
birm02	128	61	24	birm	20.79	17.5172	8.6976	20.31	15.0122
birm02	132	64	25	birm	12.17	10.8935	14.3397	10.91	-2.7024
birm02	133	11	26	birm	-0.07	-5.8115	-7.8707	1.16	9.6768
birm02	136	75	27	birm	-8.86	-7.1212	-3.4721	-7.40	-6.6791
birm02	135	93	28	birm	-39.64	-39.2966	-15.1482	-42.39	-30.4456
birm02	137	11	29	birm	-8.34	0.5075	13.3264	-3.24	-26.9638
birm02	140	55	30	birm	8.75	7.1157	6.2707	11.47	3.0737
birm02	122	2	31	birm	-1.94	0.9417	-6.4452	-1.91	5.5499
birm02	121	9	32	birm	-9.19	-6.8599	-11.8596	-6.12	3.3261
birm02	130	0	33	birm	-15.90	-15.3231	-14.4828	-12.14	-1.7997
birm02	126	0	34	birm	-12.95	-17.6252	-19.7421	-15.79	8.4567
birm02	134	0	35	birm	-0.05	9.2262	11.3324	-8.15	-14.0401
birm02	153	25	36	birm	4.49	7.0089	8.5186	3.68	-4.9697
birm02	157	11	37	birm	-17.39	-11.1314	-7.8192	-16.17	-11.8946
birm02	151	75	38	birm	-9.21	-15.7882	-16.3900	-11.68	8.9588
