sub;item;trial;cond (for coding purposes in column G);resp (1 = yes, 2 = no);Q answer time;"correct/inc (1 = N1 interpretation for ambiguous RC questions and correct answers for unambiguous questions, 2 = N2 interpretation for ambiguous RC questions and incorrect responses for unambiguous RC questionsl; 3 = correct when answering superficial questions, 4 = incorrect supercifical answer)";qtype (1 = detailed questions, 2 = superficial questions, 3 = occasional superficial questions);amb (1 = ambiguous, 2 = N1 attachment, 3 = N2 attachment);qtype2 (1 = question about N1, 2 = question about N2);the;n1;of ;the ;n2;who;sub verb;reflexive;region9;matrix verb;w11;w12;w13;w14;w15;w16;w17;w18
6;1;107;6;1;2089;3;1;3;2;559;638;719;483;541;2075;659;707;2379;618;744;1301;;;;;;
6;2;12;6;1;3286;3;1;3;2;554;550;477;563;700;1392;788;1269;2605;509;1551;1550;5985;;;;;
6;3;110;6;1;1779;3;1;3;2;563;622;641;727;745;1021;7721;538;1643;590;788;764;414;423;691;796;;
6;4;71;6;1;1609;3;1;3;2;463;700;712;495;465;524;720;726;1602;555;794;533;470;766;;;;
6;5;8;6;1;5827;3;1;3;2;552;529;733;600;546;513;681;1200;1220;550;657;595;779;2123;;;;
6;6;99;6;1;4270;3;1;3;2;539;583;484;433;466;1445;546;1186;585;603;582;580;535;1560;;;;
6;7;45;1;2;6143;2;1;1;1;631;551;608;982;1495;1200;627;7863;1785;522;527;496;665;889;;;;
6;8;59;1;1;3065;1;1;1;1;441;529;597;853;809;1493;791;1282;1549;488;1044;632;1155;;;;;
6;9;133;1;1;2238;1;1;1;1;574;756;503;632;1024;904;882;581;2773;609;570;1031;3209;;;;;
6;10;104;1;2;11813;2;1;1;1;353;382;658;338;877;619;570;538;1251;542;618;527;531;999;;;;
6;11;65;1;1;5569;1;1;1;1;415;522;730;555;492;921;1957;408;1519;504;780;2214;;;;;;
6;12;118;1;2;5906;2;1;1;1;394;1015;345;387;545;951;499;512;1119;421;591;961;;;;;;
6;13;75;2;2;10269;2;1;1;2;623;1746;464;608;888;486;631;680;3598;1059;758;841;1359;;;;;
6;14;34;2;1;14513;1;1;1;2;399;552;912;547;618;1307;647;663;1127;705;1857;816;1633;;;;;
6;15;67;2;2;5599;2;1;1;2;488;466;684;403;642;1255;525;461;1904;542;600;427;752;;;;;
6;16;121;2;1;2682;1;1;1;2;398;546;445;393;521;850;716;793;1438;657;632;650;569;608;1392;;;
6;17;55;2;1;1615;1;1;1;2;381;646;484;423;761;1215;1072;561;1127;430;468;647;784;;;;;
6;18;32;2;2;3017;2;1;1;2;564;564;534;513;687;3391;199;1052;1673;535;560;665;522;616;1245;;;
6;19;91;3;1;5886;3;1;2;1;454;625;543;477;604;474;633;652;1877;632;550;502;674;821;;;;
6;20;17;3;1;5567;3;1;2;1;524;591;654;561;925;787;1037;1381;3372;695;722;797;821;906;812;819;1469;
6;21;143;3;2;4418;4;1;2;1;431;409;473;246;731;331;544;605;1209;3480;809;744;454;839;;;;
6;22;127;3;1;2968;3;1;2;1;364;414;394;370;449;367;784;776;1646;461;652;442;440;609;;;;
6;23;57;3;1;4025;3;1;2;1;504;532;837;444;1042;499;657;5524;2601;549;726;795;;;;;;
6;24;101;3;1;4493;3;1;2;1;396;645;522;551;615;654;1665;2716;2288;1131;699;1620;;;;;;
6;25;19;4;2;8835;3;1;2;2;722;637;545;633;508;636;743;2467;2830;699;874;671;3133;;;;;
6;26;125;4;2;5829;3;1;2;2;324;1059;808;414;563;735;436;627;1589;780;326;1014;750;;;;;
6;27;129;4;2;10378;3;1;2;2;371;410;350;379;388;445;562;381;2326;534;539;541;539;656;;;;
6;28;93;4;2;5031;3;1;2;2;417;650;524;450;661;1212;572;1865;3495;866;732;584;788;;;;;
6;29;30;4;2;3414;3;1;2;2;409;578;601;591;576;1355;606;972;2192;478;566;720;1444;836;;;;
6;30;53;4;2;15104;3;1;2;2;394;592;738;585;694;611;578;940;1816;683;653;549;746;;;;;
6;31;139;5;2;3504;3;1;3;1;397;396;313;303;341;441;3511;356;1514;627;474;744;;;;;;
6;32;131;5;2;2018;3;1;3;1;326;385;404;329;642;590;428;434;1307;419;549;497;615;2117;;;;
6;33;73;5;2;8203;3;1;3;1;439;538;419;963;1137;561;1526;605;1287;771;676;1212;1556;;;;;
6;34;141;5;1;3238;4;1;3;1;342;411;593;428;348;474;486;410;1494;572;503;721;;;;;;
6;35;51;5;2;3666;3;1;3;1;590;1126;840;510;1004;3539;1071;670;1832;959;538;566;826;;;;;
6;36;27;5;2;3160;3;1;3;1;405;552;640;575;932;577;3162;1190;1689;558;624;749;847;;;;;
7;1;44;1;1;2745;3;2;1;1;365;274;312;206;378;295;362;280;1465;478;286;512;;;;;;
7;2;50;1;1;2257;3;2;1;1;249;353;274;262;321;352;545;1811;1562;299;467;322;1764;;;;;
7;3;67;1;1;1791;3;2;1;1;352;341;369;214;445;352;451;427;1186;439;586;312;482;300;257;363;;
7;4;14;1;2;4394;4;2;1;1;266;257;262;260;308;295;320;389;875;362;405;956;335;862;;;;
