beauty evaluation
0.2015666 4.3
-0.8260813 4.5
-0.6603327 3.7
-0.7663125 4.3
1.421445 4.4
0.5002196 4.2
-0.2143501 4
-0.346539 3.4
0.0613435 4.5
0.4525679 3.9
0.1432643 3.1
-0.1550228 4
0.1285433 3.8
-0.3470453 3.4
0.4619388 2.9
-0.1503849 4.5
-1.070734 4
-0.1426931 3.8
-0.1563634 4.3
-0.0589354 3.4
0.1511368 3.4
-0.937076 3.3
-0.8214405 4.3
-0.1994712 4.4
1.687167 4.6
-0.4101976 4.2
0.1233448 4
-0.8059942 3.3
-0.8210418 4.4
0.3198185 2.3
-0.0985568 3.5
-1.012306 4.7
0.4883314 3.9
-0.1719505 4
-1.167907 4.3
0.9525534 3.8
-1.140457 3.8
-0.8161172 4
-0.4837456 4.6
0.8450468 3.5
-0.3261277 4.7
0.1865589 4.2
1.881674 3.4
0.9626006 3.9
0.1534694 4.5
1.261046 4.7
0.0232144 3.5
-0.3460746 3.7
-0.744618 4
-0.7447439 4.1
0.6361284 4.4
0.5434852 4.2
0.9825948 4.5
-1.538843 3.8
1.067531 3.1
-0.4143639 3.7
0.7962944 3.9
-0.6466943 4
-0.4299034 3.3
-0.5924066 3.1
-0.9889295 4
0.5546651 4.3
0.6851749 3.7
0.9755885 3.4
-1.178738 4.3
-1.157511 3.7
1.327346 4.2
-1.511268 2.2
0.3034731 3
-0.5783117 4.3
-0.671936 4.6
0.6683338 3.5
0.7924695 4.6
-0.6548505 3.7
0.2510546 3.8
-0.2397178 3.6
-1.113346 4.4
-0.1135935 4.1
-0.8351366 4.3
0.9005994 4
-0.620769 4.8
-0.8552412 3.5
1.065906 3.6
1.144253 3.8
1.685985 4.7
1.684802 4.9
0.6362435 4.3
-1.269975 3.3
1.681103 3.4
-0.6756103 3.6
-0.0901815 4
-0.1450257 3.9
1.143045 4.3
0.3320507 3.3
0.2015666 3.7
0.2015666 3.6
0.2015666 4.4
-0.8260813 4
-0.8260813 2.1
-0.6603327 3.2
-0.7663125 3.5
-0.7663125 4.1
-0.7663125 4.6
-0.7663125 3.8
-0.7663125 3.8
-0.7663125 3.8
-0.7663125 4.2
1.421445 3.9
1.421445 4.5
1.421445 4.5
1.421445 4.4
1.421445 4.4
0.5002196 4.4
0.5002196 4.5
0.5002196 4.3
0.5002196 4.6
0.5002196 4.8
0.5002196 4.3
-0.2143501 4
-0.2143501 4
-0.2143501 3.9
-0.2143501 3.3
-0.346539 4.5
-0.346539 4.5
-0.346539 4.5
-0.346539 2.5
-0.346539 4.3
-0.346539 4.5
0.0613435 4.7
0.0613435 3.5
0.0613435 4.5
0.0613435 3.8
0.0613435 4.5
0.0613435 4.3
0.4525679 3.9
0.4525679 4.3
0.4525679 4.2
0.4525679 5
0.4525679 5
0.4525679 4.6
0.4525679 5
0.4525679 4.7
0.4525679 5
0.1432643 2.7
0.1432643 4
-0.1550228 4.4
-0.1550228 4.4
-0.1550228 4.3
-0.1550228 3.5
0.1285433 3.8
0.1285433 3.9
0.1285433 3.7
0.1285433 3.3
0.1285433 4
0.1285433 3.8
-0.3470453 4.2
-0.3470453 3.1
-0.3470453 3.6
0.4619388 3.3
0.4619388 2.9
0.4619388 3.1
-0.1503849 4
-0.1503849 4
-0.1503849 4.2
-0.1503849 3.8
-0.1503849 4.3
-1.070734 4.6
-1.070734 4.3
-1.070734 3.6
-1.070734 4.2
-0.1426931 3.9
-0.1426931 4.1
-0.1426931 4
-0.1426931 4.3
-0.1426931 3.9
-0.1426931 4.2
-0.1426931 4.2
-0.1563634 4.9
-0.1563634 4
-0.1563634 4.3
-0.1563634 4.9
-0.1563634 3.9
-0.1563634 4.9
-0.1563634 3.9
-0.1563634 4
-0.0589354 3.5
-0.0589354 3.9
-0.0589354 4
-0.0589354 3.6
-0.0589354 3
-0.0589354 3
-0.0589354 3.6
-0.0589354 3.6
-0.0589354 3.2
0.1511368 3.9
0.1511368 3.5
0.1511368 3.5
0.1511368 3.1
0.1511368 4.2
-0.8214405 3.6
-0.8214405 4.5
-0.8214405 3.7
-0.8214405 3.4
-0.1994712 4.5
-0.1994712 4.6
-0.1994712 4.8
-0.1994712 4.5
-0.1994712 4.4
-0.1994712 4.1
1.687167 3.9
-0.4101976 4.3
-0.4101976 3.5
-0.4101976 4
-0.4101976 4
0.1233448 4.6
0.1233448 4.6
0.1233448 3.7
0.1233448 3.5
0.1233448 3.6
0.1233448 3.9
-0.8059942 4.2
-0.8059942 3.2
-0.8059942 4.9
-0.8210418 4
-0.8210418 3.5
-0.8210418 3.4
-0.0985568 4.2
-0.0985568 3.5
-0.0985568 4.4
-0.0985568 3.7
-0.0985568 3.4
-0.0985568 3
-1.012306 3.9
-1.012306 2.8
0.4883314 3.7
0.4883314 4.6
0.4883314 4.2
0.4883314 4.4
-0.1719505 3.8
-0.1719505 4.1
-0.1719505 3.7
-0.1719505 4.1
-0.1719505 3
-0.1719505 3.2
